gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091110,774,1,short,SINGLEBACK,3x1,middle,10,48,Zone,5-2 Defense,62.0,Quarters,"GO, GO, SCREEN, POST, GO",I,Midfield Short Pass,1
2022091811,526,1,short,SHOTGUN,3x1,left,10,85,Man,Other,75.0,Cover-1,"HITCH, HITCH, FLAT, OUT, HITCH",C,Short Left Pass,1
2022092510,55,1,short,SINGLEBACK,2x2,right,10,85,Zone,3-4 Defense,75.0,Cover-3,"CORNER, FLAT, FLAT, POST, IN",C,Singleback Balanced Short Pass,1
2022092510,719,1,short,SHOTGUN,2x1,left,10,85,Zone,3-4 Defense,75.0,Cover 6-Left,"GO, HITCH, GO, ANGLE",C,Short Left Pass,1
2022092510,748,1,short,PISTOL,3x1,left,10,72,Zone,3-1-7 Quarter,62.0,Cover-3,"SCREEN, SLANT, SCREEN, GO, ANGLE",C,Pistol Quick Pass,1
2022100203,62,1,short,SHOTGUN,2x2,right,10,86,Zone,Heavy LB Defense,76.0,Quarters,"IN, FLAT, GO, OUT, HITCH",C,Short Right Pass,1
2022100911,483,1,deep,SHOTGUN,2x2,middle,10,35,Zone,Heavy LB Defense,75.0,Cover-3,"CROSS, POST, IN, POST",IN,Midfield Deep Shotgun Attack,1
2022100911,636,1,short,SHOTGUN,2x2,left,10,36,Zone,5-2 Defense,74.0,Cover-3,"GO, IN, HITCH, FLAT, GO",C,Short Left Pass,1
2022100911,660,1,short,SHOTGUN,2x1,middle,10,46,Zone,5-2 Defense,64.0,Cover-3,"HITCH, CROSS, WHEEL, GO",I,Short Middle Pass,1
2022101609,62,1,short,SHOTGUN,3x1,left,10,91,Zone,4-3 Defense,81.0,Cover-2,"CROSS, CORNER, FLAT, SCREEN",C,Short Left Pass,1
2022102000,246,1,short,SHOTGUN,3x1,right,10,73,Zone,Big Nickel,37.0,Cover-3,"GO, SCREEN, GO, POST, SLANT",C,Short Right Pass,1
2022103005,406,1,short,EMPTY,3x2,right,10,55,Zone,3-4 Defense,45.0,Cover-3,"GO, SCREEN, GO, GO, SCREEN",C,Short Right Pass,1
2022103005,859,1,short,SHOTGUN,3x1,left,10,59,Zone,5-2 Defense,49.0,Cover-3,"HITCH, GO, HITCH, FLAT, HITCH",I,Short Left Pass,1
2022110608,315,1,short,EMPTY,3x2,right,10,27,Zone,3-4 Defense,83.0,Cover-3 Seam,"SCREEN, FLAT, GO, GO, SCREEN",C,Short Right Pass,1
2022110608,452,1,short,EMPTY,4x1,right,10,80,Zone,3-4 Defense,30.0,Cover-3,"HITCH, POST, POST, GO, SCREEN",C,Short Right Pass,1
2022091110,750,2,short,SHOTGUN,2x2,right,8,37,Zone,5-2 Defense,73.0,Cover-3 Cloud Right,"GO, FLAT, CORNER, CORNER",C,Short Right Pass,1
2022091110,799,2,short,SHOTGUN,2x2,left,10,48,Zone,5-2 Defense,62.0,Cover-2,"SLANT, FLAT, IN, CORNER",C,Short Left Pass,1
