displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Anthony Firkser,CORNER,2,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Firkser,FLAT,3,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Firkser,GO,4,14.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Firkser,HITCH,5,18.52,2.0,0.0,0.0,0.0,0.0,4.0,50.0,0.0,0.0,0.0,0.0
Anthony Firkser,IN,3,11.11,0.0,1.0,0.0,0.0,0.0,4.0,0.0,25.0,0.0,0.0,0.0
Anthony Firkser,OUT,3,11.11,1.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0
Anthony Firkser,POST,2,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Firkser,SCREEN,2,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Firkser,SLANT,3,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avery Williams,ANGLE,4,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avery Williams,CROSS,1,2.33,1.0,0.0,0.0,0.0,0.0,8.0,12.5,0.0,0.0,0.0,0.0
Avery Williams,FLAT,21,48.84,1.0,0.0,0.0,0.0,0.0,8.0,12.5,0.0,0.0,0.0,0.0
Avery Williams,GO,1,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avery Williams,HITCH,1,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avery Williams,OUT,4,9.3,1.0,0.0,0.0,0.0,0.0,8.0,12.5,0.0,0.0,0.0,0.0
Avery Williams,SCREEN,10,23.26,4.0,1.0,0.0,0.0,0.0,8.0,50.0,12.5,0.0,0.0,0.0
Avery Williams,SLANT,1,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryan Edwards,CORNER,3,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryan Edwards,CROSS,4,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryan Edwards,FLAT,3,6.98,1.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0
Bryan Edwards,GO,10,23.26,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,20.0,0.0,0.0
Bryan Edwards,HITCH,10,23.26,0.0,1.0,0.0,0.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0
Bryan Edwards,IN,2,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
