gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091100,190,1,short,EMPTY,4x1,left,10,70,Zone,Big Nickel,40.0,Quarters,"SCREEN, HITCH, OUT, HITCH, OUT",I,Short Left Pass,1
2022091100,679,1,deep,SINGLEBACK,3x1,right,10,35,Zone,Big Nickel,75.0,Quarters,"FLAT, POST, IN, CROSS",C,First Down Play Action Deep Pass,1
2022091807,56,1,short,SHOTGUN,2x2,middle,10,85,Zone,3-4 Defense,75.0,Cover-3 Seam,"FLAT, GO, HITCH, OUT, POST",C,Short Middle Pass,1
2022091807,148,1,short,PISTOL,2x2,right,10,53,Zone,5-2 Defense,43.0,Cover-2,"FLAT, CROSS, CROSS, CORNER, CROSS",I,Pistol Quick Pass,1
2022091807,634,1,short,PISTOL,3x1,left,10,85,Zone,5-2 Defense,75.0,Cover-3 Cloud Right,"OUT, SCREEN, ANGLE, SCREEN",I,Pistol Quick Pass,1
2022092511,330,1,deep,SINGLEBACK,2x2,middle,10,85,Zone,3-4 Defense,75.0,Cover-6 Right,"FLAT, GO, CROSS, GO, GO",I,First Down Play Action Deep Pass,1
2022092511,429,1,short,SHOTGUN,2x2,middle,10,56,Zone,3-4 Defense,46.0,Cover 6-Left,"HITCH, POST, IN, FLAT",C,Short Middle Pass,1
2022092511,453,1,short,SHOTGUN,3x1,right,10,34,Man,3-4 Defense,24.0,Cover-1,"POST, FLAT, SCREEN, GO, FLAT",C,Short Right Pass,1
2022092511,833,1,deep,I_FORM,2x1,right,10,72,Zone,3-4 Defense,62.0,Cover-3,"CROSS, CORNER, FLAT",C,First Down Play Action Deep Pass,1
2022092511,857,1,deep,EMPTY,3x2,right,10,49,Zone,3-4 Defense,39.0,Quarters,"SLANT, GO, GO, SLANT, GO",I,Spread Deep Attack from Empty 3x2 Alignment,1
2022100201,354,1,short,SHOTGUN,2x2,middle,10,58,Zone,Other,52.0,Cover-3,"FLAT, HITCH, FLAT, SLANT",C,Short Middle Pass,1
2022100201,450,1,deep,PISTOL,3x1,middle,10,83,Zone,Other,27.0,Cover-3,"SCREEN, OUT, FLAT, POST, OUT",I,Pistol Deep Attack,1
2022100908,188,1,short,PISTOL,3x1,right,10,30,Man,3-4 Defense,80.0,Cover-1,"FLAT, FLAT, GO, SCREEN, FLAT",I,Pistol Quick Pass,1
2022100908,287,1,short,I_FORM,2x1,left,10,42,Man,3-4 Defense,68.0,Cover-1,"CROSS, HITCH, ANGLE, CROSS, FLAT",I,Short Left Pass,1
2022100908,661,1,deep,EMPTY,3x2,right,10,41,Man,3-4 Defense,69.0,Cover-1,"HITCH, OUT, GO, GO, HITCH",I,Spread Deep Attack from Empty 3x2 Alignment,1
2022103001,56,1,short,SHOTGUN,3x1,left,10,85,Zone,Interior DL Heavy,75.0,Cover-3,"CROSS, GO, CROSS, GO, FLAT",I,Short Left Pass,1
2022110600,56,1,short,EMPTY,3x2,right,10,85,Zone,5-2 Defense,75.0,Quarters,"HITCH, HITCH, OUT, IN, GO",C,Short Right Pass,1
2022110600,172,1,short,SHOTGUN,2x2,right,3,13,Man,3-4 Defense,3.0,Cover-0,"FLAT, CROSS, SLANT, OUT",I,Short Right Pass,1
2022110600,453,1,short,SHOTGUN,2x2,middle,10,57,Zone,3-4 Defense,47.0,Quarters,"SLANT, SLANT, FLAT",C,Short Middle Pass,1
2022091100,99,2,short,SINGLEBACK,2x2,right,4,52,Zone,Big Nickel,58.0,Cover-6 Right,"FLAT, GO, HITCH",I,Singleback Balanced Short Pass,1
2022091100,166,2,short,I_FORM,2x1,right,8,59,Zone,4-3 Defense,51.0,Cover-2,"FLAT, OUT, GO, CORNER, CROSS",C,Short Right Pass,1
2022091100,419,2,deep,EMPTY,3x2,right,10,31,Zone,Big Nickel,79.0,Cover-2,"GO, HITCH, CROSS, CROSS, OUT",I,Spread Deep Attack from Empty 3x2 Alignment,1
2022091807,233,2,short,SHOTGUN,3x1,left,7,38,Zone,LB Heavy Defense,28.0,Cover 6-Left,"GO, OUT, HITCH, HITCH, ANGLE",C,Short Left Pass,1
2022091807,283,2,short,SINGLEBACK,3x1,right,8,26,Zone,LB Heavy Defense,16.0,Cover-3,"IN, FLAT, CROSS, GO",C,Short Right Pass,1
2022092511,879,2,deep,PISTOL,1x1,right,10,49,Zone,3-4 Defense,39.0,Cover-3 Seam,"HITCH, WHEEL, HITCH",C,General Strategy,1
2022100201,309,2,deep,SINGLEBACK,2x2,middle,4,20,Zone,Other,90.0,Cover-3,"FLAT, POST, POST",C,Deep Middle Pass,1
2022100201,404,2,deep,SHOTGUN,2x2,left,8,70,Zone,Other,40.0,Quarters,"POST, POST, CROSS, CROSS, FLAT",I,Spread Misdirection Play,1
2022100201,749,2,deep,EMPTY,3x2,left,14,75,Zone,Other,35.0,Cover-3,"HITCH, CORNER, FLAT, OUT, OUT",C,Spread Deep Attack from Empty 3x2 Alignment,1
2022100908,309,2,short,SHOTGUN,2x2,middle,10,42,Man,3-4 Defense,68.0,Cover-1,"SLANT, SCREEN, GO, SCREEN, ANGLE",I,Short Middle Pass,1
2022101600,153,2,short,PISTOL,3x1,left,7,36,Zone,5-2 Defense,26.0,Cover-3,"HITCH, POST, FLAT, SLANT, ANGLE",C,Pistol Quick Pass,1
2022101600,292,2,short,SHOTGUN,2x2,right,2,12,Man,5-2 Defense,2.0,Cover-0,"OUT, SLANT, SLANT",C,Short Right Pass,1
2022101600,465,2,short,SHOTGUN,2x1,middle,9,77,Zone,5-2 Defense,67.0,Cover-3,"GO, IN, SCREEN",C,Short Middle Pass,1
2022102302,265,2,short,SHOTGUN,2x2,left,7,51,Man,4-2-5 Nickel,59.0,Cover-1,"GO, CROSS, SCREEN, GO, FLAT",C,Short Left Pass,1
2022103001,572,2,short,SHOTGUN,2x2,right,7,99,Zone,3-1-7 Quarter,89.0,Cover-3,"CROSS, CORNER, FLAT, FLAT, OUT",C,Short Right Pass,1
2022103001,664,2,short,SHOTGUN,3x1,left,6,68,Zone,Interior DL Heavy,58.0,Cover-3,"SLANT, SLANT, SCREEN, ANGLE",C,Short Left Pass,1
2022103001,871,2,short,SHOTGUN,2x2,middle,13,82,Zone,Interior DL Heavy,72.0,Cover-3,"CROSS, CORNER, SLANT, ANGLE",C,Short Middle Pass,1
2022110600,143,2,short,PISTOL,2x1,left,4,19,Other,3-4 Defense,9.0,Red Zone,"WHEEL, CROSS, CROSS, OUT, FLAT",C,Pistol Quick Pass,1
2022110600,387,2,short,I_FORM,2x1,left,5,86,Zone,5-2 Defense,76.0,Cover-6 Right,"IN, GO, FLAT, CORNER, FLAT",C,Short Left Pass,1
2022110600,611,2,short,SHOTGUN,3x1,left,11,23,Zone,5-2 Defense,13.0,Cover-3 Seam,"SLANT, CROSS, CROSS, ANGLE, GO",I,Short Left Pass,1
2022091100,121,3,short,SHOTGUN,3x1,middle,4,52,Zone,4-3 Defense,58.0,Cover-2,"CROSS, FLAT, FLAT, OUT, CROSS",C,Short Middle Pass,1
2022091100,233,3,deep,SHOTGUN,3x1,right,5,75,Zone,Big Nickel,35.0,Quarters,"FLAT, CROSS, GO, CROSS, OUT",I,Shotgun Isolation Deep Attack,1
2022091100,458,3,short,EMPTY,4x1,left,10,31,Zone,4-3 Defense,79.0,Cover-2,"SCREEN, GO, GO, FLAT, SLANT",C,Short Left Pass,1
2022091807,122,3,short,SINGLEBACK,2x1,right,1,66,Zone,3-4 Defense,56.0,Cover-3,"CROSS, GO",C,Short Yardage Pass,1
2022092511,373,3,short,SHOTGUN,2x1,right,4,79,Zone,Heavy DE Front,69.0,Cover-3 Seam,"CORNER, POST, FLAT, GO",C,Short Right Pass,1
2022092511,987,3,short,SHOTGUN,3x1,left,22,33,Zone,3-4 Defense,23.0,Cover 6-Left,"HITCH, HITCH, FLAT, OUT, FLAT",I,Short Left Pass,1
2022100201,426,3,short,SHOTGUN,3x1,middle,8,70,Man,Other,40.0,Cover-1,"CROSS, OUT, GO, FLAT",C,Short Middle Pass,1
2022100201,493,3,short,SHOTGUN,3x1,left,12,81,Man,Other,29.0,2-Man,"HITCH, OUT, FLAT",C,Short Left Pass,1
2022100201,566,3,short,SHOTGUN,2x1,right,12,98,Zone,Other,12.0,Cover-3,"POST, GO, FLAT, OUT, POST",I,Short Right Pass,1
2022100908,263,3,short,SHOTGUN,2x2,left,9,31,Man,Heavy DE Front,79.0,2-Man,"OUT, GO, HITCH, HITCH",C,Short Left Pass,1
