displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
DeSean Jackson,CORNER,1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeSean Jackson,GO,1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeSean Jackson,HITCH,1,25.0,1.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0
DeSean Jackson,IN,1,25.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,50.0,0.0,0.0,0.0
Demarcus Robinson,CORNER,7,4.76,0.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0,3.45,0.0,0.0
Demarcus Robinson,CROSS,10,6.8,0.0,1.0,0.0,0.0,0.0,29.0,0.0,3.45,0.0,0.0,0.0
Demarcus Robinson,FLAT,2,1.36,0.0,1.0,0.0,0.0,0.0,29.0,0.0,3.45,0.0,0.0,0.0
Demarcus Robinson,GO,49,33.33,0.0,3.0,1.0,0.0,0.0,29.0,0.0,10.34,3.45,0.0,0.0
Demarcus Robinson,HITCH,28,19.05,5.0,0.0,0.0,0.0,0.0,29.0,17.24,0.0,0.0,0.0,0.0
Demarcus Robinson,IN,10,6.8,1.0,1.0,0.0,0.0,0.0,29.0,3.45,3.45,0.0,0.0,0.0
Demarcus Robinson,OUT,17,11.56,4.0,2.0,0.0,0.0,0.0,29.0,13.79,6.9,0.0,0.0,0.0
Demarcus Robinson,POST,7,4.76,1.0,2.0,0.0,0.0,0.0,29.0,3.45,6.9,0.0,0.0,0.0
Demarcus Robinson,SCREEN,4,2.72,2.0,0.0,0.0,0.0,0.0,29.0,6.9,0.0,0.0,0.0,0.0
Demarcus Robinson,SLANT,13,8.84,3.0,1.0,0.0,0.0,0.0,29.0,10.34,3.45,0.0,0.0,0.0
Devin Duvernay,CORNER,7,3.8,1.0,2.0,0.0,0.0,0.0,32.0,3.12,6.25,0.0,0.0,0.0
Devin Duvernay,CROSS,26,14.13,4.0,2.0,0.0,0.0,0.0,32.0,12.5,6.25,0.0,0.0,0.0
Devin Duvernay,FLAT,2,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
