gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091107,202,1,short,SINGLEBACK,2x2,right,10,38,Zone,3-4 Defense,72.0,Cover-3,"FLAT, CORNER, CROSS, CROSS",C,Midfield Short Pass,1
2022091107,552,1,short,PISTOL,2x1,middle,10,44,Zone,3-4 Defense,66.0,Cover-3,"GO, GO, POST",I,Pistol Quick Pass,1
2022091107,911,1,short,SINGLEBACK,3x1,right,10,26,Zone,Heavy LB Defense,84.0,Cover-3,"OUT, CORNER, OUT, CROSS",C,Short Right Pass,1
2022091107,935,1,short,SHOTGUN,2x2,left,10,37,Zone,Heavy LB Defense,73.0,Cover-2,"HITCH, FLAT, GO, HITCH",C,Short Left Pass,1
2022091800,447,1,short,SINGLEBACK,3x1,left,10,64,Man,5-2 Defense,46.0,Cover-1,"HITCH, HITCH",C,Short Left Pass,1
2022091800,563,1,short,SHOTGUN,3x1,left,15,71,Man,3-4 Defense,39.0,Cover-1,"FLAT, GO, GO, FLAT",C,Short Left Pass,1
2022092505,449,1,short,EMPTY,3x2,middle,10,74,Zone,3-4 Defense,36.0,Quarters,"HITCH, CROSS, POST, GO",C,Short Middle Pass,1
2022100202,500,1,short,SHOTGUN,2x2,left,10,42,Zone,4-3 Defense,68.0,Quarters,"CROSS, CROSS, FLAT, HITCH, HITCH",C,Short Left Pass,1
2022100202,524,1,short,EMPTY,3x2,middle,10,54,Zone,4-3 Defense,56.0,Quarters,"GO, SCREEN, GO, FLAT, CROSS",I,Short Middle Pass,1
2022100202,709,1,short,EMPTY,3x2,left,10,94,Man,4-3 Defense,16.0,Cover-1,"CROSS, IN, POST, GO, GO",C,Short Left Pass,1
2022100202,923,1,short,EMPTY,3x2,middle,10,74,Zone,4-3 Defense,36.0,Cover-3 Cloud Left,"CROSS, SCREEN, POST, POST",C,Short Middle Pass,1
2022100913,172,1,short,SHOTGUN,2x2,right,10,40,Zone,3-4 Defense,70.0,Quarters,"HITCH, FLAT, GO, GO",C,Short Right Pass,1
2022100913,243,1,short,PISTOL,2x2,left,10,62,Zone,3-4 Defense,48.0,Quarters,"CORNER, CROSS, FLAT, CROSS",C,Pistol Quick Pass,1
