displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Case Keenum,FLAT,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dawson Knox,ANGLE,4,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dawson Knox,CORNER,18,10.23,2.0,1.0,0.0,0.0,0.0,25.0,8.0,4.0,0.0,0.0,0.0
Dawson Knox,CROSS,26,14.77,6.0,1.0,0.0,0.0,0.0,25.0,24.0,4.0,0.0,0.0,0.0
Dawson Knox,FLAT,32,18.18,2.0,0.0,1.0,0.0,0.0,25.0,8.0,0.0,4.0,0.0,0.0
Dawson Knox,GO,29,16.48,1.0,0.0,0.0,0.0,0.0,25.0,4.0,0.0,0.0,0.0,0.0
Dawson Knox,HITCH,11,6.25,2.0,1.0,1.0,0.0,0.0,25.0,8.0,4.0,4.0,0.0,0.0
Dawson Knox,IN,15,8.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dawson Knox,OUT,14,7.95,4.0,0.0,0.0,0.0,0.0,25.0,16.0,0.0,0.0,0.0,0.0
Dawson Knox,POST,16,9.09,1.0,0.0,0.0,0.0,0.0,25.0,4.0,0.0,0.0,0.0,0.0
Dawson Knox,SCREEN,3,1.7,1.0,0.0,0.0,0.0,0.0,25.0,4.0,0.0,0.0,0.0,0.0
Dawson Knox,SLANT,8,4.55,0.0,1.0,0.0,0.0,0.0,25.0,0.0,4.0,0.0,0.0,0.0
Devin Singletary,ANGLE,49,30.82,8.0,3.0,0.0,0.0,0.0,33.0,24.24,9.09,0.0,0.0,0.0
Devin Singletary,FLAT,78,49.06,9.0,5.0,0.0,0.0,0.0,33.0,27.27,15.15,0.0,0.0,0.0
Devin Singletary,GO,3,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Singletary,HITCH,4,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Singletary,OUT,14,8.81,4.0,0.0,0.0,0.0,0.0,33.0,12.12,0.0,0.0,0.0,0.0
Devin Singletary,POST,1,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Singletary,SCREEN,7,4.4,4.0,0.0,0.0,0.0,0.0,33.0,12.12,0.0,0.0,0.0,0.0
Devin Singletary,SLANT,2,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Singletary,WHEEL,1,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabe Davis,CORNER,12,5.06,1.0,1.0,0.0,0.0,0.0,35.0,2.86,2.86,0.0,0.0,0.0
Gabe Davis,CROSS,14,5.91,1.0,1.0,1.0,0.0,0.0,35.0,2.86,2.86,2.86,0.0,0.0
Gabe Davis,FLAT,2,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabe Davis,GO,68,28.69,2.0,3.0,2.0,0.0,0.0,35.0,5.71,8.57,5.71,0.0,0.0
Gabe Davis,HITCH,31,13.08,4.0,5.0,0.0,0.0,0.0,35.0,11.43,14.29,0.0,0.0,0.0
Gabe Davis,IN,39,16.46,4.0,1.0,1.0,0.0,0.0,35.0,11.43,2.86,2.86,0.0,0.0
Gabe Davis,OUT,5,2.11,0.0,1.0,0.0,0.0,0.0,35.0,0.0,2.86,0.0,0.0,0.0
Gabe Davis,POST,37,15.61,2.0,1.0,0.0,0.0,0.0,35.0,5.71,2.86,0.0,0.0,0.0
Gabe Davis,SCREEN,6,2.53,1.0,0.0,0.0,0.0,0.0,35.0,2.86,0.0,0.0,0.0,0.0
Gabe Davis,SLANT,23,9.7,1.0,2.0,0.0,0.0,0.0,35.0,2.86,5.71,0.0,0.0,0.0
Isaiah Hodgins,CROSS,1,12.5,0.0,1.0,0.0,0.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0
Isaiah Hodgins,FLAT,1,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Hodgins,GO,2,25.0,1.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0
Isaiah Hodgins,HITCH,1,12.5,0.0,1.0,0.0,0.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0
Isaiah Hodgins,SCREEN,1,12.5,1.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0
Isaiah Hodgins,SLANT,2,25.0,1.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0
Isaiah McKenzie,CORNER,7,4.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah McKenzie,CROSS,20,14.18,3.0,2.0,0.0,0.0,0.0,27.0,11.11,7.41,0.0,0.0,0.0
Isaiah McKenzie,FLAT,9,6.38,1.0,2.0,0.0,0.0,0.0,27.0,3.7,7.41,0.0,0.0,0.0
Isaiah McKenzie,GO,20,14.18,1.0,0.0,0.0,0.0,0.0,27.0,3.7,0.0,0.0,0.0,0.0
Isaiah McKenzie,HITCH,28,19.86,6.0,2.0,0.0,0.0,0.0,27.0,22.22,7.41,0.0,0.0,0.0
Isaiah McKenzie,IN,13,9.22,0.0,1.0,0.0,0.0,0.0,27.0,0.0,3.7,0.0,0.0,0.0
Isaiah McKenzie,OUT,13,9.22,1.0,0.0,0.0,0.0,0.0,27.0,3.7,0.0,0.0,0.0,0.0
Isaiah McKenzie,POST,13,9.22,1.0,0.0,0.0,0.0,0.0,27.0,3.7,0.0,0.0,0.0,0.0
Isaiah McKenzie,SCREEN,6,4.26,1.0,0.0,0.0,0.0,0.0,27.0,3.7,0.0,0.0,0.0,0.0
Isaiah McKenzie,SLANT,12,8.51,3.0,2.0,1.0,0.0,0.0,27.0,11.11,7.41,3.7,0.0,0.0
Jake Kumerow,CORNER,4,8.7,0.0,1.0,0.0,0.0,0.0,7.0,0.0,14.29,0.0,0.0,0.0
Jake Kumerow,CROSS,4,8.7,0.0,1.0,0.0,0.0,0.0,7.0,0.0,14.29,0.0,0.0,0.0
Jake Kumerow,FLAT,1,2.17,1.0,0.0,0.0,0.0,0.0,7.0,14.29,0.0,0.0,0.0,0.0
Jake Kumerow,GO,12,26.09,1.0,0.0,0.0,0.0,0.0,7.0,14.29,0.0,0.0,0.0,0.0
Jake Kumerow,HITCH,4,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Kumerow,IN,10,21.74,2.0,0.0,0.0,0.0,0.0,7.0,28.57,0.0,0.0,0.0,0.0
Jake Kumerow,OUT,2,4.35,0.0,1.0,0.0,0.0,0.0,7.0,0.0,14.29,0.0,0.0,0.0
Jake Kumerow,POST,4,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Kumerow,SCREEN,2,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Kumerow,SLANT,3,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Cook,ANGLE,10,29.41,2.0,2.0,0.0,0.0,0.0,11.0,18.18,18.18,0.0,0.0,0.0
James Cook,CROSS,3,8.82,1.0,1.0,0.0,0.0,0.0,11.0,9.09,9.09,0.0,0.0,0.0
James Cook,FLAT,12,35.29,2.0,0.0,0.0,0.0,0.0,11.0,18.18,0.0,0.0,0.0,0.0
James Cook,OUT,3,8.82,0.0,1.0,0.0,0.0,0.0,11.0,0.0,9.09,0.0,0.0,0.0
James Cook,SCREEN,1,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Cook,SLANT,2,5.88,1.0,0.0,0.0,0.0,0.0,11.0,9.09,0.0,0.0,0.0,0.0
James Cook,WHEEL,3,8.82,0.0,1.0,0.0,0.0,0.0,11.0,0.0,9.09,0.0,0.0,0.0
Jamison Crowder,CORNER,3,4.69,0.0,2.0,0.0,0.0,0.0,12.0,0.0,16.67,0.0,0.0,0.0
Jamison Crowder,CROSS,16,25.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,8.33,0.0,0.0
Jamison Crowder,FLAT,2,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamison Crowder,GO,14,21.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamison Crowder,HITCH,5,7.81,1.0,1.0,0.0,0.0,0.0,12.0,8.33,8.33,0.0,0.0,0.0
Jamison Crowder,IN,2,3.12,0.0,1.0,0.0,0.0,0.0,12.0,0.0,8.33,0.0,0.0,0.0
Jamison Crowder,OUT,8,12.5,1.0,0.0,0.0,0.0,0.0,12.0,8.33,0.0,0.0,0.0,0.0
Jamison Crowder,POST,4,6.25,0.0,1.0,0.0,0.0,0.0,12.0,0.0,8.33,0.0,0.0,0.0
Jamison Crowder,SCREEN,3,4.69,1.0,0.0,0.0,0.0,0.0,12.0,8.33,0.0,0.0,0.0,0.0
Jamison Crowder,SLANT,7,10.94,3.0,0.0,0.0,0.0,0.0,12.0,25.0,0.0,0.0,0.0,0.0
Khalil Shakir,CORNER,4,6.45,0.0,1.0,0.0,0.0,0.0,12.0,0.0,8.33,0.0,0.0,0.0
Khalil Shakir,CROSS,5,8.06,1.0,0.0,0.0,0.0,0.0,12.0,8.33,0.0,0.0,0.0,0.0
Khalil Shakir,FLAT,2,3.23,1.0,0.0,0.0,0.0,0.0,12.0,8.33,0.0,0.0,0.0,0.0
Khalil Shakir,GO,16,25.81,1.0,2.0,0.0,0.0,0.0,12.0,8.33,16.67,0.0,0.0,0.0
Khalil Shakir,HITCH,11,17.74,1.0,0.0,0.0,0.0,0.0,12.0,8.33,0.0,0.0,0.0,0.0
Khalil Shakir,IN,5,8.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khalil Shakir,OUT,7,11.29,2.0,2.0,0.0,0.0,0.0,12.0,16.67,16.67,0.0,0.0,0.0
Khalil Shakir,POST,5,8.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khalil Shakir,SCREEN,5,8.06,0.0,1.0,0.0,0.0,0.0,12.0,0.0,8.33,0.0,0.0,0.0
Khalil Shakir,SLANT,2,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nyheim Hines,FLAT,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quintin Morris,ANGLE,2,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quintin Morris,CORNER,3,4.41,1.0,0.0,0.0,0.0,0.0,9.0,11.11,0.0,0.0,0.0,0.0
Quintin Morris,CROSS,4,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quintin Morris,FLAT,10,14.71,4.0,1.0,0.0,0.0,0.0,9.0,44.44,11.11,0.0,0.0,0.0
Quintin Morris,GO,16,23.53,0.0,1.0,0.0,0.0,0.0,9.0,0.0,11.11,0.0,0.0,0.0
Quintin Morris,HITCH,4,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quintin Morris,IN,8,11.76,1.0,1.0,0.0,0.0,0.0,9.0,11.11,11.11,0.0,0.0,0.0
Quintin Morris,OUT,5,7.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quintin Morris,POST,8,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quintin Morris,SCREEN,4,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quintin Morris,SLANT,4,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reggie Gilliam,ANGLE,1,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reggie Gilliam,CORNER,3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reggie Gilliam,CROSS,6,14.63,1.0,0.0,0.0,0.0,0.0,9.0,11.11,0.0,0.0,0.0,0.0
Reggie Gilliam,FLAT,10,24.39,2.0,0.0,0.0,0.0,0.0,9.0,22.22,0.0,0.0,0.0,0.0
Reggie Gilliam,GO,6,14.63,0.0,2.0,0.0,0.0,0.0,9.0,0.0,22.22,0.0,0.0,0.0
Reggie Gilliam,HITCH,5,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reggie Gilliam,IN,1,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reggie Gilliam,OUT,3,7.32,2.0,0.0,0.0,0.0,0.0,9.0,22.22,0.0,0.0,0.0,0.0
Reggie Gilliam,POST,2,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reggie Gilliam,SCREEN,1,2.44,1.0,0.0,0.0,0.0,0.0,9.0,11.11,0.0,0.0,0.0,0.0
Reggie Gilliam,SLANT,2,4.88,1.0,0.0,0.0,0.0,0.0,9.0,11.11,0.0,0.0,0.0,0.0
Reggie Gilliam,WHEEL,1,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stefon Diggs,CORNER,17,7.02,2.0,1.0,0.0,0.0,0.0,75.0,2.67,1.33,0.0,0.0,0.0
Stefon Diggs,CROSS,17,7.02,1.0,2.0,0.0,0.0,0.0,75.0,1.33,2.67,0.0,0.0,0.0
Stefon Diggs,FLAT,6,2.48,3.0,0.0,0.0,0.0,0.0,75.0,4.0,0.0,0.0,0.0,0.0
Stefon Diggs,GO,48,19.83,6.0,5.0,0.0,0.0,0.0,75.0,8.0,6.67,0.0,0.0,0.0
Stefon Diggs,HITCH,48,19.83,10.0,4.0,0.0,0.0,0.0,75.0,13.33,5.33,0.0,0.0,0.0
Stefon Diggs,IN,24,9.92,3.0,2.0,0.0,0.0,0.0,75.0,4.0,2.67,0.0,0.0,0.0
