gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022090800,56,1,short,SHOTGUN,2x2,right,10,85,Zone,5-2 Defense,75.0,Cover 6-Left,"IN, OUT, IN, GO",C,Short Right Pass,1
2022090800,593,1,short,SHOTGUN,2x1,left,10,85,Zone,5-2 Defense,75.0,Cover 6-Left,"SCREEN, GO, ANGLE, ANGLE, SCREEN",C,Short Left Pass,1
2022090800,617,1,short,SHOTGUN,2x1,left,10,74,Zone,5-2 Defense,64.0,Cover-3,"GO, GO, FLAT, IN",C,Short Left Pass,1
2022090800,646,1,short,SINGLEBACK,2x2,left,10,62,Zone,LB Heavy Defense,52.0,Cover-3,"GO, POST, SCREEN, GO",C,Singleback Balanced Short Pass,1
2022090800,692,1,short,SHOTGUN,2x1,right,10,42,Zone,LB Heavy Defense,32.0,Cover-3 Seam,"FLAT, OUT, ANGLE, HITCH, HITCH",C,Short Right Pass,1
2022091900,69,1,short,SHOTGUN,3x1,middle,10,85,Zone,5-2 Defense,75.0,Cover-3,"HITCH, HITCH, FLAT, FLAT, HITCH",C,Short Middle Pass,1
2022091900,189,1,short,SHOTGUN,2x2,right,10,54,Man,5-2 Defense,44.0,Cover-1,"CROSS, IN, CROSS, FLAT, OUT",I,Short Right Pass,1
2022091900,256,1,short,SHOTGUN,2x2,right,10,41,Zone,3-1-7 Quarter,31.0,Quarters,"SCREEN, OUT, IN, FLAT, SCREEN",C,Short Right Pass,1
2022091900,344,1,short,I_FORM,2x1,left,10,21,Other,3-4 Defense,11.0,Red Zone,"SLANT, HITCH, FLAT, SCREEN",C,I-Formation Screen Play,1
2022091900,736,1,deep,SINGLEBACK,3x1,left,10,85,Zone,5-2 Defense,75.0,Cover-3,"HITCH, ANGLE, HITCH",C,First Down Play Action Deep Pass,1
2022092503,56,1,deep,EMPTY,3x2,middle,10,35,Man,Heavy DE Front,75.0,Cover-0,"POST, OUT, GO, POST",C,Spread Deep Attack from Empty 3x2 Alignment,1
2022092503,80,1,short,I_FORM,2x1,middle,10,63,Zone,5-2 Defense,47.0,Cover-3,"POST, ANGLE, POST, POST",C,Short Middle Pass,1
2022092503,188,1,short,SHOTGUN,2x2,right,10,94,Zone,5-2 Defense,16.0,Cover 6-Left,"GO, FLAT, CORNER, POST, OUT",C,Short Right Pass,1
2022092503,813,1,short,SHOTGUN,2x2,middle,10,35,Man,Heavy DE Front,75.0,Cover-1,"GO, CROSS, ANGLE, GO",C,Short Middle Pass,1
2022092503,866,1,short,SHOTGUN,2x2,middle,10,50,Zone,Heavy DE Front,60.0,Cover-2,"GO, POST, ANGLE, GO, SLANT",C,Short Middle Pass,1
2022092503,919,1,short,SHOTGUN,2x2,right,10,62,Zone,5-2 Defense,48.0,Cover-3,"IN, IN, FLAT, GO, HITCH",C,Short Right Pass,1
2022100202,223,1,deep,SHOTGUN,2x1,left,10,67,Zone,5-2 Defense,57.0,Cover-2,"CORNER, POST, ANGLE, FLAT, CORNER",I,Deep Left Isolation Pass,1
2022100202,344,1,short,EMPTY,3x2,middle,10,33,Zone,5-2 Defense,23.0,Cover 6-Left,"IN, GO, SLANT, GO, GO",I,Short Middle Pass,1
2022100202,835,1,short,SHOTGUN,3x1,left,10,88,Zone,5-2 Defense,78.0,Cover-3,"HITCH, GO, FLAT, GO, SLANT",I,Short Left Pass,1
2022100901,74,1,short,SHOTGUN,2x2,left,10,108,Zone,5-2 Defense,98.0,Cover-2,"HITCH, FLAT, SLANT, POST, IN",I,Short Left Pass,1
2022100901,713,1,deep,SINGLEBACK,2x1,right,10,28,Zone,3-4 Defense,18.0,Cover-3,"OUT, POST",I,First Down Play Action Deep Pass,1
2022101610,55,1,short,SHOTGUN,3x1,left,10,85,Zone,5-2 Defense,75.0,Cover-2,"GO, FLAT, CORNER, HITCH, CROSS",C,Short Left Pass,1
2022101610,227,1,short,SHOTGUN,2x2,middle,10,27,Man,5-2 Defense,17.0,Cover-1,"GO, ANGLE, OUT, HITCH, OUT",C,Short Middle Pass,1
2022101610,701,1,deep,SINGLEBACK,2x2,left,10,90,Zone,5-2 Defense,80.0,Cover-3 Seam,"CORNER, OUT, POST, HITCH, IN",C,First Down Play Action Deep Pass,1
