displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Christian McCaffrey,ANGLE,28,23.73,5.0,0.0,1.0,0.0,0.0,38.0,13.16,0.0,2.63,0.0,0.0
Christian McCaffrey,CROSS,4,3.39,1.0,1.0,0.0,0.0,0.0,38.0,2.63,2.63,0.0,0.0,0.0
Christian McCaffrey,FLAT,53,44.92,12.0,4.0,0.0,0.0,0.0,38.0,31.58,10.53,0.0,0.0,0.0
Christian McCaffrey,GO,2,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian McCaffrey,HITCH,2,1.69,1.0,0.0,0.0,0.0,0.0,38.0,2.63,0.0,0.0,0.0,0.0
Christian McCaffrey,IN,2,1.69,1.0,0.0,0.0,0.0,0.0,38.0,2.63,0.0,0.0,0.0,0.0
Christian McCaffrey,OUT,11,9.32,2.0,2.0,0.0,0.0,0.0,38.0,5.26,5.26,0.0,0.0,0.0
Christian McCaffrey,SCREEN,11,9.32,6.0,1.0,0.0,0.0,0.0,38.0,15.79,2.63,0.0,0.0,0.0
Christian McCaffrey,WHEEL,5,4.24,0.0,1.0,0.0,0.0,0.0,38.0,0.0,2.63,0.0,0.0,0.0
Chuba Hubbard,ANGLE,5,21.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chuba Hubbard,FLAT,10,43.48,1.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0
Chuba Hubbard,OUT,3,13.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chuba Hubbard,SCREEN,3,13.04,2.0,0.0,0.0,0.0,0.0,4.0,50.0,0.0,0.0,0.0,0.0
Chuba Hubbard,SLANT,1,4.35,0.0,1.0,0.0,0.0,0.0,4.0,0.0,25.0,0.0,0.0,0.0
Chuba Hubbard,WHEEL,1,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D'Onta Foreman,ANGLE,15,32.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D'Onta Foreman,FLAT,17,36.96,2.0,1.0,0.0,0.0,0.0,5.0,40.0,20.0,0.0,0.0,0.0
D'Onta Foreman,OUT,9,19.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D'Onta Foreman,SCREEN,5,10.87,1.0,0.0,1.0,0.0,0.0,5.0,20.0,0.0,20.0,0.0,0.0
D.J. Moore,ANGLE,1,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D.J. Moore,CORNER,13,5.1,1.0,1.0,2.0,0.0,0.0,65.0,1.54,1.54,3.08,0.0,0.0
D.J. Moore,CROSS,24,9.41,7.0,5.0,0.0,0.0,0.0,65.0,10.77,7.69,0.0,0.0,0.0
D.J. Moore,FLAT,14,5.49,1.0,2.0,0.0,0.0,0.0,65.0,1.54,3.08,0.0,0.0,0.0
D.J. Moore,GO,74,29.02,2.0,7.0,0.0,0.0,0.0,65.0,3.08,10.77,0.0,0.0,0.0
D.J. Moore,HITCH,37,14.51,4.0,7.0,0.0,0.0,0.0,65.0,6.15,10.77,0.0,0.0,0.0
D.J. Moore,IN,26,10.2,2.0,5.0,0.0,0.0,0.0,65.0,3.08,7.69,0.0,0.0,0.0
D.J. Moore,OUT,20,7.84,5.0,0.0,1.0,0.0,0.0,65.0,7.69,0.0,1.54,0.0,0.0
D.J. Moore,POST,19,7.45,2.0,3.0,0.0,0.0,0.0,65.0,3.08,4.62,0.0,0.0,0.0
D.J. Moore,SCREEN,8,3.14,4.0,0.0,0.0,0.0,0.0,65.0,6.15,0.0,0.0,0.0,0.0
D.J. Moore,SLANT,19,7.45,3.0,1.0,0.0,0.0,0.0,65.0,4.62,1.54,0.0,0.0,0.0
Giovanni Ricci,CORNER,1,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giovanni Ricci,CROSS,7,15.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giovanni Ricci,FLAT,5,11.11,1.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0
Giovanni Ricci,GO,9,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giovanni Ricci,HITCH,8,17.78,2.0,0.0,0.0,0.0,0.0,4.0,50.0,0.0,0.0,0.0,0.0
Giovanni Ricci,IN,2,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giovanni Ricci,OUT,5,11.11,1.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0
Giovanni Ricci,POST,3,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giovanni Ricci,SCREEN,4,8.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giovanni Ricci,SLANT,1,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ian Thomas,CORNER,1,1.22,0.0,1.0,0.0,0.0,0.0,17.0,0.0,5.88,0.0,0.0,0.0
Ian Thomas,CROSS,15,18.29,1.0,2.0,0.0,0.0,0.0,17.0,5.88,11.76,0.0,0.0,0.0
Ian Thomas,FLAT,24,29.27,3.0,0.0,0.0,0.0,0.0,17.0,17.65,0.0,0.0,0.0,0.0
Ian Thomas,GO,11,13.41,2.0,0.0,0.0,0.0,0.0,17.0,11.76,0.0,0.0,0.0,0.0
Ian Thomas,HITCH,12,14.63,1.0,1.0,0.0,0.0,0.0,17.0,5.88,5.88,0.0,0.0,0.0
Ian Thomas,OUT,5,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ian Thomas,POST,2,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ian Thomas,SCREEN,9,10.98,5.0,0.0,0.0,0.0,0.0,17.0,29.41,0.0,0.0,0.0,0.0
Ian Thomas,SLANT,3,3.66,0.0,1.0,0.0,0.0,0.0,17.0,0.0,5.88,0.0,0.0,0.0
