gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091101,63,1,short,SINGLEBACK,3x1,right,10,32,Zone,Other,78.0,Cover-3,"OUT, ANGLE, HITCH, CROSS, CROSS",I,Midfield Short Pass,1
2022091101,748,1,short,SHOTGUN,2x2,left,10,15,Zone,Other,95.0,Cover-3,"GO, OUT, SCREEN",C,Short Left Pass,1
2022091101,850,1,short,SINGLEBACK,2x2,right,10,30,Zone,Other,80.0,Cover-3,"OUT, ANGLE, OUT, HITCH, OUT",C,Singleback Balanced Short Pass,1
2022091805,235,1,short,SHOTGUN,2x2,right,10,62,Man,5-2 Defense,52.0,Cover-1,"GO, POST, IN, OUT",I,Short Right Pass,1
2022091805,739,1,short,SHOTGUN,3x1,left,10,71,Man,5-2 Defense,61.0,Cover-1,"SLANT, SLANT, SCREEN",I,Short Left Pass,1
2022092500,808,1,short,SINGLEBACK,2x2,right,10,57,Zone,4-3 Defense,53.0,Cover-2,"SCREEN, ANGLE, FLAT, SCREEN",C,Singleback Balanced Short Pass,1
2022092500,858,1,short,SHOTGUN,2x2,left,10,69,Zone,Big Nickel,41.0,Cover-3,"HITCH, FLAT, GO, SCREEN",C,Short Left Pass,1
2022092500,906,1,short,SINGLEBACK,2x2,right,10,81,Man,Big Nickel,29.0,Cover-1,"OUT, OUT, IN, CROSS, CORNER",I,Singleback Balanced Short Pass,1
2022100203,218,1,short,SHOTGUN,3x1,middle,10,40,Zone,Heavy DE Front,70.0,Cover-3,"SLANT, FLAT, GO, HITCH, OUT",C,Short Middle Pass,1
2022100203,716,1,short,SINGLEBACK,3x1,left,10,42,Zone,Heavy DE Front,68.0,Cover-3,"HITCH, HITCH",C,Midfield Short Pass,1
2022100910,571,1,short,SINGLEBACK,2x2,right,10,67,Zone,5-2 Defense,43.0,Cover-3,"IN, GO, FLAT, CROSS",C,Singleback Balanced Short Pass,1
2022100910,663,1,short,SINGLEBACK,3x1,right,10,79,Zone,5-2 Defense,31.0,Cover-3 Seam,"HITCH, OUT, CORNER, FLAT",I,Short Right Pass,1
2022101608,225,1,short,SINGLEBACK,2x2,right,10,88,Zone,5-2 Defense,22.0,Cover-3,"OUT, ANGLE, SLANT, SCREEN",I,Singleback Balanced Short Pass,1
2022102301,184,1,deep,SHOTGUN,2x2,right,10,100,Zone,3-1-7 Quarter,90.0,Cover-3,"CORNER, CROSS, CORNER, SCREEN, CROSS",I,Spread Misdirection Play,1
2022103001,435,1,deep,SHOTGUN,2x2,middle,10,86,Zone,5-2 Defense,24.0,Quarters,"POST, SLANT, SCREEN",I,Deep Middle Pass,1
2022103001,735,1,deep,I_FORM,2x1,right,10,29,Zone,Heavy LB Defense,81.0,Cover-3,"ANGLE, CORNER, HITCH, OUT, CORNER",I,First Down Play Action Deep Pass,1
2022110602,510,1,short,SINGLEBACK,2x2,left,10,36,Man,5-2 Defense,74.0,Cover-1,"FLAT, GO, FLAT, CROSS, GO",I,Midfield Short Pass,1
2022091101,85,2,short,SHOTGUN,3x1,left,10,32,Zone,Other,78.0,Quarters,"OUT, SCREEN, GO, FLAT, GO",C,Short Left Pass,1
2022091101,772,2,short,SINGLEBACK,2x2,right,5,20,Man,Other,90.0,Cover-1,"POST, ANGLE, CROSS, OUT, CORNER",I,Red Zone Short Pass,1
2022091805,257,2,short,SHOTGUN,3x1,middle,10,62,Zone,5-2 Defense,52.0,Cover-3,"FLAT, CROSS, GO",C,Short Middle Pass,1
2022091805,773,2,short,SHOTGUN,3x1,left,10,71,Zone,5-2 Defense,61.0,Cover-3,"HITCH, SCREEN, GO, OUT, OUT",C,Short Left Pass,1
2022092500,882,2,short,SINGLEBACK,2x2,right,12,67,Zone,Big Nickel,43.0,Cover-3 Seam,"HITCH, OUT, CORNER",C,Singleback Balanced Short Pass,1
2022100203,459,2,short,SHOTGUN,2x2,right,10,24,Zone,Heavy DE Front,86.0,Quarters,"HITCH, FLAT, IN, OUT, HITCH",C,Short Right Pass,1
2022100203,685,2,short,SINGLEBACK,3x1,left,10,31,Zone,Heavy DE Front,79.0,Cover-6 Right,"CROSS, FLAT, OUT, FLAT, CORNER",C,Midfield Short Pass,1
2022100910,287,2,short,I_FORM,2x1,right,1,35,Man,5-2 Defense,75.0,Cover-1,"GO, SCREEN, GO, HITCH",I,I-Formation Screen Play,1
2022101608,76,2,short,SHOTGUN,3x1,right,4,41,Zone,5-2 Defense,69.0,Cover-6 Right,"GO, SCREEN, ANGLE, GO, FLAT",C,Short Right Pass,1
2022101608,196,2,short,SHOTGUN,2x2,left,8,77,Zone,5-2 Defense,33.0,Quarters,"SLANT, CROSS, ANGLE, GO, GO",C,Short Left Pass,1
2022101608,259,2,short,EMPTY,3x2,left,10,88,Zone,5-2 Defense,22.0,Quarters,"SCREEN, FLAT, GO, SCREEN, FLAT",C,Short Left Pass,1
2022101608,667,2,short,SHOTGUN,3x1,left,8,62,Zone,5-2 Defense,48.0,Cover 6-Left,"SLANT, GO, OUT, FLAT, OUT",I,Short Left Pass,1
2022103001,132,2,short,SHOTGUN,2x2,right,3,37,Zone,5-2 Defense,73.0,Cover-3 Cloud Left,"SCREEN, SCREEN, SCREEN, GO",C,Short Right Pass,1
2022103001,210,2,deep,SINGLEBACK,2x2,right,7,54,Zone,5-2 Defense,56.0,Cover-3,"FLAT, CROSS, CROSS, CORNER",I,Spread Misdirection Play,1
2022103001,757,2,short,SHOTGUN,3x1,left,10,29,Zone,Heavy LB Defense,81.0,Quarters,"FLAT, GO, FLAT, GO, ANGLE",C,Short Left Pass,1
2022091101,109,3,short,EMPTY,3x2,right,15,27,Zone,Other,83.0,Cover-3,"SCREEN, SCREEN, FLAT, FLAT, FLAT",C,Short Right Pass,1
2022091805,327,3,short,SHOTGUN,2x2,left,22,74,Zone,4-2-5 Nickel,64.0,Cover-3,"SCREEN, GO, FLAT",C,Short Left Pass,1
2022092500,127,3,deep,SHOTGUN,3x1,right,9,52,Man,Big Secondary and LB,58.0,Cover-1,"GO, ANGLE, GO, SCREEN",I,Third-and-Long Deep Attack,1
2022092500,475,3,deep,SHOTGUN,3x1,left,6,34,Man,Big Secondary and LB,76.0,Cover-1,"POST, CROSS, CROSS, GO",I,Midfield Deep Shotgun Attack,1
2022100203,483,3,short,EMPTY,3x2,middle,2,32,Man,Heavy DE Front,78.0,Cover-1,"GO, GO, IN, SLANT, IN",I,Short Middle Pass,1
2022100910,706,3,short,EMPTY,3x2,right,13,76,Zone,Heavy DE Front,34.0,Cover-3,"GO, FLAT, SLANT, SLANT, OUT",C,Short Right Pass,1
2022101608,315,3,short,SHOTGUN,3x1,left,16,82,Zone,3-4 Defense,28.0,Cover-3,"HITCH, SCREEN, OUT, HITCH, GO",C,Short Left Pass,1
2022101608,689,3,short,EMPTY,4x1,right,8,62,Zone,3-4 Defense,48.0,Cover-3,"SLANT, SCREEN, SCREEN, FLAT, SCREEN",C,Short Right Pass,1
2022102301,562,3,short,SHOTGUN,2x2,right,5,85,Man,3-4 Defense,75.0,2-Man,"OUT, OUT, HITCH, FLAT, CORNER",C,Short Right Pass,1
2022103001,232,3,deep,SHOTGUN,3x1,middle,7,54,Man,5-2 Defense,56.0,Cover-1,"CROSS, HITCH, CORNER, GO",I,Third-and-Long Deep Attack,1
2022103001,786,3,short,EMPTY,3x2,left,5,34,Man,5-2 Defense,76.0,Cover-1,"IN, GO, IN, SLANT, OUT",I,Short Left Pass,1
2022110602,369,3,short,SHOTGUN,2x2,right,5,40,Man,5-2 Defense,70.0,Cover-1,"SLANT, GO, GO, HITCH, FLAT",C,Short Right Pass,1
2022110602,560,3,short,SHOTGUN,2x1,right,8,38,Zone,5-2 Defense,72.0,Cover-2,"ANGLE, OUT, CORNER, HITCH, FLAT",I,Short Right Pass,1
2022091101,1122,1,short,SINGLEBACK,2x2,right,10,90,Zone,Other,80.0,Quarters,"HITCH, POST, HITCH",I,Singleback Balanced Short Pass,2
2022091101,1669,1,short,SINGLEBACK,2x2,right,10,85,Zone,Other,75.0,Cover-3,"GO, FLAT, IN, FLAT",I,Singleback Balanced Short Pass,2
2022091101,1744,1,deep,SHOTGUN,2x2,left,10,62,Zone,Other,52.0,Cover-3 Seam,"HITCH, ANGLE, HITCH, GO, GO",C,General Strategy,2
2022091101,1785,1,short,SHOTGUN,2x2,left,2,12,Man,Other,2.0,Cover-0,"SCREEN, ANGLE, HITCH, FLAT, OUT",C,Short Left Pass,2
2022091101,2199,1,short,SHOTGUN,3x1,left,10,85,Zone,Other,75.0,Cover 6-Left,"GO, FLAT, IN, IN, POST",I,Short Left Pass,2
2022091805,880,1,deep,SINGLEBACK,2x2,left,10,61,Zone,Interior DL Heavy,49.0,Quarters,"IN, GO, CORNER, CROSS",I,First Down Play Action Deep Pass,2
2022091805,926,1,deep,SINGLEBACK,2x2,left,10,77,Zone,Interior DL Heavy,33.0,Quarters,"CROSS, ANGLE, CORNER, CROSS",C,First Down Play Action Deep Pass,2
2022091805,1221,1,deep,SHOTGUN,2x2,left,10,30,Zone,4-3 Defense,80.0,Cover-3,"HITCH, ANGLE, GO, OUT, OUT",I,Scoring Zone Deep Pass,2
2022091805,1518,1,short,SINGLEBACK,3x1,right,10,62,Zone,5-2 Defense,48.0,Quarters,"ANGLE, POST, CROSS, CROSS",C,Short Right Pass,2
2022092500,1592,1,short,SINGLEBACK,2x2,right,10,46,Man,Big Nickel,36.0,Cover-1,"POST, CORNER, FLAT, FLAT, CROSS",I,Midfield Short Pass,2
2022100203,1207,1,short,EMPTY,3x2,left,10,52,Zone,Heavy DE Front,42.0,Cover 6-Left,"CORNER, OUT, GO, GO, IN",C,Short Left Pass,2
2022100203,1601,1,deep,SHOTGUN,2x2,left,10,86,Zone,3-4 Defense,76.0,Cover-3,"CORNER, FLAT, HITCH, POST, IN",I,Flood Concept (Intermediate Stretch),2
2022100203,1644,1,short,SHOTGUN,2x2,middle,10,76,Zone,3-4 Defense,66.0,Cover-3,"HITCH, ANGLE, HITCH, GO, GO",C,Short Middle Pass,2
2022100203,1689,1,deep,SHOTGUN,2x2,right,10,57,Zone,Heavy DE Front,47.0,Cover-6 Right,"HITCH, FLAT, HITCH, HITCH, FLAT",I,Flood Concept (Intermediate Stretch),2
2022100203,1873,1,short,SHOTGUN,3x1,right,10,75,Zone,Big Secondary and LB,65.0,Cover-2,"CORNER, FLAT, POST, HITCH, POST",C,Short Right Pass,2
2022100203,1928,1,short,SHOTGUN,3x1,left,10,52,Zone,Big Secondary and LB,42.0,Cover-3 Seam,"IN, HITCH, GO, IN",I,Short Left Pass,2
2022100910,1225,1,short,SHOTGUN,3x1,left,20,51,Man,5-2 Defense,41.0,Cover-1,"FLAT, FLAT, GO, SLANT, FLAT",C,Short Left Pass,2
2022100910,1797,1,short,SHOTGUN,2x2,left,10,88,Zone,Heavy DE Front,78.0,Quarters,"FLAT, ANGLE, SLANT, FLAT",C,Short Left Pass,2
2022100910,1845,1,short,SHOTGUN,2x2,middle,10,70,Zone,Heavy DE Front,60.0,Cover-3,"HITCH, OUT, GO, GO, GO",I,Short Middle Pass,2
2022101608,878,1,short,SHOTGUN,2x2,left,10,86,Zone,Heavy LB Defense,76.0,Cover-3,"CROSS, FLAT, SCREEN, HITCH",C,Short Left Pass,2
2022102301,1061,1,short,SINGLEBACK,2x2,left,10,75,Zone,3-4 Defense,35.0,Quarters,"FLAT, CROSS, CROSS, GO, FLAT",C,Singleback Balanced Short Pass,2
2022102301,1380,1,deep,SINGLEBACK,2x2,left,10,30,Zone,3-4 Defense,80.0,Cover-2,"CROSS, CROSS, GO, CROSS",C,First Down Play Action Deep Pass,2
2022102301,1469,1,short,SHOTGUN,3x1,left,10,75,Zone,3-4 Defense,35.0,Cover-3 Seam,"FLAT, SLANT, GO, HITCH, OUT",C,Short Left Pass,2
2022102301,1517,1,deep,SHOTGUN,2x1,left,10,90,Zone,3-4 Defense,20.0,Quarters,"OUT, POST, POST, OUT, OUT",C,Deep Left Isolation Pass,2
2022103001,1242,1,deep,SHOTGUN,3x1,left,10,42,Zone,5-2 Defense,32.0,Cover-3 Cloud Left,"FLAT, POST, GO, POST, CROSS",I,Midfield Deep Shotgun Attack,2
2022103001,1667,1,short,SHOTGUN,2x2,right,10,84,Zone,5-2 Defense,74.0,Cover-2,"ANGLE, HITCH, GO, HITCH, HITCH",C,Short Right Pass,2
2022103001,1712,1,short,SHOTGUN,2x2,middle,10,73,Zone,5-2 Defense,63.0,Cover-3,"SCREEN, GO, CROSS, HITCH, OUT",IN,Short Middle Pass,2
2022103001,1822,1,deep,SHOTGUN,3x1,left,10,72,Zone,5-2 Defense,62.0,Cover-3,"SCREEN, GO, OUT, GO, CORNER",I,Shotgun Isolation Deep Attack,2
2022110602,1664,1,short,SHOTGUN,3x1,left,10,76,Zone,3-4 Defense,66.0,Cover-3,"ANGLE, FLAT, FLAT, GO",I,Short Left Pass,2
