displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Byron Pringle,CROSS,3,37.5,1.0,0.0,0.0,0.0,0.0,3.0,33.33,0.0,0.0,0.0,0.0
Byron Pringle,GO,5,62.5,1.0,1.0,0.0,0.0,0.0,3.0,33.33,33.33,0.0,0.0,0.0
Chase Claypool,GO,2,14.29,0.0,1.0,0.0,0.0,0.0,6.0,0.0,16.67,0.0,0.0,0.0
Chase Claypool,HITCH,3,21.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chase Claypool,IN,1,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chase Claypool,POST,1,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chase Claypool,SCREEN,5,35.71,2.0,2.0,0.0,0.0,0.0,6.0,33.33,33.33,0.0,0.0,0.0
Chase Claypool,SLANT,2,14.29,0.0,1.0,0.0,0.0,0.0,6.0,0.0,16.67,0.0,0.0,0.0
Cole Kmet,CORNER,5,2.91,1.0,0.0,0.0,0.0,0.0,25.0,4.0,0.0,0.0,0.0,0.0
Cole Kmet,CROSS,41,23.84,5.0,1.0,0.0,0.0,0.0,25.0,20.0,4.0,0.0,0.0,0.0
Cole Kmet,FLAT,32,18.6,4.0,1.0,0.0,0.0,0.0,25.0,16.0,4.0,0.0,0.0,0.0
Cole Kmet,GO,17,9.88,1.0,1.0,0.0,0.0,0.0,25.0,4.0,4.0,0.0,0.0,0.0
Cole Kmet,HITCH,20,11.63,3.0,0.0,0.0,0.0,0.0,25.0,12.0,0.0,0.0,0.0,0.0
Cole Kmet,IN,7,4.07,0.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,4.0,0.0,0.0
Cole Kmet,OUT,10,5.81,0.0,1.0,0.0,0.0,0.0,25.0,0.0,4.0,0.0,0.0,0.0
Cole Kmet,POST,12,6.98,0.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,4.0,0.0,0.0
Cole Kmet,SCREEN,15,8.72,3.0,1.0,0.0,0.0,0.0,25.0,12.0,4.0,0.0,0.0,0.0
Cole Kmet,SLANT,13,7.56,1.0,0.0,0.0,0.0,0.0,25.0,4.0,0.0,0.0,0.0,0.0
Dante Pettis,CORNER,9,7.69,0.0,1.0,0.0,0.0,0.0,19.0,0.0,5.26,0.0,0.0,0.0
Dante Pettis,CROSS,10,8.55,0.0,2.0,0.0,0.0,0.0,19.0,0.0,10.53,0.0,0.0,0.0
Dante Pettis,FLAT,4,3.42,1.0,0.0,0.0,0.0,0.0,19.0,5.26,0.0,0.0,0.0,0.0
Dante Pettis,GO,30,25.64,0.0,1.0,0.0,0.0,0.0,19.0,0.0,5.26,0.0,0.0,0.0
Dante Pettis,HITCH,20,17.09,3.0,2.0,0.0,0.0,0.0,19.0,15.79,10.53,0.0,0.0,0.0
Dante Pettis,IN,14,11.97,1.0,0.0,0.0,0.0,0.0,19.0,5.26,0.0,0.0,0.0,0.0
Dante Pettis,OUT,14,11.97,3.0,2.0,0.0,0.0,0.0,19.0,15.79,10.53,0.0,0.0,0.0
Dante Pettis,POST,4,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dante Pettis,SCREEN,3,2.56,2.0,0.0,0.0,0.0,0.0,19.0,10.53,0.0,0.0,0.0,0.0
Dante Pettis,SLANT,9,7.69,0.0,1.0,0.0,0.0,0.0,19.0,0.0,5.26,0.0,0.0,0.0
Darnell Mooney,CORNER,21,10.82,1.0,0.0,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0
Darnell Mooney,CROSS,23,11.86,4.0,3.0,0.0,0.0,0.0,50.0,8.0,6.0,0.0,0.0,0.0
Darnell Mooney,FLAT,12,6.19,2.0,1.0,0.0,0.0,0.0,50.0,4.0,2.0,0.0,0.0,0.0
Darnell Mooney,GO,43,22.16,3.0,8.0,0.0,0.0,0.0,50.0,6.0,16.0,0.0,0.0,0.0
Darnell Mooney,HITCH,26,13.4,9.0,1.0,1.0,0.0,0.0,50.0,18.0,2.0,2.0,0.0,0.0
Darnell Mooney,IN,8,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darnell Mooney,OUT,20,10.31,5.0,2.0,0.0,0.0,0.0,50.0,10.0,4.0,0.0,0.0,0.0
Darnell Mooney,POST,15,7.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darnell Mooney,SCREEN,13,6.7,7.0,3.0,0.0,0.0,0.0,50.0,14.0,6.0,0.0,0.0,0.0
Darnell Mooney,SLANT,13,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Montgomery,ANGLE,40,37.74,4.0,0.0,0.0,0.0,0.0,14.0,28.57,0.0,0.0,0.0,0.0
David Montgomery,FLAT,42,39.62,2.0,2.0,0.0,0.0,0.0,14.0,14.29,14.29,0.0,0.0,0.0
David Montgomery,GO,4,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Montgomery,HITCH,3,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Montgomery,OUT,6,5.66,1.0,0.0,0.0,0.0,0.0,14.0,7.14,0.0,0.0,0.0,0.0
David Montgomery,POST,1,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Montgomery,SCREEN,10,9.43,5.0,0.0,0.0,0.0,0.0,14.0,35.71,0.0,0.0,0.0,0.0
Equanimeous St. Brown,CORNER,5,3.47,1.0,0.0,0.0,0.0,0.0,25.0,4.0,0.0,0.0,0.0,0.0
Equanimeous St. Brown,CROSS,21,14.58,3.0,1.0,0.0,0.0,0.0,25.0,12.0,4.0,0.0,0.0,0.0
Equanimeous St. Brown,FLAT,13,9.03,1.0,1.0,0.0,0.0,0.0,25.0,4.0,4.0,0.0,0.0,0.0
Equanimeous St. Brown,GO,37,25.69,0.0,4.0,0.0,0.0,0.0,25.0,0.0,16.0,0.0,0.0,0.0
Equanimeous St. Brown,HITCH,19,13.19,1.0,2.0,0.0,0.0,0.0,25.0,4.0,8.0,0.0,0.0,0.0
Equanimeous St. Brown,IN,16,11.11,1.0,1.0,1.0,0.0,0.0,25.0,4.0,4.0,4.0,0.0,0.0
Equanimeous St. Brown,OUT,11,7.64,3.0,2.0,1.0,0.0,0.0,25.0,12.0,8.0,4.0,0.0,0.0
Equanimeous St. Brown,POST,11,7.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equanimeous St. Brown,SCREEN,3,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equanimeous St. Brown,SLANT,8,5.56,1.0,1.0,0.0,0.0,0.0,25.0,4.0,4.0,0.0,0.0,0.0
Ihmir Smith-Marsette,CORNER,1,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ihmir Smith-Marsette,CROSS,3,13.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ihmir Smith-Marsette,GO,4,17.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ihmir Smith-Marsette,HITCH,7,30.43,1.0,1.0,0.0,0.0,0.0,4.0,25.0,25.0,0.0,0.0,0.0
Ihmir Smith-Marsette,IN,2,8.7,0.0,1.0,0.0,0.0,0.0,4.0,0.0,25.0,0.0,0.0,0.0
Ihmir Smith-Marsette,OUT,2,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ihmir Smith-Marsette,POST,3,13.04,0.0,1.0,0.0,0.0,0.0,4.0,0.0,25.0,0.0,0.0,0.0
Ihmir Smith-Marsette,SLANT,1,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Tonges,CORNER,1,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Tonges,CROSS,1,33.33,0.0,1.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0
Jake Tonges,HITCH,1,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khalil Herbert,ANGLE,15,24.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khalil Herbert,FLAT,27,44.26,1.0,0.0,0.0,0.0,0.0,7.0,14.29,0.0,0.0,0.0,0.0
Khalil Herbert,GO,2,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khalil Herbert,HITCH,2,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khalil Herbert,OUT,6,9.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khalil Herbert,SCREEN,8,13.11,5.0,1.0,0.0,0.0,0.0,7.0,71.43,14.29,0.0,0.0,0.0
Khalil Herbert,WHEEL,1,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khari Blasingame,CROSS,2,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khari Blasingame,FLAT,11,52.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khari Blasingame,HITCH,3,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khari Blasingame,SLANT,1,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khari Blasingame,WHEEL,4,19.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N'Keal Harry,CORNER,1,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N'Keal Harry,CROSS,5,17.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N'Keal Harry,FLAT,1,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N'Keal Harry,GO,5,17.24,0.0,1.0,0.0,0.0,0.0,4.0,0.0,25.0,0.0,0.0,0.0
N'Keal Harry,HITCH,5,17.24,1.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0
N'Keal Harry,OUT,1,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N'Keal Harry,POST,4,13.79,1.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0
N'Keal Harry,SCREEN,5,17.24,1.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0
N'Keal Harry,SLANT,2,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Griffin,CORNER,1,6.25,0.0,1.0,0.0,0.0,0.0,6.0,0.0,16.67,0.0,0.0,0.0
Ryan Griffin,CROSS,3,18.75,0.0,1.0,0.0,0.0,0.0,6.0,0.0,16.67,0.0,0.0,0.0
Ryan Griffin,FLAT,4,25.0,1.0,1.0,0.0,0.0,0.0,6.0,16.67,16.67,0.0,0.0,0.0
Ryan Griffin,HITCH,3,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Griffin,OUT,1,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Griffin,POST,3,18.75,1.0,0.0,0.0,0.0,0.0,6.0,16.67,0.0,0.0,0.0,0.0
Ryan Griffin,SCREEN,1,6.25,1.0,0.0,0.0,0.0,0.0,6.0,16.67,0.0,0.0,0.0,0.0
Trestan Ebner,ANGLE,4,26.67,1.0,0.0,0.0,0.0,0.0,3.0,33.33,0.0,0.0,0.0,0.0
Trestan Ebner,FLAT,9,60.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,66.67,0.0,0.0,0.0
Trestan Ebner,OUT,1,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trestan Ebner,SLANT,1,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevon Wesco,CORNER,3,13.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevon Wesco,CROSS,6,26.09,1.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0
Trevon Wesco,FLAT,7,30.43,0.0,1.0,0.0,0.0,0.0,2.0,0.0,50.0,0.0,0.0,0.0
Trevon Wesco,HITCH,3,13.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevon Wesco,IN,1,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevon Wesco,OUT,1,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevon Wesco,POST,1,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevon Wesco,SLANT,1,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Velus Jones,CROSS,2,20.0,1.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0
Velus Jones,GO,2,20.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,25.0,0.0,0.0,0.0
Velus Jones,HITCH,2,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Velus Jones,IN,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Velus Jones,SCREEN,2,20.0,1.0,1.0,0.0,0.0,0.0,4.0,25.0,25.0,0.0,0.0,0.0
Velus Jones,SLANT,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
