gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091102,64,1,short,EMPTY,4x1,left,10,87,Zone,5-2 Defense,77.0,Quarters,"CROSS, POST, FLAT, OUT",I,Short Left Pass,1
2022091102,388,1,short,SINGLEBACK,3x1,left,10,78,Zone,5-2 Defense,68.0,Cover-3 Seam,"CROSS, CORNER, ANGLE, OUT",I,Short Left Pass,1
2022091102,756,1,short,I_FORM,2x1,left,10,80,Zone,5-2 Defense,70.0,Cover-3,"POST, IN, WHEEL, POST, SCREEN",C,I-Formation Screen Play,1
2022092501,112,1,short,EMPTY,3x2,left,10,45,Zone,5-2 Defense,65.0,Cover-3,"SLANT, SCREEN, HITCH, SLANT, SCREEN",I,Short Left Pass,1
2022092501,181,1,short,SINGLEBACK,2x2,right,10,75,Man,4-2-5 Nickel,35.0,Cover-1,"CORNER, CROSS, ANGLE, CROSS, CROSS",I,Singleback Balanced Short Pass,1
2022092501,507,1,short,SHOTGUN,3x1,left,10,83,Man,5-2 Defense,27.0,Cover-1,"GO, IN, POST, HITCH, FLAT",C,Short Left Pass,1
2022092501,1060,1,short,SHOTGUN,3x1,left,15,25,Zone,5-2 Defense,85.0,Cover-3,"GO, POST, GO, GO, SCREEN",C,Short Left Pass,1
2022100208,581,1,deep,SINGLEBACK,3x1,left,10,91,Man,4-3 Defense,81.0,Cover-1,"CROSS, GO, OUT",C,First Down Play Action Deep Pass,1
2022100904,414,1,short,EMPTY,3x2,left,15,30,Zone,5-2 Defense,80.0,Cover 6-Left,"FLAT, SCREEN, HITCH, SLANT, FLAT",C,Short Left Pass,1
2022100904,438,1,short,SHOTGUN,2x2,left,10,60,Zone,5-2 Defense,50.0,Cover-3,"OUT, HITCH, ANGLE, HITCH, HITCH",C,Short Left Pass,1
2022101300,342,1,short,SINGLEBACK,2x2,left,10,76,Zone,5-2 Defense,66.0,Quarters,"CROSS, FLAT, CROSS, CROSS, GO",C,Singleback Balanced Short Pass,1
2022102400,267,1,short,SINGLEBACK,2x2,left,10,50,Zone,3-1-7 Quarter,40.0,Quarters,"CROSS, FLAT, POST, CROSS, CORNER",C,Midfield Short Pass,1
