displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Chris Evans,GO,7,77.78,2.0,1.0,0.0,0.0,0.0,3.0,66.67,33.33,0.0,0.0,0.0
Chris Evans,IN,1,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Evans,OUT,1,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Asiasi,CORNER,1,10.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,50.0,0.0,0.0,0.0
Devin Asiasi,CROSS,3,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Asiasi,FLAT,4,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Asiasi,GO,1,10.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,50.0,0.0,0.0,0.0
Devin Asiasi,SLANT,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Sample,CROSS,1,12.5,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Drew Sample,FLAT,1,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Sample,GO,4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Sample,IN,1,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Sample,SCREEN,1,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hayden Hurst,ANGLE,1,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hayden Hurst,CORNER,7,2.89,0.0,1.0,0.0,0.0,0.0,45.0,0.0,2.22,0.0,0.0,0.0
Hayden Hurst,CROSS,15,6.2,7.0,0.0,0.0,0.0,0.0,45.0,15.56,0.0,0.0,0.0,0.0
Hayden Hurst,FLAT,46,19.01,11.0,2.0,0.0,0.0,0.0,45.0,24.44,4.44,0.0,0.0,0.0
Hayden Hurst,GO,28,11.57,3.0,1.0,0.0,0.0,0.0,45.0,6.67,2.22,0.0,0.0,0.0
Hayden Hurst,HITCH,72,29.75,6.0,2.0,1.0,0.0,0.0,45.0,13.33,4.44,2.22,0.0,0.0
Hayden Hurst,IN,22,9.09,1.0,0.0,0.0,0.0,0.0,45.0,2.22,0.0,0.0,0.0,0.0
Hayden Hurst,OUT,22,9.09,6.0,0.0,0.0,0.0,0.0,45.0,13.33,0.0,0.0,0.0,0.0
Hayden Hurst,POST,14,5.79,1.0,0.0,0.0,0.0,0.0,45.0,2.22,0.0,0.0,0.0,0.0
Hayden Hurst,SCREEN,6,2.48,2.0,1.0,0.0,0.0,0.0,45.0,4.44,2.22,0.0,0.0,0.0
Hayden Hurst,SLANT,9,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ja'Marr Chase,ANGLE,1,0.37,1.0,0.0,0.0,0.0,0.0,67.0,1.49,0.0,0.0,0.0,0.0
Ja'Marr Chase,CORNER,13,4.78,0.0,1.0,0.0,0.0,0.0,67.0,0.0,1.49,0.0,0.0,0.0
Ja'Marr Chase,CROSS,16,5.88,1.0,0.0,0.0,0.0,0.0,67.0,1.49,0.0,0.0,0.0,0.0
Ja'Marr Chase,FLAT,6,2.21,2.0,0.0,0.0,0.0,0.0,67.0,2.99,0.0,0.0,0.0,0.0
Ja'Marr Chase,GO,91,33.46,6.0,7.0,0.0,0.0,0.0,67.0,8.96,10.45,0.0,0.0,0.0
Ja'Marr Chase,HITCH,34,12.5,4.0,5.0,0.0,0.0,0.0,67.0,5.97,7.46,0.0,0.0,0.0
Ja'Marr Chase,IN,27,9.93,3.0,3.0,0.0,0.0,0.0,67.0,4.48,4.48,0.0,0.0,0.0
Ja'Marr Chase,OUT,31,11.4,8.0,4.0,0.0,0.0,0.0,67.0,11.94,5.97,0.0,0.0,0.0
Ja'Marr Chase,POST,12,4.41,1.0,0.0,1.0,0.0,0.0,67.0,1.49,0.0,1.49,0.0,0.0
Ja'Marr Chase,SCREEN,9,3.31,6.0,0.0,0.0,0.0,0.0,67.0,8.96,0.0,0.0,0.0,0.0
Ja'Marr Chase,SLANT,31,11.4,11.0,2.0,0.0,0.0,0.0,67.0,16.42,2.99,0.0,0.0,0.0
Ja'Marr Chase,WHEEL,1,0.37,0.0,1.0,0.0,0.0,0.0,67.0,0.0,1.49,0.0,0.0,0.0
Joe Mixon,ANGLE,52,27.96,7.0,4.0,0.0,0.0,0.0,48.0,14.58,8.33,0.0,0.0,0.0
Joe Mixon,CROSS,1,0.54,1.0,0.0,0.0,0.0,0.0,48.0,2.08,0.0,0.0,0.0,0.0
Joe Mixon,FLAT,78,41.94,18.0,4.0,0.0,0.0,0.0,48.0,37.5,8.33,0.0,0.0,0.0
Joe Mixon,GO,20,10.75,1.0,1.0,0.0,0.0,0.0,48.0,2.08,2.08,0.0,0.0,0.0
Joe Mixon,HITCH,6,3.23,1.0,0.0,0.0,0.0,0.0,48.0,2.08,0.0,0.0,0.0,0.0
Joe Mixon,IN,1,0.54,1.0,0.0,0.0,0.0,0.0,48.0,2.08,0.0,0.0,0.0,0.0
Joe Mixon,OUT,16,8.6,2.0,0.0,0.0,0.0,0.0,48.0,4.17,0.0,0.0,0.0,0.0
Joe Mixon,SCREEN,11,5.91,5.0,2.0,0.0,0.0,0.0,48.0,10.42,4.17,0.0,0.0,0.0
Joe Mixon,WHEEL,1,0.54,0.0,1.0,0.0,0.0,0.0,48.0,0.0,2.08,0.0,0.0,0.0
Mike Thomas,CROSS,9,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Thomas,FLAT,2,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Thomas,GO,30,30.3,0.0,3.0,0.0,0.0,0.0,9.0,0.0,33.33,0.0,0.0,0.0
Mike Thomas,HITCH,20,20.2,2.0,0.0,0.0,0.0,0.0,9.0,22.22,0.0,0.0,0.0,0.0
Mike Thomas,IN,24,24.24,0.0,4.0,0.0,0.0,0.0,9.0,0.0,44.44,0.0,0.0,0.0
Mike Thomas,OUT,4,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Thomas,POST,5,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Thomas,SLANT,5,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Wilcox,CORNER,4,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Wilcox,CROSS,5,8.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Wilcox,FLAT,9,15.52,3.0,0.0,0.0,0.0,0.0,6.0,50.0,0.0,0.0,0.0,0.0
Mitchell Wilcox,GO,7,12.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Wilcox,HITCH,13,22.41,2.0,0.0,0.0,0.0,0.0,6.0,33.33,0.0,0.0,0.0,0.0
Mitchell Wilcox,IN,7,12.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Wilcox,OUT,4,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Wilcox,POST,1,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Wilcox,SCREEN,6,10.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Wilcox,SLANT,2,3.45,1.0,0.0,0.0,0.0,0.0,6.0,16.67,0.0,0.0,0.0,0.0
Samaje Perine,ANGLE,19,21.35,3.0,0.0,0.0,0.0,0.0,22.0,13.64,0.0,0.0,0.0,0.0
Samaje Perine,FLAT,45,50.56,11.0,2.0,0.0,0.0,0.0,22.0,50.0,9.09,0.0,0.0,0.0
Samaje Perine,GO,9,10.11,0.0,2.0,0.0,0.0,0.0,22.0,0.0,9.09,0.0,0.0,0.0
Samaje Perine,HITCH,4,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samaje Perine,OUT,6,6.74,1.0,0.0,0.0,0.0,0.0,22.0,4.55,0.0,0.0,0.0,0.0
Samaje Perine,SCREEN,5,5.62,3.0,0.0,0.0,0.0,0.0,22.0,13.64,0.0,0.0,0.0,0.0
Samaje Perine,SLANT,1,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stanley Morgan,CORNER,1,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stanley Morgan,CROSS,1,11.11,0.0,1.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0
Stanley Morgan,GO,1,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stanley Morgan,HITCH,2,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stanley Morgan,IN,1,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stanley Morgan,POST,1,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stanley Morgan,SLANT,2,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tee Higgins,CORNER,8,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tee Higgins,CROSS,13,5.02,2.0,1.0,0.0,0.0,0.0,57.0,3.51,1.75,0.0,0.0,0.0
Tee Higgins,FLAT,3,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tee Higgins,GO,78,30.12,6.0,7.0,0.0,0.0,0.0,57.0,10.53,12.28,0.0,0.0,0.0
Tee Higgins,HITCH,48,18.53,8.0,2.0,1.0,0.0,0.0,57.0,14.04,3.51,1.75,0.0,0.0
Tee Higgins,IN,27,10.42,3.0,2.0,0.0,0.0,0.0,57.0,5.26,3.51,0.0,0.0,0.0
Tee Higgins,OUT,29,11.2,8.0,3.0,0.0,0.0,0.0,57.0,14.04,5.26,0.0,0.0,0.0
Tee Higgins,POST,12,4.63,2.0,0.0,0.0,0.0,0.0,57.0,3.51,0.0,0.0,0.0,0.0
Tee Higgins,SCREEN,7,2.7,3.0,0.0,0.0,0.0,0.0,57.0,5.26,0.0,0.0,0.0,0.0
Tee Higgins,SLANT,34,13.13,8.0,1.0,0.0,0.0,0.0,57.0,14.04,1.75,0.0,0.0,0.0
Trent Taylor,CORNER,1,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Taylor,CROSS,4,13.33,1.0,0.0,0.0,0.0,0.0,3.0,33.33,0.0,0.0,0.0,0.0
Trent Taylor,FLAT,2,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Taylor,GO,6,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Taylor,HITCH,5,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Taylor,IN,4,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Taylor,OUT,2,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
