gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091103,295,1,short,EMPTY,3x2,right,10,74,Zone,Heavy LB Defense,64.0,Cover 6-Left,"OUT, GO, GO, POST, SLANT",C,Short Right Pass,1
2022091103,364,1,short,SHOTGUN,2x2,middle,10,62,Man,3-4 Defense,52.0,Cover-1,"POST, FLAT, POST, GO",C,Short Middle Pass,1
2022091103,388,1,short,SHOTGUN,3x1,right,10,44,Zone,3-4 Defense,34.0,Cover-2,"SCREEN, GO, SLANT, GO, GO",C,Short Right Pass,1
2022091103,852,1,short,SHOTGUN,2x2,right,10,85,Zone,3-4 Defense,75.0,Cover-3,"GO, ANGLE, SCREEN",C,Short Right Pass,1
2022092506,56,1,short,SHOTGUN,2x2,right,10,85,Zone,5-2 Defense,75.0,Quarters,"HITCH, ANGLE, SLANT, HITCH",C,Short Right Pass,1
2022092506,80,1,short,EMPTY,3x2,right,10,72,Zone,5-2 Defense,62.0,Cover-3,"HITCH, GO, GO, HITCH, HITCH",C,Short Right Pass,1
2022092506,180,1,short,SINGLEBACK,3x1,right,10,52,Zone,Heavy LB Defense,42.0,Cover-3,"OUT, HITCH, CROSS, GO",C,Short Right Pass,1
2022092506,305,1,short,SHOTGUN,3x1,left,14,24,Zone,5-2 Defense,14.0,Cover 6-Left,"FLAT, FLAT, GO, FLAT, SLANT",C,Short Left Pass,1
2022092506,741,1,short,SHOTGUN,3x1,right,10,72,Zone,5-2 Defense,62.0,Cover-2,"POST, FLAT, HITCH, GO, ANGLE",C,Short Right Pass,1
2022092900,126,1,short,EMPTY,4x1,left,10,57,Man,3-4 Defense,47.0,Cover-0,"GO, SCREEN, GO, SLANT",C,Short Left Pass,1
2022092900,229,1,short,SHOTGUN,2x2,right,5,19,Man,3-4 Defense,9.0,Cover-1,"GO, GO, SCREEN",I,Short Right Pass,1
