displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Amari Cooper,CORNER,17,7.42,2.0,2.0,0.0,0.0,0.0,63.0,3.17,3.17,0.0,0.0,0.0
Amari Cooper,CROSS,20,8.73,2.0,3.0,0.0,0.0,0.0,63.0,3.17,4.76,0.0,0.0,0.0
Amari Cooper,GO,47,20.52,4.0,5.0,0.0,0.0,0.0,63.0,6.35,7.94,0.0,0.0,0.0
Amari Cooper,HITCH,49,21.4,9.0,6.0,0.0,0.0,0.0,63.0,14.29,9.52,0.0,0.0,0.0
Amari Cooper,IN,18,7.86,2.0,2.0,0.0,0.0,0.0,63.0,3.17,3.17,0.0,0.0,0.0
Amari Cooper,OUT,25,10.92,8.0,3.0,0.0,0.0,0.0,63.0,12.7,4.76,0.0,0.0,0.0
Amari Cooper,POST,24,10.48,2.0,1.0,2.0,0.0,0.0,63.0,3.17,1.59,3.17,0.0,0.0
Amari Cooper,SCREEN,2,0.87,1.0,0.0,0.0,0.0,0.0,63.0,1.59,0.0,0.0,0.0,0.0
Amari Cooper,SLANT,27,11.79,6.0,3.0,0.0,0.0,0.0,63.0,9.52,4.76,0.0,0.0,0.0
Anthony Schwartz,CORNER,6,17.65,0.0,1.0,0.0,0.0,0.0,6.0,0.0,16.67,0.0,0.0,0.0
Anthony Schwartz,CROSS,2,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Schwartz,GO,13,38.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Schwartz,HITCH,4,11.76,1.0,0.0,0.0,0.0,0.0,6.0,16.67,0.0,0.0,0.0,0.0
Anthony Schwartz,IN,3,8.82,0.0,1.0,0.0,0.0,0.0,6.0,0.0,16.67,0.0,0.0,0.0
Anthony Schwartz,OUT,2,5.88,0.0,1.0,0.0,0.0,0.0,6.0,0.0,16.67,0.0,0.0,0.0
Anthony Schwartz,POST,2,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Schwartz,SLANT,2,5.88,0.0,2.0,0.0,0.0,0.0,6.0,0.0,33.33,0.0,0.0,0.0
D'Ernest Johnson,ANGLE,2,28.57,1.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0
