gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091101,184,1,short,SHOTGUN,2x2,left,10,64,Man,Heavy LB Defense,54.0,Cover-1,"SCREEN, OUT, FLAT, ANGLE, FLAT",C,Short Left Pass,1
2022091101,272,1,short,SHOTGUN,3x1,left,10,53,Man,Heavy LB Defense,43.0,Cover-1,"SLANT, GO, FLAT, HITCH, HITCH",C,Short Left Pass,1
2022091801,218,1,short,SINGLEBACK,2x2,left,10,100,Zone,3-4 Defense,90.0,Cover-3,"HITCH, HITCH, FLAT, FLAT, HITCH",C,Singleback Balanced Short Pass,1
2022091801,360,1,short,SINGLEBACK,3x1,right,10,54,Zone,Heavy LB Defense,44.0,Cover-3,"GO, SCREEN, GO, POST",C,Short Right Pass,1
2022092200,105,1,short,SHOTGUN,3x1,middle,10,71,Zone,3-1-7 Quarter,61.0,Cover-3,"HITCH, CORNER, FLAT, IN, IN",I,Short Middle Pass,1
2022100201,63,1,short,SINGLEBACK,3x1,right,10,85,Zone,5-2 Defense,75.0,Cover-3,"CROSS, CORNER, FLAT, HITCH, OUT",C,Short Right Pass,1
2022100201,115,1,deep,SINGLEBACK,3x1,right,15,77,Zone,5-2 Defense,67.0,Cover-2,"CROSS, CORNER, FLAT, CROSS, CROSS",C,First Down Play Action Deep Pass,1
2022100201,165,1,deep,EMPTY,3x2,middle,10,41,Zone,5-2 Defense,31.0,Cover-3,"HITCH, CROSS, GO, GO, GO",C,Spread Deep Attack from Empty 3x2 Alignment,1
2022100201,831,1,short,PISTOL,2x2,left,10,85,Zone,5-2 Defense,75.0,Quarters,"SLANT, CORNER, SCREEN, HITCH, IN",C,Pistol Quick Pass,1
2022100902,470,1,deep,I_FORM,2x1,middle,10,82,Man,5-2 Defense,72.0,Cover-0,"IN, CROSS, FLAT",C,First Down Play Action Deep Pass,1
2022100902,674,1,short,SHOTGUN,3x1,left,10,21,Other,LB Heavy Defense,11.0,Red Zone,"OUT, FLAT, CROSS, IN",C,Short Left Pass,1
2022101601,56,1,short,EMPTY,3x2,left,10,85,Zone,3-4 Defense,75.0,Cover-3,"HITCH, GO, POST, HITCH, HITCH",C,Short Left Pass,1
2022101601,570,1,short,SHOTGUN,3x1,left,10,70,Zone,3-4 Defense,60.0,Quarters,"HITCH, HITCH, HITCH, FLAT, OUT",I,Short Left Pass,1
2022101601,955,1,short,SINGLEBACK,3x1,left,10,48,Zone,3-4 Defense,38.0,Cover-3,"IN, GO, FLAT, CORNER",C,Midfield Short Pass,1
2022102300,146,1,short,EMPTY,3x2,middle,10,70,Man,5-2 Defense,40.0,Cover-0,"SLANT, HITCH, GO, FLAT, OUT",C,Short Middle Pass,1
2022102300,552,1,deep,SINGLEBACK,2x2,left,10,35,Zone,5-2 Defense,75.0,Cover-3,"CORNER, CORNER, OUT, IN",C,First Down Play Action Deep Pass,1
2022103100,363,1,deep,SINGLEBACK,2x1,right,10,82,Man,3-4 Defense,72.0,Cover-1,"IN, OUT",C,First Down Play Action Deep Pass,1
2022103100,687,1,short,SINGLEBACK,2x1,right,10,79,Man,3-4 Defense,69.0,Cover-1,"GO, CROSS, CROSS",C,Short Right Pass,1
2022103100,713,1,deep,SINGLEBACK,3x1,right,10,66,Man,3-4 Defense,56.0,Cover-1,"CROSS, CROSS, CROSS, WHEEL",IN,First Down Play Action Deep Pass,1
2022091101,542,2,short,SHOTGUN,2x2,left,20,85,Zone,Heavy LB Defense,75.0,Cover-3,"HITCH, FLAT, HITCH, FLAT",C,Short Left Pass,1
2022091101,686,2,short,SHOTGUN,2x1,right,8,51,Man,5-2 Defense,41.0,Cover-1,"SLANT, FLAT, SCREEN, CROSS, CROSS",I,Short Right Pass,1
2022091801,247,2,short,SINGLEBACK,3x1,right,2,92,Zone,3-4 Defense,82.0,Cover-3,"IN, CORNER, FLAT, CORNER",C,Short Right Pass,1
2022091801,336,2,short,SINGLEBACK,3x1,left,6,67,Zone,Heavy LB Defense,57.0,Cover-3,"POST, SCREEN, FLAT, CORNER, POST",C,Short Left Pass,1
2022092200,127,2,short,SHOTGUN,3x1,right,10,71,Zone,3-1-7 Quarter,61.0,Cover-2,"SCREEN, CROSS, FLAT, SLANT",C,Short Right Pass,1
2022092200,323,2,short,SHOTGUN,2x2,right,8,85,Zone,Heavy LB Defense,75.0,Cover-2,"GO, SCREEN, SCREEN, SLANT",C,Short Right Pass,1
2022092200,555,2,short,EMPTY,3x2,left,9,69,Zone,3-4 Defense,59.0,Cover-3,"GO, HITCH, FLAT, SLANT, OUT",I,Short Left Pass,1
2022092200,666,2,short,SHOTGUN,2x2,middle,9,21,Man,3-4 Defense,11.0,Cover-1,"SLANT, FLAT, GO, HITCH, IN",C,Short Middle Pass,1
2022100201,221,2,short,SHOTGUN,3x1,middle,9,20,Other,5-2 Defense,10.0,Red Zone,"CORNER, POST, FLAT, CROSS, IN",C,Short Middle Pass,1
2022100201,676,2,short,I_FORM,2x1,left,6,98,Zone,Interior DL Heavy,88.0,Quarters,"GO, SCREEN, OUT, GO",C,I-Formation Screen Play,1
2022100902,78,2,short,EMPTY,3x2,right,9,84,Zone,5-2 Defense,74.0,Cover 6-Left,"SLANT, POST, HITCH, FLAT, HITCH",C,Short Right Pass,1
2022100902,572,2,short,SHOTGUN,2x2,right,6,39,Zone,5-2 Defense,29.0,Cover-6 Right,"OUT, HITCH, ANGLE, OUT, GO",C,Short Right Pass,1
2022100902,624,2,short,SHOTGUN,3x1,left,7,30,Zone,3-4 Defense,20.0,Cover 6-Left,"SLANT, FLAT, FLAT, SLANT, SLANT",C,Short Left Pass,1
