displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
CeeDee Lamb,CORNER,13,5.63,3.0,0.0,0.0,0.0,0.0,70.0,4.29,0.0,0.0,0.0,0.0
CeeDee Lamb,CROSS,34,14.72,5.0,2.0,0.0,0.0,0.0,70.0,7.14,2.86,0.0,0.0,0.0
CeeDee Lamb,FLAT,20,8.66,2.0,0.0,0.0,0.0,0.0,70.0,2.86,0.0,0.0,0.0,0.0
CeeDee Lamb,GO,40,17.32,2.0,5.0,1.0,0.0,0.0,70.0,2.86,7.14,1.43,0.0,0.0
CeeDee Lamb,HITCH,33,14.29,7.0,4.0,0.0,0.0,0.0,70.0,10.0,5.71,0.0,0.0,0.0
CeeDee Lamb,IN,11,4.76,1.0,3.0,0.0,0.0,0.0,70.0,1.43,4.29,0.0,0.0,0.0
CeeDee Lamb,OUT,28,12.12,6.0,7.0,0.0,0.0,0.0,70.0,8.57,10.0,0.0,0.0,0.0
CeeDee Lamb,POST,25,10.82,3.0,3.0,1.0,0.0,0.0,70.0,4.29,4.29,1.43,0.0,0.0
CeeDee Lamb,SCREEN,5,2.16,4.0,0.0,0.0,0.0,0.0,70.0,5.71,0.0,0.0,0.0,0.0
CeeDee Lamb,SLANT,22,9.52,7.0,4.0,0.0,0.0,0.0,70.0,10.0,5.71,0.0,0.0,0.0
Dalton Schultz,CORNER,8,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalton Schultz,CROSS,11,9.17,1.0,1.0,0.0,0.0,0.0,27.0,3.7,3.7,0.0,0.0,0.0
Dalton Schultz,FLAT,13,10.83,2.0,2.0,0.0,0.0,0.0,27.0,7.41,7.41,0.0,0.0,0.0
Dalton Schultz,GO,9,7.5,1.0,0.0,0.0,0.0,0.0,27.0,3.7,0.0,0.0,0.0,0.0
Dalton Schultz,HITCH,38,31.67,11.0,0.0,0.0,0.0,0.0,27.0,40.74,0.0,0.0,0.0,0.0
Dalton Schultz,IN,7,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalton Schultz,OUT,16,13.33,2.0,4.0,0.0,0.0,0.0,27.0,7.41,14.81,0.0,0.0,0.0
Dalton Schultz,POST,5,4.17,1.0,0.0,0.0,0.0,0.0,27.0,3.7,0.0,0.0,0.0,0.0
Dalton Schultz,SCREEN,2,1.67,0.0,1.0,0.0,0.0,0.0,27.0,0.0,3.7,0.0,0.0,0.0
Dalton Schultz,SLANT,11,9.17,0.0,1.0,0.0,0.0,0.0,27.0,0.0,3.7,0.0,0.0,0.0
Dennis Houston,CORNER,1,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Houston,GO,16,36.36,0.0,1.0,0.0,0.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0
Dennis Houston,HITCH,10,22.73,0.0,2.0,0.0,0.0,0.0,5.0,0.0,40.0,0.0,0.0,0.0
Dennis Houston,IN,9,20.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Houston,POST,5,11.36,0.0,1.0,0.0,0.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0
Dennis Houston,SLANT,3,6.82,1.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0
Ezekiel Elliott,ANGLE,12,12.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ezekiel Elliott,FLAT,49,52.13,4.0,2.0,0.0,0.0,0.0,7.0,57.14,28.57,0.0,0.0,0.0
Ezekiel Elliott,GO,2,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ezekiel Elliott,HITCH,4,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ezekiel Elliott,OUT,17,18.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ezekiel Elliott,SCREEN,7,7.45,1.0,0.0,0.0,0.0,0.0,7.0,14.29,0.0,0.0,0.0,0.0
