gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091113,65,1,short,SHOTGUN,2x2,left,10,96,Zone,3-1-7 Quarter,86.0,Cover-2,"FLAT, SLANT, HITCH, CROSS, IN",C,Short Left Pass,1
2022091113,224,1,short,EMPTY,3x2,middle,10,52,Man,3-4 Defense,42.0,Cover-1,"CORNER, GO, SLANT, OUT, GO",I,Short Middle Pass,1
2022091809,98,1,short,EMPTY,4x1,right,10,74,Zone,3-4 Defense,64.0,Cover-2,"FLAT, SLANT, FLAT, SCREEN, FLAT",C,Short Right Pass,1
2022091809,193,1,short,SINGLEBACK,2x2,right,10,49,Zone,3-4 Defense,39.0,Quarters,"SCREEN, POST, FLAT, GO, GO",C,Midfield Short Pass,1
2022091809,719,1,deep,SINGLEBACK,2x2,right,10,57,Zone,3-4 Defense,47.0,Cover-3,"HITCH, FLAT, GO, SLANT",I,First Down Play Action Deep Pass,1
2022092600,57,1,short,SINGLEBACK,3x1,right,10,85,Zone,3-4 Defense,75.0,Cover-3,"ANGLE, HITCH, HITCH",C,Short Right Pass,1
2022092600,569,1,deep,SINGLEBACK,3x1,right,10,56,Zone,4-3 Defense,46.0,Cover-3,"ANGLE, CROSS, POST",C,First Down Play Action Deep Pass,1
2022092600,593,1,short,SINGLEBACK,2x2,left,10,37,Zone,4-3 Defense,27.0,Quarters,"ANGLE, SLANT, SCREEN, GO",C,Midfield Short Pass,1
2022100204,633,1,short,SHOTGUN,2x2,middle,10,97,Zone,5-2 Defense,87.0,Cover-6 Right,"OUT, GO, CORNER, FLAT, SLANT",C,Short Middle Pass,1
2022100204,657,1,short,SINGLEBACK,3x1,left,10,74,Zone,5-2 Defense,64.0,Quarters,"CROSS, POST, ANGLE, CROSS",C,Short Left Pass,1
2022100204,686,1,short,SINGLEBACK,2x1,middle,10,58,Zone,5-2 Defense,48.0,Quarters,"OUT, HITCH, POST",C,Short Middle Pass,1
