displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Albert Okwuegbunam,CORNER,5,5.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert Okwuegbunam,CROSS,9,10.71,1.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
Albert Okwuegbunam,FLAT,15,17.86,4.0,1.0,0.0,0.0,0.0,10.0,40.0,10.0,0.0,0.0,0.0
Albert Okwuegbunam,GO,18,21.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert Okwuegbunam,HITCH,18,21.43,2.0,2.0,0.0,0.0,0.0,10.0,20.0,20.0,0.0,0.0,0.0
Albert Okwuegbunam,IN,8,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert Okwuegbunam,OUT,4,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert Okwuegbunam,POST,3,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert Okwuegbunam,SCREEN,1,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert Okwuegbunam,SLANT,3,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Beck,ANGLE,2,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Beck,CROSS,2,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Beck,FLAT,17,53.12,2.0,2.0,0.0,0.0,0.0,6.0,33.33,33.33,0.0,0.0,0.0
Andrew Beck,GO,4,12.5,1.0,0.0,0.0,0.0,0.0,6.0,16.67,0.0,0.0,0.0,0.0
Andrew Beck,HITCH,2,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Beck,OUT,2,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Beck,WHEEL,3,9.38,0.0,1.0,0.0,0.0,0.0,6.0,0.0,16.67,0.0,0.0,0.0
Courtland Sutton,CORNER,16,5.78,1.0,0.0,0.0,0.0,0.0,61.0,1.64,0.0,0.0,0.0,0.0
Courtland Sutton,CROSS,38,13.72,4.0,2.0,0.0,0.0,0.0,61.0,6.56,3.28,0.0,0.0,0.0
Courtland Sutton,FLAT,2,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Courtland Sutton,GO,68,24.55,4.0,9.0,2.0,0.0,0.0,61.0,6.56,14.75,3.28,0.0,0.0
Courtland Sutton,HITCH,58,20.94,12.0,4.0,0.0,0.0,0.0,61.0,19.67,6.56,0.0,0.0,0.0
Courtland Sutton,IN,32,11.55,6.0,3.0,0.0,0.0,0.0,61.0,9.84,4.92,0.0,0.0,0.0
Courtland Sutton,OUT,20,7.22,2.0,2.0,0.0,0.0,0.0,61.0,3.28,3.28,0.0,0.0,0.0
Courtland Sutton,POST,15,5.42,1.0,3.0,0.0,0.0,0.0,61.0,1.64,4.92,0.0,0.0,0.0
Courtland Sutton,SCREEN,3,1.08,1.0,0.0,0.0,0.0,0.0,61.0,1.64,0.0,0.0,0.0,0.0
Courtland Sutton,SLANT,25,9.03,4.0,1.0,0.0,0.0,0.0,61.0,6.56,1.64,0.0,0.0,0.0
Devine Ozigbo,SCREEN,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Saubert,CORNER,4,5.13,0.0,1.0,0.0,0.0,0.0,14.0,0.0,7.14,0.0,0.0,0.0
Eric Saubert,CROSS,9,11.54,2.0,0.0,0.0,0.0,0.0,14.0,14.29,0.0,0.0,0.0,0.0
Eric Saubert,FLAT,9,11.54,2.0,1.0,0.0,0.0,0.0,14.0,14.29,7.14,0.0,0.0,0.0
Eric Saubert,GO,17,21.79,1.0,2.0,0.0,0.0,0.0,14.0,7.14,14.29,0.0,0.0,0.0
Eric Saubert,HITCH,18,23.08,1.0,2.0,0.0,0.0,0.0,14.0,7.14,14.29,0.0,0.0,0.0
Eric Saubert,IN,3,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Saubert,OUT,6,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Saubert,POST,7,8.97,1.0,1.0,0.0,0.0,0.0,14.0,7.14,7.14,0.0,0.0,0.0
Eric Saubert,SLANT,5,6.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Tomlinson,CROSS,4,10.26,1.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0
Eric Tomlinson,FLAT,9,23.08,2.0,0.0,0.0,0.0,0.0,5.0,40.0,0.0,0.0,0.0,0.0
Eric Tomlinson,GO,5,12.82,0.0,1.0,0.0,0.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0
Eric Tomlinson,HITCH,13,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Tomlinson,IN,1,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Tomlinson,OUT,2,5.13,0.0,1.0,0.0,0.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0
Eric Tomlinson,POST,3,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Tomlinson,SCREEN,2,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greg Dulcich,CORNER,2,2.44,1.0,0.0,0.0,0.0,0.0,17.0,5.88,0.0,0.0,0.0,0.0
Greg Dulcich,CROSS,5,6.1,0.0,1.0,1.0,0.0,0.0,17.0,0.0,5.88,5.88,0.0,0.0
Greg Dulcich,FLAT,14,17.07,5.0,1.0,0.0,0.0,0.0,17.0,29.41,5.88,0.0,0.0,0.0
Greg Dulcich,GO,19,23.17,3.0,1.0,0.0,0.0,0.0,17.0,17.65,5.88,0.0,0.0,0.0
Greg Dulcich,HITCH,12,14.63,1.0,1.0,0.0,0.0,0.0,17.0,5.88,5.88,0.0,0.0,0.0
Greg Dulcich,IN,6,7.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greg Dulcich,OUT,14,17.07,1.0,0.0,0.0,0.0,0.0,17.0,5.88,0.0,0.0,0.0,0.0
Greg Dulcich,POST,5,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greg Dulcich,SCREEN,3,3.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greg Dulcich,SLANT,2,2.44,1.0,0.0,0.0,0.0,0.0,17.0,5.88,0.0,0.0,0.0,0.0
Javonte Williams,ANGLE,13,20.0,0.0,2.0,0.0,0.0,0.0,22.0,0.0,9.09,0.0,0.0,0.0
Javonte Williams,FLAT,37,56.92,8.0,4.0,0.0,0.0,0.0,22.0,36.36,18.18,0.0,0.0,0.0
Javonte Williams,OUT,5,7.69,3.0,0.0,0.0,0.0,0.0,22.0,13.64,0.0,0.0,0.0,0.0
Javonte Williams,SCREEN,7,10.77,5.0,0.0,0.0,0.0,0.0,22.0,22.73,0.0,0.0,0.0,0.0
Javonte Williams,SLANT,1,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javonte Williams,WHEEL,2,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jerry Jeudy,CORNER,20,8.51,1.0,2.0,0.0,0.0,0.0,50.0,2.0,4.0,0.0,0.0,0.0
Jerry Jeudy,CROSS,33,14.04,9.0,1.0,0.0,0.0,0.0,50.0,18.0,2.0,0.0,0.0,0.0
Jerry Jeudy,FLAT,7,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jerry Jeudy,GO,49,20.85,5.0,6.0,0.0,0.0,0.0,50.0,10.0,12.0,0.0,0.0,0.0
Jerry Jeudy,HITCH,35,14.89,1.0,3.0,0.0,0.0,0.0,50.0,2.0,6.0,0.0,0.0,0.0
Jerry Jeudy,IN,17,7.23,0.0,2.0,0.0,0.0,0.0,50.0,0.0,4.0,0.0,0.0,0.0
Jerry Jeudy,OUT,34,14.47,5.0,5.0,0.0,0.0,0.0,50.0,10.0,10.0,0.0,0.0,0.0
Jerry Jeudy,POST,17,7.23,0.0,3.0,0.0,0.0,0.0,50.0,0.0,6.0,0.0,0.0,0.0
Jerry Jeudy,SCREEN,7,2.98,3.0,1.0,0.0,0.0,0.0,50.0,6.0,2.0,0.0,0.0,0.0
Jerry Jeudy,SLANT,16,6.81,3.0,0.0,0.0,0.0,0.0,50.0,6.0,0.0,0.0,0.0,0.0
K.J. Hamler,CORNER,7,5.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,15.38,0.0,0.0,0.0
K.J. Hamler,CROSS,10,7.14,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,7.69,0.0,0.0
K.J. Hamler,FLAT,1,0.71,1.0,0.0,0.0,0.0,0.0,13.0,7.69,0.0,0.0,0.0,0.0
K.J. Hamler,GO,51,36.43,2.0,1.0,0.0,0.0,0.0,13.0,15.38,7.69,0.0,0.0,0.0
K.J. Hamler,HITCH,32,22.86,1.0,1.0,0.0,0.0,0.0,13.0,7.69,7.69,0.0,0.0,0.0
K.J. Hamler,IN,3,2.14,0.0,1.0,0.0,0.0,0.0,13.0,0.0,7.69,0.0,0.0,0.0
K.J. Hamler,OUT,4,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K.J. Hamler,POST,15,10.71,1.0,0.0,0.0,0.0,0.0,13.0,7.69,0.0,0.0,0.0,0.0
K.J. Hamler,SCREEN,1,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K.J. Hamler,SLANT,16,11.43,2.0,0.0,0.0,0.0,0.0,13.0,15.38,0.0,0.0,0.0,0.0
Kendall Hinton,CORNER,3,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendall Hinton,CROSS,8,10.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendall Hinton,FLAT,1,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendall Hinton,GO,29,39.19,2.0,1.0,0.0,0.0,0.0,7.0,28.57,14.29,0.0,0.0,0.0
Kendall Hinton,HITCH,11,14.86,2.0,0.0,0.0,0.0,0.0,7.0,28.57,0.0,0.0,0.0,0.0
Kendall Hinton,IN,7,9.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendall Hinton,OUT,11,14.86,2.0,0.0,0.0,0.0,0.0,7.0,28.57,0.0,0.0,0.0,0.0
Kendall Hinton,POST,1,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendall Hinton,SLANT,3,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latavius Murray,ANGLE,7,23.33,2.0,0.0,0.0,0.0,0.0,6.0,33.33,0.0,0.0,0.0,0.0
Latavius Murray,FLAT,7,23.33,0.0,2.0,0.0,0.0,0.0,6.0,0.0,33.33,0.0,0.0,0.0
Latavius Murray,HITCH,1,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latavius Murray,SCREEN,15,50.0,2.0,0.0,0.0,0.0,0.0,6.0,33.33,0.0,0.0,0.0,0.0
Melvin Gordon,ANGLE,26,26.53,5.0,2.0,0.0,0.0,0.0,21.0,23.81,9.52,0.0,0.0,0.0
Melvin Gordon,CROSS,1,1.02,1.0,0.0,0.0,0.0,0.0,21.0,4.76,0.0,0.0,0.0,0.0
Melvin Gordon,FLAT,50,51.02,5.0,2.0,0.0,0.0,0.0,21.0,23.81,9.52,0.0,0.0,0.0
Melvin Gordon,HITCH,2,2.04,1.0,0.0,0.0,0.0,0.0,21.0,4.76,0.0,0.0,0.0,0.0
Melvin Gordon,OUT,11,11.22,1.0,0.0,0.0,0.0,0.0,21.0,4.76,0.0,0.0,0.0,0.0
Melvin Gordon,SCREEN,6,6.12,3.0,1.0,0.0,0.0,0.0,21.0,14.29,4.76,0.0,0.0,0.0
Melvin Gordon,WHEEL,2,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Boone,ANGLE,13,22.81,0.0,2.0,0.0,0.0,0.0,12.0,0.0,16.67,0.0,0.0,0.0
Mike Boone,FLAT,31,54.39,3.0,3.0,0.0,0.0,0.0,12.0,25.0,25.0,0.0,0.0,0.0
Mike Boone,GO,6,10.53,0.0,1.0,0.0,0.0,0.0,12.0,0.0,8.33,0.0,0.0,0.0
Mike Boone,HITCH,1,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Boone,IN,1,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Boone,SCREEN,4,7.02,3.0,0.0,0.0,0.0,0.0,12.0,25.0,0.0,0.0,0.0,0.0
Mike Boone,WHEEL,1,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montrell Washington,CORNER,1,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montrell Washington,FLAT,1,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montrell Washington,GO,10,43.48,0.0,1.0,0.0,0.0,0.0,4.0,0.0,25.0,0.0,0.0,0.0
