gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091200,264,1,short,SINGLEBACK,3x1,left,10,99,Zone,4-3 Defense,89.0,Quarters,"HITCH, OUT, FLAT, OUT, FLAT",I,Short Left Pass,1
2022091200,401,1,short,SINGLEBACK,2x2,right,10,28,Zone,3-4 Defense,18.0,Cover 6-Left,"CROSS, CORNER, CROSS, CROSS, FLAT",I,Singleback Balanced Short Pass,1
2022091200,762,1,short,SHOTGUN,2x2,right,10,90,Zone,3-1-7 Quarter,80.0,Cover 6-Left,"POST, GO, HITCH, FLAT, FLAT",C,Short Right Pass,1
2022091200,786,1,short,SINGLEBACK,3x1,middle,10,78,Zone,3-1-7 Quarter,68.0,Cover-3,"FLAT, CROSS, CORNER, FLAT",C,Short Middle Pass,1
2022091810,521,1,short,SHOTGUN,2x1,right,10,45,Zone,5-2 Defense,65.0,Cover-3,"WHEEL, IN, HITCH, WHEEL, CROSS",C,Short Right Pass,1
2022091810,618,1,short,I_FORM,2x1,left,10,66,Zone,5-2 Defense,44.0,Cover-3,"CORNER, FLAT, IN, FLAT",I,Short Left Pass,1
2022091810,690,1,short,SINGLEBACK,3x1,left,2,108,Man,5-2 Defense,2.0,Cover-1,"HITCH, SLANT, GO, HITCH, ANGLE",I,Short Left Pass,1
2022091810,1146,1,short,SINGLEBACK,3x1,middle,10,35,Man,5-2 Defense,75.0,Cover-1,"CROSS, CORNER, OUT, FLAT",I,Midfield Short Pass,1
2022092513,202,1,short,SHOTGUN,2x2,right,10,39,Zone,5-2 Defense,71.0,Quarters,"HITCH, OUT, OUT, IN, FLAT",C,Short Right Pass,1
2022092513,926,1,deep,SINGLEBACK,2x2,middle,10,16,Man,5-2 Defense,94.0,Cover-1,"IN, CORNER",C,First Down Play Action Deep Pass,1
2022100212,325,1,short,SINGLEBACK,3x1,right,10,35,Zone,4-3 Defense,75.0,Cover-3,"FLAT, HITCH, SLANT, HITCH, FLAT",C,Midfield Short Pass,1
2022100212,549,1,deep,SINGLEBACK,2x2,middle,10,76,Zone,4-3 Defense,34.0,Cover-2,"POST, POST, CORNER",C,First Down Play Action Deep Pass,1
2022100600,226,1,short,I_FORM,2x1,right,10,65,Zone,Big Nickel,45.0,Cover-3 Seam,"OUT, FLAT, HITCH, WHEEL, HITCH",C,Short Right Pass,1
2022100600,302,1,short,SHOTGUN,2x2,middle,10,97,Zone,Big Nickel,13.0,Quarters,"FLAT, GO, GO, GO, GO",I,Short Middle Pass,1
2022101700,419,1,short,I_FORM,2x1,middle,10,48,Zone,5-2 Defense,62.0,Cover 6-Left,"FLAT, GO, OUT, FLAT, HITCH",C,Short Middle Pass,1
2022101700,556,1,short,SHOTGUN,2x2,left,10,72,Zone,5-2 Defense,38.0,Cover 6-Left,"ANGLE, FLAT, HITCH, FLAT, HITCH",C,Short Left Pass,1
2022101700,733,1,short,SHOTGUN,3x1,left,10,26,Zone,5-2 Defense,84.0,Cover 6-Left,"SCREEN, HITCH, HITCH, OUT, HITCH",C,Short Left Pass,1
2022101700,817,1,short,EMPTY,3x2,right,10,37,Zone,5-2 Defense,73.0,Cover-3,"HITCH, GO, GO, OUT, SCREEN",C,Short Right Pass,1
2022101700,889,1,deep,SHOTGUN,2x2,right,10,71,Zone,5-2 Defense,39.0,Cover-3,"HITCH, FLAT, IN, POST, GO",C,Flood Concept (Intermediate Stretch),1
2022102307,480,1,short,SHOTGUN,3x1,left,10,49,Zone,3-4 Defense,61.0,Cover-2,"ANGLE, SCREEN, SCREEN, SCREEN, GO",I,Short Left Pass,1
2022102307,816,1,short,SINGLEBACK,3x1,right,10,56,Zone,5-2 Defense,54.0,Cover 6-Left,"FLAT, CROSS, POST, OUT",I,Short Right Pass,1
2022103000,64,1,short,PISTOL,2x2,right,10,32,Zone,Heavy LB Defense,78.0,Cover-2,"FLAT, POST, SLANT, GO, GO",I,Pistol Quick Pass,1
2022091200,286,2,short,I_FORM,2x1,right,10,99,Zone,4-3 Defense,89.0,Cover-6 Right,"CROSS, FLAT, CORNER, FLAT",C,Short Right Pass,1
2022091200,346,2,deep,SINGLEBACK,2x2,right,1,65,Zone,3-4 Defense,55.0,Cover-6 Right,"POST, GO, FLAT",C,Second-and-Short Deep Shot,1
2022091810,236,2,deep,SINGLEBACK,3x1,right,5,42,Man,5-2 Defense,68.0,Cover-1,"OUT, HITCH",C,Flood Concept (Intermediate Stretch),1
2022091810,751,2,short,SINGLEBACK,3x1,left,2,108,Man,5-2 Defense,2.0,Cover-1,"GO, ANGLE",I,Short Left Pass,1
2022092513,487,2,short,SHOTGUN,3x1,left,7,38,Zone,5-2 Defense,72.0,Cover-3,"OUT, GO, OUT, GO, ANGLE",I,Short Left Pass,1
2022100212,370,2,short,SHOTGUN,3x1,right,13,47,Zone,Other,63.0,Cover-3,"HITCH, SLANT, SLANT, GO, FLAT",C,Short Right Pass,1
2022100600,178,2,short,SHOTGUN,2x2,middle,7,49,Zone,Big Nickel,61.0,Cover-3,"HITCH, HITCH, FLAT, HITCH",C,Short Middle Pass,1
2022100600,536,2,short,SINGLEBACK,2x2,middle,10,24,Zone,Big Nickel,86.0,Cover-3,"FLAT, HITCH, CROSS, CROSS, CORNER",I,Singleback Balanced Short Pass,1
2022100600,730,2,deep,SINGLEBACK,3x1,left,7,26,Zone,Big Nickel,84.0,Cover-3,"HITCH, POST, GO",I,Scoring Zone Deep Pass,1
2022101700,339,2,short,SHOTGUN,3x1,middle,18,23,Zone,5-2 Defense,87.0,Cover-2,"CROSS, ANGLE, GO, GO, POST",C,Short Middle Pass,1
2022101700,443,2,deep,SINGLEBACK,2x2,right,2,56,Zone,5-2 Defense,54.0,Cover-6 Right,"ANGLE, FLAT, CORNER, FLAT, CROSS",C,Second-and-Short Deep Shot,1
2022101700,841,2,short,SHOTGUN,3x1,left,10,37,Zone,5-2 Defense,73.0,Cover-3,"SCREEN, FLAT, SLANT, FLAT, FLAT",C,Short Left Pass,1
2022102307,180,2,short,SINGLEBACK,2x2,right,7,30,Man,5-2 Defense,80.0,Cover-1,"FLAT, CROSS, CROSS, CORNER",C,Singleback Balanced Short Pass,1
2022102307,517,2,short,SINGLEBACK,2x2,middle,10,49,Zone,3-4 Defense,61.0,Quarters,"SCREEN, POST, GO, GO",I,Midfield Short Pass,1
2022102307,715,2,short,SHOTGUN,3x1,right,9,36,Zone,5-2 Defense,74.0,Quarters,"ANGLE, FLAT, HITCH, FLAT, HITCH",C,Short Right Pass,1
2022102307,938,2,deep,SHOTGUN,2x2,right,10,87,Man,5-2 Defense,23.0,Cover-1,"SCREEN, IN, OUT, GO, HITCH",I,General Screen Play,1
2022103000,323,2,deep,SHOTGUN,2x2,left,8,29,Zone,Heavy LB Defense,81.0,Cover-2,"ANGLE, GO, GO, GO, GO",IN,Scoring Zone Deep Pass,1
2022103000,585,2,short,SHOTGUN,3x1,left,17,28,Zone,Heavy LB Defense,82.0,Cover-3,"SLANT, SCREEN, HITCH, FLAT",C,Short Left Pass,1
2022091200,467,3,short,EMPTY,3x2,middle,10,28,Zone,5-2 Defense,18.0,Cover-6 Right,"CROSS, GO, HITCH, GO, CROSS",C,Short Middle Pass,1
2022091810,762,3,short,SHOTGUN,2x2,middle,2,108,Other,5-2 Defense,2.0,Red Zone,"CROSS, FLAT, HITCH, IN, ANGLE",I,Short Middle Pass,1
2022092513,532,3,short,SHOTGUN,3x1,middle,2,43,Zone,5-2 Defense,67.0,Cover-2,"ANGLE, HITCH, FLAT, HITCH, GO",I,Short Middle Pass,1
2022092513,757,3,short,SHOTGUN,3x1,middle,5,35,Man,Heavy DE Front,75.0,Cover-1,"FLAT, CROSS, IN, IN, GO",I,Short Middle Pass,1
2022100212,615,3,short,SHOTGUN,2x2,middle,5,105,Other,Other,5.0,Bracket,"HITCH, POST, CROSS, IN, FLAT",C,Short Middle Pass,1
2022100600,202,3,short,SHOTGUN,2x2,right,2,54,Zone,Big Nickel,56.0,Cover-2,"FLAT, HITCH, SLANT, SLANT, SLANT",C,Short Right Pass,1
