displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Amon-Ra St. Brown,CORNER,9,5.11,1.0,1.0,0.0,0.0,0.0,58.0,1.72,1.72,0.0,0.0,0.0
Amon-Ra St. Brown,CROSS,40,22.73,7.0,7.0,1.0,0.0,0.0,58.0,12.07,12.07,1.72,0.0,0.0
Amon-Ra St. Brown,FLAT,7,3.98,2.0,0.0,0.0,0.0,0.0,58.0,3.45,0.0,0.0,0.0,0.0
Amon-Ra St. Brown,GO,15,8.52,1.0,0.0,0.0,0.0,0.0,58.0,1.72,0.0,0.0,0.0,0.0
Amon-Ra St. Brown,HITCH,39,22.16,8.0,2.0,0.0,0.0,0.0,58.0,13.79,3.45,0.0,0.0,0.0
Amon-Ra St. Brown,IN,16,9.09,3.0,1.0,0.0,0.0,0.0,58.0,5.17,1.72,0.0,0.0,0.0
Amon-Ra St. Brown,OUT,31,17.61,11.0,5.0,0.0,0.0,0.0,58.0,18.97,8.62,0.0,0.0,0.0
Amon-Ra St. Brown,POST,9,5.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amon-Ra St. Brown,SCREEN,5,2.84,4.0,0.0,0.0,0.0,0.0,58.0,6.9,0.0,0.0,0.0,0.0
Amon-Ra St. Brown,SLANT,5,2.84,2.0,2.0,0.0,0.0,0.0,58.0,3.45,3.45,0.0,0.0,0.0
Brock Wright,ANGLE,1,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brock Wright,CORNER,3,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brock Wright,CROSS,16,27.12,3.0,0.0,0.0,0.0,0.0,7.0,42.86,0.0,0.0,0.0,0.0
Brock Wright,FLAT,15,25.42,1.0,0.0,0.0,0.0,0.0,7.0,14.29,0.0,0.0,0.0,0.0
Brock Wright,GO,10,16.95,1.0,0.0,0.0,0.0,0.0,7.0,14.29,0.0,0.0,0.0,0.0
Brock Wright,HITCH,5,8.47,1.0,0.0,0.0,0.0,0.0,7.0,14.29,0.0,0.0,0.0,0.0
Brock Wright,IN,1,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brock Wright,OUT,5,8.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brock Wright,POST,2,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brock Wright,SCREEN,1,1.69,0.0,1.0,0.0,0.0,0.0,7.0,0.0,14.29,0.0,0.0,0.0
Craig Reynolds,ANGLE,9,19.57,2.0,1.0,0.0,0.0,0.0,10.0,20.0,10.0,0.0,0.0,0.0
Craig Reynolds,FLAT,24,52.17,3.0,0.0,0.0,0.0,0.0,10.0,30.0,0.0,0.0,0.0,0.0
Craig Reynolds,GO,1,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig Reynolds,IN,1,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig Reynolds,OUT,8,17.39,2.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0
Craig Reynolds,POST,1,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig Reynolds,SCREEN,1,2.17,1.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
Craig Reynolds,WHEEL,1,2.17,1.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
D'Andre Swift,ANGLE,15,16.3,4.0,1.0,0.0,0.0,0.0,20.0,20.0,5.0,0.0,0.0,0.0
