passer_player_name,receiver_player_name,pass_location,passResult,pass_count,C,I,IN,total_passes,C %,I %,S %,IN %,R %,left %,middle %,right %,C left %,C middle %,C right %,I left %,I middle %,I right %,S left %,S middle %,S right %,IN left %,IN middle %,IN right %,R left %,R middle %,R right %
A.Rodgers,A.Dillon,left,C,7,14,9,0,23,60.87,39.13,0.0,0.0,0.0,30.43,0.0,0.0,30.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Rodgers,A.Dillon,left,I,3,14,9,0,23,60.87,39.13,0.0,0.0,0.0,13.04,0.0,0.0,0.0,0.0,0.0,13.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Rodgers,A.Dillon,middle,C,4,14,9,0,23,60.87,39.13,0.0,0.0,0.0,0.0,17.39,0.0,0.0,17.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Rodgers,A.Dillon,middle,I,1,14,9,0,23,60.87,39.13,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Rodgers,A.Dillon,right,C,3,14,9,0,23,60.87,39.13,0.0,0.0,0.0,0.0,0.0,13.04,0.0,0.0,13.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Rodgers,A.Dillon,right,I,5,14,9,0,23,60.87,39.13,0.0,0.0,0.0,0.0,0.0,21.74,0.0,0.0,0.0,0.0,0.0,21.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Rodgers,A.Jones,left,C,11,31,8,0,39,79.49,20.51,0.0,0.0,0.0,28.21,0.0,0.0,28.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Rodgers,A.Jones,left,I,3,31,8,0,39,79.49,20.51,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Rodgers,A.Jones,middle,C,6,31,8,0,39,79.49,20.51,0.0,0.0,0.0,0.0,15.38,0.0,0.0,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Rodgers,A.Jones,middle,I,1,31,8,0,39,79.49,20.51,0.0,0.0,0.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Rodgers,A.Jones,right,C,14,31,8,0,39,79.49,20.51,0.0,0.0,0.0,0.0,0.0,35.9,0.0,0.0,35.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Rodgers,A.Jones,right,I,4,31,8,0,39,79.49,20.51,0.0,0.0,0.0,0.0,0.0,10.26,0.0,0.0,0.0,0.0,0.0,10.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Rodgers,A.Lazard,left,C,12,29,17,2,48,60.42,35.42,0.0,4.17,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Rodgers,A.Lazard,left,I,5,29,17,2,48,60.42,35.42,0.0,4.17,0.0,10.42,0.0,0.0,0.0,0.0,0.0,10.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Rodgers,A.Lazard,middle,C,7,29,17,2,48,60.42,35.42,0.0,4.17,0.0,0.0,14.58,0.0,0.0,14.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Rodgers,A.Lazard,middle,I,3,29,17,2,48,60.42,35.42,0.0,4.17,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Rodgers,A.Lazard,middle,IN,1,29,17,2,48,60.42,35.42,0.0,4.17,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0
A.Rodgers,A.Lazard,right,C,10,29,17,2,48,60.42,35.42,0.0,4.17,0.0,0.0,0.0,20.83,0.0,0.0,20.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Rodgers,A.Lazard,right,I,9,29,17,2,48,60.42,35.42,0.0,4.17,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Rodgers,A.Lazard,right,IN,1,29,17,2,48,60.42,35.42,0.0,4.17,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0
A.Rodgers,Am.Rodgers,left,C,2,4,3,1,8,50.0,37.5,0.0,12.5,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Rodgers,Am.Rodgers,left,I,1,4,3,1,8,50.0,37.5,0.0,12.5,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Rodgers,Am.Rodgers,middle,C,1,4,3,1,8,50.0,37.5,0.0,12.5,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
