displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
A.J. Dillon,ANGLE,35,25.74,4.0,0.0,0.0,0.0,0.0,25.0,16.0,0.0,0.0,0.0,0.0
A.J. Dillon,FLAT,77,56.62,9.0,8.0,0.0,0.0,0.0,25.0,36.0,32.0,0.0,0.0,0.0
A.J. Dillon,GO,2,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Dillon,HITCH,4,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Dillon,OUT,6,4.41,1.0,1.0,0.0,0.0,0.0,25.0,4.0,4.0,0.0,0.0,0.0
A.J. Dillon,SCREEN,8,5.88,1.0,0.0,0.0,0.0,0.0,25.0,4.0,0.0,0.0,0.0,0.0
A.J. Dillon,SLANT,2,1.47,1.0,0.0,0.0,0.0,0.0,25.0,4.0,0.0,0.0,0.0,0.0
A.J. Dillon,WHEEL,2,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Jones,ANGLE,25,13.89,4.0,0.0,0.0,0.0,0.0,39.0,10.26,0.0,0.0,0.0,0.0
Aaron Jones,CROSS,4,2.22,2.0,0.0,0.0,0.0,0.0,39.0,5.13,0.0,0.0,0.0,0.0
Aaron Jones,FLAT,95,52.78,18.0,4.0,0.0,0.0,0.0,39.0,46.15,10.26,0.0,0.0,0.0
Aaron Jones,GO,8,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Jones,HITCH,5,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Jones,IN,1,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Jones,OUT,12,6.67,0.0,2.0,0.0,0.0,0.0,39.0,0.0,5.13,0.0,0.0,0.0
Aaron Jones,SCREEN,14,7.78,6.0,1.0,0.0,0.0,0.0,39.0,15.38,2.56,0.0,0.0,0.0
Aaron Jones,SLANT,10,5.56,1.0,0.0,0.0,0.0,0.0,39.0,2.56,0.0,0.0,0.0,0.0
Aaron Jones,WHEEL,6,3.33,0.0,1.0,0.0,0.0,0.0,39.0,0.0,2.56,0.0,0.0,0.0
Allen Lazard,CORNER,7,3.12,1.0,0.0,0.0,0.0,0.0,49.0,2.04,0.0,0.0,0.0,0.0
Allen Lazard,CROSS,21,9.38,1.0,1.0,1.0,0.0,0.0,49.0,2.04,2.04,2.04,0.0,0.0
Allen Lazard,FLAT,7,3.12,2.0,0.0,0.0,0.0,0.0,49.0,4.08,0.0,0.0,0.0,0.0
Allen Lazard,GO,69,30.8,4.0,10.0,0.0,0.0,0.0,49.0,8.16,20.41,0.0,0.0,0.0
Allen Lazard,HITCH,19,8.48,2.0,0.0,0.0,0.0,0.0,49.0,4.08,0.0,0.0,0.0,0.0
Allen Lazard,IN,24,10.71,1.0,0.0,0.0,0.0,0.0,49.0,2.04,0.0,0.0,0.0,0.0
Allen Lazard,OUT,19,8.48,6.0,2.0,1.0,0.0,0.0,49.0,12.24,4.08,2.04,0.0,0.0
Allen Lazard,POST,12,5.36,1.0,1.0,0.0,0.0,0.0,49.0,2.04,2.04,0.0,0.0,0.0
Allen Lazard,SCREEN,10,4.46,3.0,0.0,0.0,0.0,0.0,49.0,6.12,0.0,0.0,0.0,0.0
Allen Lazard,SLANT,36,16.07,8.0,4.0,0.0,0.0,0.0,49.0,16.33,8.16,0.0,0.0,0.0
Amari Rodgers,CORNER,2,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amari Rodgers,CROSS,3,5.66,1.0,0.0,0.0,0.0,0.0,8.0,12.5,0.0,0.0,0.0,0.0
Amari Rodgers,FLAT,4,7.55,1.0,0.0,0.0,0.0,0.0,8.0,12.5,0.0,0.0,0.0,0.0
Amari Rodgers,GO,15,28.3,1.0,0.0,0.0,0.0,0.0,8.0,12.5,0.0,0.0,0.0,0.0
Amari Rodgers,HITCH,8,15.09,0.0,2.0,1.0,0.0,0.0,8.0,0.0,25.0,12.5,0.0,0.0
Amari Rodgers,IN,2,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amari Rodgers,OUT,10,18.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amari Rodgers,POST,3,5.66,0.0,1.0,0.0,0.0,0.0,8.0,0.0,12.5,0.0,0.0,0.0
Amari Rodgers,SCREEN,3,5.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amari Rodgers,SLANT,3,5.66,1.0,0.0,0.0,0.0,0.0,8.0,12.5,0.0,0.0,0.0,0.0
Christian Watson,CORNER,4,6.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Watson,CROSS,14,22.22,5.0,1.0,0.0,0.0,0.0,14.0,35.71,7.14,0.0,0.0,0.0
Christian Watson,FLAT,3,4.76,1.0,1.0,0.0,0.0,0.0,14.0,7.14,7.14,0.0,0.0,0.0
Christian Watson,GO,24,38.1,0.0,2.0,0.0,0.0,0.0,14.0,0.0,14.29,0.0,0.0,0.0
Christian Watson,HITCH,5,7.94,1.0,0.0,0.0,0.0,0.0,14.0,7.14,0.0,0.0,0.0,0.0
Christian Watson,IN,4,6.35,1.0,0.0,0.0,0.0,0.0,14.0,7.14,0.0,0.0,0.0,0.0
Christian Watson,OUT,1,1.59,1.0,0.0,0.0,0.0,0.0,14.0,7.14,0.0,0.0,0.0,0.0
Christian Watson,POST,4,6.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Watson,SLANT,4,6.35,1.0,0.0,0.0,0.0,0.0,14.0,7.14,0.0,0.0,0.0,0.0
Josiah Deguara,ANGLE,3,5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josiah Deguara,CORNER,3,5.45,1.0,0.0,0.0,0.0,0.0,12.0,8.33,0.0,0.0,0.0,0.0
Josiah Deguara,CROSS,5,9.09,1.0,1.0,0.0,0.0,0.0,12.0,8.33,8.33,0.0,0.0,0.0
Josiah Deguara,FLAT,11,20.0,1.0,0.0,0.0,0.0,0.0,12.0,8.33,0.0,0.0,0.0,0.0
Josiah Deguara,GO,3,5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josiah Deguara,HITCH,11,20.0,3.0,0.0,0.0,0.0,0.0,12.0,25.0,0.0,0.0,0.0,0.0
Josiah Deguara,IN,2,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josiah Deguara,OUT,4,7.27,1.0,0.0,0.0,0.0,0.0,12.0,8.33,0.0,0.0,0.0,0.0
Josiah Deguara,POST,3,5.45,1.0,0.0,0.0,0.0,0.0,12.0,8.33,0.0,0.0,0.0,0.0
Josiah Deguara,SCREEN,4,7.27,3.0,0.0,0.0,0.0,0.0,12.0,25.0,0.0,0.0,0.0,0.0
Josiah Deguara,SLANT,4,7.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josiah Deguara,WHEEL,2,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juwann Winfree,CORNER,1,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juwann Winfree,CROSS,1,4.35,0.0,1.0,0.0,0.0,0.0,3.0,0.0,33.33,0.0,0.0,0.0
Juwann Winfree,FLAT,3,13.04,0.0,1.0,0.0,0.0,0.0,3.0,0.0,33.33,0.0,0.0,0.0
Juwann Winfree,GO,6,26.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juwann Winfree,HITCH,4,17.39,0.0,1.0,0.0,0.0,0.0,3.0,0.0,33.33,0.0,0.0,0.0
Juwann Winfree,IN,2,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juwann Winfree,OUT,2,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juwann Winfree,POST,4,17.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcedes Lewis,CROSS,7,15.22,1.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0
Marcedes Lewis,FLAT,11,23.91,1.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0
Marcedes Lewis,GO,2,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcedes Lewis,HITCH,10,21.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcedes Lewis,IN,1,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcedes Lewis,POST,1,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcedes Lewis,SCREEN,8,17.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcedes Lewis,SLANT,6,13.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Taylor,GO,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Randall Cobb,CORNER,8,6.84,2.0,0.0,0.0,0.0,0.0,25.0,8.0,0.0,0.0,0.0,0.0
Randall Cobb,CROSS,9,7.69,1.0,1.0,1.0,0.0,0.0,25.0,4.0,4.0,4.0,0.0,0.0
Randall Cobb,FLAT,18,15.38,4.0,0.0,0.0,0.0,0.0,25.0,16.0,0.0,0.0,0.0,0.0
Randall Cobb,GO,24,20.51,2.0,3.0,0.0,0.0,0.0,25.0,8.0,12.0,0.0,0.0,0.0
Randall Cobb,HITCH,13,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Randall Cobb,IN,6,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Randall Cobb,OUT,11,9.4,2.0,2.0,0.0,0.0,0.0,25.0,8.0,8.0,0.0,0.0,0.0
Randall Cobb,POST,11,9.4,1.0,0.0,0.0,0.0,0.0,25.0,4.0,0.0,0.0,0.0,0.0
Randall Cobb,SCREEN,1,0.85,1.0,0.0,0.0,0.0,0.0,25.0,4.0,0.0,0.0,0.0,0.0
Randall Cobb,SLANT,16,13.68,4.0,1.0,0.0,0.0,0.0,25.0,16.0,4.0,0.0,0.0,0.0
Robert Tonyan,CORNER,7,3.8,1.0,0.0,0.0,0.0,0.0,45.0,2.22,0.0,0.0,0.0,0.0
Robert Tonyan,CROSS,17,9.24,5.0,0.0,0.0,0.0,0.0,45.0,11.11,0.0,0.0,0.0,0.0
Robert Tonyan,FLAT,43,23.37,10.0,1.0,0.0,0.0,0.0,45.0,22.22,2.22,0.0,0.0,0.0
Robert Tonyan,GO,33,17.93,2.0,0.0,0.0,0.0,0.0,45.0,4.44,0.0,0.0,0.0,0.0
Robert Tonyan,HITCH,27,14.67,11.0,1.0,0.0,0.0,0.0,45.0,24.44,2.22,0.0,0.0,0.0
Robert Tonyan,IN,3,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Tonyan,OUT,13,7.07,3.0,1.0,0.0,0.0,0.0,45.0,6.67,2.22,0.0,0.0,0.0
Robert Tonyan,POST,16,8.7,0.0,2.0,2.0,0.0,0.0,45.0,0.0,4.44,4.44,0.0,0.0
Robert Tonyan,SCREEN,9,4.89,2.0,0.0,0.0,0.0,0.0,45.0,4.44,0.0,0.0,0.0,0.0
Robert Tonyan,SLANT,16,8.7,4.0,0.0,0.0,0.0,0.0,45.0,8.89,0.0,0.0,0.0,0.0
Romeo Doubs,CORNER,10,4.2,2.0,1.0,0.0,0.0,0.0,46.0,4.35,2.17,0.0,0.0,0.0
Romeo Doubs,CROSS,11,4.62,3.0,1.0,0.0,0.0,0.0,46.0,6.52,2.17,0.0,0.0,0.0
Romeo Doubs,FLAT,5,2.1,1.0,1.0,0.0,0.0,0.0,46.0,2.17,2.17,0.0,0.0,0.0
Romeo Doubs,GO,91,38.24,2.0,5.0,0.0,0.0,0.0,46.0,4.35,10.87,0.0,0.0,0.0
