gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091112,336,1,deep,SHOTGUN,2x2,right,10,85,Zone,5-2 Defense,75.0,Quarters,"FLAT, GO, OUT, GO",I,Flood Concept (Intermediate Stretch),1
2022091112,379,1,short,EMPTY,3x2,middle,10,75,Zone,5-2 Defense,65.0,Quarters,"SLANT, GO, SCREEN, FLAT, GO",I,Short Middle Pass,1
2022091812,296,1,short,SHOTGUN,2x2,right,15,28,Zone,3-4 Defense,18.0,Cover-2,"SLANT, FLAT, OUT",I,Short Right Pass,1
2022091812,641,1,short,SHOTGUN,2x2,left,10,74,Zone,5-2 Defense,64.0,Cover-2,"GO, SCREEN, CORNER, POST, FLAT",I,Short Left Pass,1
2022091812,700,1,short,SHOTGUN,2x2,middle,10,62,Zone,3-4 Defense,52.0,Cover-6 Right,"SCREEN, FLAT, SCREEN, CROSS, SCREEN",C,Short Middle Pass,1
2022091812,745,1,short,SINGLEBACK,2x2,middle,10,48,Zone,3-4 Defense,38.0,Cover-2,"POST, CROSS, GO",C,Midfield Short Pass,1
2022092512,334,1,short,EMPTY,3x2,right,10,72,Zone,3-1-7 Quarter,62.0,Cover-2,"FLAT, SCREEN, FLAT, GO",C,Short Right Pass,1
2022100211,308,1,short,SHOTGUN,2x1,middle,10,85,Zone,3-4 Defense,75.0,Cover-3,"HITCH, FLAT, SLANT, FLAT, GO",C,Short Middle Pass,1
2022100211,332,1,short,EMPTY,3x2,left,10,61,Zone,3-4 Defense,51.0,Cover-2,"FLAT, SLANT, FLAT, SLANT, SCREEN",C,Short Left Pass,1
2022100900,175,1,deep,SHOTGUN,2x2,left,10,37,Man,4-3 Defense,27.0,Cover-1,"ANGLE, GO, SLANT, GO, GO",I,Midfield Deep Shotgun Attack,1
2022100900,393,1,short,SINGLEBACK,2x2,right,10,82,Man,4-3 Defense,72.0,Cover-0,"FLAT, CROSS, CROSS, GO",C,Singleback Balanced Short Pass,1
2022100900,714,1,short,SHOTGUN,2x2,left,4,14,Man,3-1-7 Quarter,4.0,Cover-1,"OUT, SLANT",I,Short Left Pass,1
2022101602,553,1,short,SINGLEBACK,3x1,right,10,31,Zone,5-2 Defense,79.0,Quarters,"SCREEN, GO, SCREEN, GO, GO",C,Midfield Short Pass,1
2022101602,620,1,short,SHOTGUN,3x1,middle,10,50,Man,3-4 Defense,60.0,Cover-1,"SCREEN, OUT, GO, FLAT, SLANT",C,Short Middle Pass,1
2022101602,842,1,short,SINGLEBACK,3x1,middle,10,37,Zone,5-2 Defense,73.0,Cover-3,"OUT, FLAT, CORNER, CROSS",I,Midfield Short Pass,1
