displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Brandin Cooks,CORNER,13,6.07,0.0,1.0,0.0,0.0,0.0,50.0,0.0,2.0,0.0,0.0,0.0
Brandin Cooks,CROSS,24,11.21,3.0,1.0,0.0,0.0,0.0,50.0,6.0,2.0,0.0,0.0,0.0
Brandin Cooks,FLAT,5,2.34,1.0,0.0,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0
Brandin Cooks,GO,52,24.3,1.0,2.0,0.0,0.0,0.0,50.0,2.0,4.0,0.0,0.0,0.0
Brandin Cooks,HITCH,37,17.29,5.0,4.0,0.0,0.0,0.0,50.0,10.0,8.0,0.0,0.0,0.0
Brandin Cooks,IN,17,7.94,2.0,0.0,0.0,0.0,0.0,50.0,4.0,0.0,0.0,0.0,0.0
Brandin Cooks,OUT,28,13.08,6.0,9.0,0.0,0.0,0.0,50.0,12.0,18.0,0.0,0.0,0.0
Brandin Cooks,POST,17,7.94,2.0,1.0,0.0,0.0,0.0,50.0,4.0,2.0,0.0,0.0,0.0
Brandin Cooks,SCREEN,15,7.01,8.0,1.0,0.0,0.0,0.0,50.0,16.0,2.0,0.0,0.0,0.0
Brandin Cooks,SLANT,6,2.8,2.0,0.0,1.0,0.0,0.0,50.0,4.0,0.0,2.0,0.0,0.0
Brevin Jordan,CORNER,6,7.41,0.0,1.0,0.0,0.0,0.0,17.0,0.0,5.88,0.0,0.0,0.0
Brevin Jordan,CROSS,6,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brevin Jordan,FLAT,14,17.28,4.0,1.0,0.0,0.0,0.0,17.0,23.53,5.88,0.0,0.0,0.0
Brevin Jordan,GO,16,19.75,0.0,3.0,0.0,0.0,0.0,17.0,0.0,17.65,0.0,0.0,0.0
Brevin Jordan,HITCH,17,20.99,0.0,1.0,0.0,0.0,0.0,17.0,0.0,5.88,0.0,0.0,0.0
Brevin Jordan,IN,3,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brevin Jordan,OUT,8,9.88,1.0,2.0,0.0,0.0,0.0,17.0,5.88,11.76,0.0,0.0,0.0
Brevin Jordan,POST,4,4.94,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,5.88,0.0,0.0
Brevin Jordan,SCREEN,3,3.7,1.0,0.0,0.0,0.0,0.0,17.0,5.88,0.0,0.0,0.0,0.0
Brevin Jordan,SLANT,4,4.94,0.0,1.0,1.0,0.0,0.0,17.0,0.0,5.88,5.88,0.0,0.0
Chris Conley,CROSS,1,6.67,0.0,1.0,0.0,0.0,0.0,2.0,0.0,50.0,0.0,0.0,0.0
Chris Conley,GO,3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Conley,HITCH,6,40.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,50.0,0.0,0.0,0.0
Chris Conley,OUT,1,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Conley,POST,3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Conley,SLANT,1,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Moore,CORNER,7,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Moore,CROSS,16,10.96,5.0,0.0,1.0,0.0,0.0,20.0,25.0,0.0,5.0,0.0,0.0
Chris Moore,FLAT,4,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Moore,GO,35,23.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Moore,HITCH,32,21.92,3.0,3.0,0.0,0.0,0.0,20.0,15.0,15.0,0.0,0.0,0.0
Chris Moore,IN,7,4.79,1.0,0.0,0.0,0.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0
Chris Moore,OUT,10,6.85,2.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0
Chris Moore,POST,18,12.33,0.0,2.0,0.0,0.0,0.0,20.0,0.0,10.0,0.0,0.0,0.0
Chris Moore,SCREEN,4,2.74,3.0,0.0,0.0,0.0,0.0,20.0,15.0,0.0,0.0,0.0,0.0
Chris Moore,SLANT,13,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dameon Pierce,ANGLE,30,34.09,4.0,3.0,0.0,0.0,0.0,22.0,18.18,13.64,0.0,0.0,0.0
Dameon Pierce,FLAT,35,39.77,7.0,0.0,0.0,0.0,0.0,22.0,31.82,0.0,0.0,0.0,0.0
Dameon Pierce,OUT,12,13.64,4.0,1.0,0.0,0.0,0.0,22.0,18.18,4.55,0.0,0.0,0.0
Dameon Pierce,SCREEN,10,11.36,3.0,0.0,0.0,0.0,0.0,22.0,13.64,0.0,0.0,0.0,0.0
Dameon Pierce,WHEEL,1,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dare Ogunbowale,ANGLE,1,14.29,1.0,0.0,0.0,0.0,0.0,7.0,14.29,0.0,0.0,0.0,0.0
Dare Ogunbowale,FLAT,3,42.86,3.0,0.0,0.0,0.0,0.0,7.0,42.86,0.0,0.0,0.0,0.0
Dare Ogunbowale,HITCH,1,14.29,1.0,0.0,0.0,0.0,0.0,7.0,14.29,0.0,0.0,0.0,0.0
Dare Ogunbowale,OUT,1,14.29,0.0,1.0,0.0,0.0,0.0,7.0,0.0,14.29,0.0,0.0,0.0
Dare Ogunbowale,SCREEN,1,14.29,1.0,0.0,0.0,0.0,0.0,7.0,14.29,0.0,0.0,0.0,0.0
Jalen Camp,CORNER,1,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Camp,HITCH,1,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Camp,OUT,1,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Akins,CORNER,2,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Akins,CROSS,9,12.68,2.0,0.0,0.0,0.0,0.0,12.0,16.67,0.0,0.0,0.0,0.0
Jordan Akins,FLAT,7,9.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Akins,GO,18,25.35,1.0,0.0,0.0,0.0,0.0,12.0,8.33,0.0,0.0,0.0,0.0
Jordan Akins,HITCH,6,8.45,1.0,1.0,0.0,0.0,0.0,12.0,8.33,8.33,0.0,0.0,0.0
Jordan Akins,IN,3,4.23,0.0,1.0,0.0,0.0,0.0,12.0,0.0,8.33,0.0,0.0,0.0
Jordan Akins,OUT,10,14.08,2.0,0.0,0.0,0.0,0.0,12.0,16.67,0.0,0.0,0.0,0.0
Jordan Akins,POST,6,8.45,1.0,0.0,0.0,0.0,0.0,12.0,8.33,0.0,0.0,0.0,0.0
Jordan Akins,SCREEN,4,5.63,1.0,0.0,0.0,0.0,0.0,12.0,8.33,0.0,0.0,0.0,0.0
Jordan Akins,SLANT,6,8.45,1.0,1.0,0.0,0.0,0.0,12.0,8.33,8.33,0.0,0.0,0.0
Mason Schreck,CORNER,3,15.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason Schreck,CROSS,4,21.05,2.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0
Mason Schreck,FLAT,3,15.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason Schreck,GO,4,21.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason Schreck,HITCH,2,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason Schreck,IN,1,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason Schreck,SCREEN,2,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nico Collins,CORNER,7,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nico Collins,CROSS,10,6.9,2.0,0.0,0.0,0.0,0.0,29.0,6.9,0.0,0.0,0.0,0.0
