gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091105,140,1,short,SHOTGUN,2x1,right,10,32,Zone,4-2-5 Nickel,78.0,Cover-3,"HITCH, SLANT, CORNER",C,Short Right Pass,1
2022091105,503,1,short,EMPTY,3x2,left,10,35,Zone,4-2-5 Nickel,75.0,Cover-6 Right,"SCREEN, SLANT, SCREEN, FLAT, SCREEN",C,Short Left Pass,1
2022091810,56,1,short,SINGLEBACK,2x2,middle,10,85,Zone,3-4 Defense,75.0,Cover-3,"GO, IN, GO, GO",I,Singleback Balanced Short Pass,1
2022091810,342,1,short,SHOTGUN,2x2,right,10,90,Zone,3-4 Defense,80.0,Cover-6 Right,"OUT, SLANT, HITCH, ANGLE",C,Short Right Pass,1
2022091810,883,1,deep,SINGLEBACK,2x2,right,10,74,Zone,3-4 Defense,64.0,Cover-2,"CORNER, OUT, CROSS",I,First Down Play Action Deep Pass,1
2022091810,1018,1,deep,I_FORM,2x1,middle,10,37,Zone,3-4 Defense,27.0,Cover 6-Left,"CORNER, POST, GO, ANGLE, FLAT",I,First Down Play Action Deep Pass,1
2022092501,883,1,deep,I_FORM,2x1,middle,10,51,Zone,5-2 Defense,41.0,Cover-3,"IN, GO, OUT, FLAT",C,First Down Play Action Deep Pass,1
2022092501,948,1,short,I_FORM,2x1,right,10,34,Zone,5-2 Defense,24.0,Cover-2,"GO, SLANT, ANGLE",C,Short Right Pass,1
2022100206,638,1,short,SINGLEBACK,2x2,left,10,54,Zone,3-1-7 Quarter,56.0,Cover 6-Left,"HITCH, FLAT, HITCH, OUT",C,Singleback Balanced Short Pass,1
2022100206,673,1,short,I_FORM,2x1,right,10,76,Zone,3-1-7 Quarter,34.0,Cover-6 Right,"POST, OUT, CROSS, ANGLE, FLAT",I,Short Right Pass,1
2022100903,56,1,short,SINGLEBACK,2x2,right,10,85,Zone,5-2 Defense,75.0,Cover-3,"GO, GO, GO, GO, ANGLE",I,Singleback Balanced Short Pass,1
2022100903,241,1,short,SINGLEBACK,2x2,right,10,79,Man,5-2 Defense,69.0,Cover-1,"GO, HITCH, SCREEN",C,Singleback Balanced Short Pass,1
2022100903,505,1,short,SINGLEBACK,2x2,right,10,106,Zone,5-2 Defense,96.0,Cover-2,"CROSS, POST, FLAT",C,Singleback Balanced Short Pass,1
2022102308,337,1,short,I_FORM,2x1,right,10,35,Zone,4-3 Defense,75.0,Cover-3,"OUT, SLANT, ANGLE",C,Short Right Pass,1
2022102308,671,1,short,I_FORM,2x1,right,10,48,Zone,4-3 Defense,62.0,Quarters,"IN, CROSS, SCREEN, OUT",C,I-Formation Screen Play,1
