displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Alec Pierce,CORNER,11,4.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Pierce,CROSS,9,3.95,2.0,0.0,0.0,0.0,0.0,39.0,5.13,0.0,0.0,0.0,0.0
Alec Pierce,FLAT,1,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Pierce,GO,62,27.19,5.0,4.0,0.0,0.0,0.0,39.0,12.82,10.26,0.0,0.0,0.0
Alec Pierce,HITCH,43,18.86,7.0,3.0,1.0,0.0,0.0,39.0,17.95,7.69,2.56,0.0,0.0
Alec Pierce,IN,61,26.75,6.0,3.0,0.0,0.0,0.0,39.0,15.38,7.69,0.0,0.0,0.0
Alec Pierce,OUT,13,5.7,2.0,2.0,0.0,0.0,0.0,39.0,5.13,5.13,0.0,0.0,0.0
Alec Pierce,POST,12,5.26,1.0,0.0,0.0,0.0,0.0,39.0,2.56,0.0,0.0,0.0,0.0
Alec Pierce,SCREEN,1,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Pierce,SLANT,15,6.58,2.0,1.0,0.0,0.0,0.0,39.0,5.13,2.56,0.0,0.0,0.0
Ashton Dulin,CORNER,3,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashton Dulin,CROSS,4,6.78,1.0,0.0,0.0,0.0,0.0,16.0,6.25,0.0,0.0,0.0,0.0
Ashton Dulin,GO,10,16.95,1.0,1.0,0.0,0.0,0.0,16.0,6.25,6.25,0.0,0.0,0.0
Ashton Dulin,HITCH,11,18.64,3.0,1.0,0.0,0.0,0.0,16.0,18.75,6.25,0.0,0.0,0.0
Ashton Dulin,IN,7,11.86,4.0,0.0,0.0,0.0,0.0,16.0,25.0,0.0,0.0,0.0,0.0
Ashton Dulin,OUT,8,13.56,0.0,1.0,0.0,0.0,0.0,16.0,0.0,6.25,0.0,0.0,0.0
Ashton Dulin,POST,7,11.86,0.0,1.0,0.0,0.0,0.0,16.0,0.0,6.25,0.0,0.0,0.0
Ashton Dulin,SCREEN,2,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashton Dulin,SLANT,7,11.86,3.0,0.0,0.0,0.0,0.0,16.0,18.75,0.0,0.0,0.0,0.0
Deon Jackson,ANGLE,11,16.67,2.0,0.0,0.0,0.0,0.0,17.0,11.76,0.0,0.0,0.0,0.0
Deon Jackson,FLAT,44,66.67,8.0,1.0,0.0,0.0,0.0,17.0,47.06,5.88,0.0,0.0,0.0
Deon Jackson,HITCH,3,4.55,1.0,0.0,0.0,0.0,0.0,17.0,5.88,0.0,0.0,0.0,0.0
Deon Jackson,OUT,4,6.06,3.0,0.0,0.0,0.0,0.0,17.0,17.65,0.0,0.0,0.0,0.0
Deon Jackson,SCREEN,3,4.55,2.0,0.0,0.0,0.0,0.0,17.0,11.76,0.0,0.0,0.0,0.0
Deon Jackson,WHEEL,1,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dezmon Patmon,CROSS,2,14.29,0.0,1.0,0.0,0.0,0.0,6.0,0.0,16.67,0.0,0.0,0.0
Dezmon Patmon,FLAT,1,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dezmon Patmon,GO,2,14.29,0.0,1.0,0.0,0.0,0.0,6.0,0.0,16.67,0.0,0.0,0.0
Dezmon Patmon,HITCH,3,21.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dezmon Patmon,IN,1,7.14,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,16.67,0.0,0.0
Dezmon Patmon,OUT,1,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dezmon Patmon,POST,1,7.14,1.0,0.0,0.0,0.0,0.0,6.0,16.67,0.0,0.0,0.0,0.0
Dezmon Patmon,SLANT,3,21.43,1.0,1.0,0.0,0.0,0.0,6.0,16.67,16.67,0.0,0.0,0.0
Ethan Fernea,GO,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jelani Woods,CORNER,10,10.64,3.0,1.0,0.0,0.0,0.0,13.0,23.08,7.69,0.0,0.0,0.0
Jelani Woods,CROSS,20,21.28,1.0,1.0,0.0,0.0,0.0,13.0,7.69,7.69,0.0,0.0,0.0
Jelani Woods,FLAT,9,9.57,1.0,0.0,0.0,0.0,0.0,13.0,7.69,0.0,0.0,0.0,0.0
Jelani Woods,GO,14,14.89,1.0,1.0,0.0,0.0,0.0,13.0,7.69,7.69,0.0,0.0,0.0
Jelani Woods,HITCH,9,9.57,0.0,1.0,0.0,0.0,0.0,13.0,0.0,7.69,0.0,0.0,0.0
Jelani Woods,IN,5,5.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jelani Woods,OUT,14,14.89,1.0,1.0,0.0,0.0,0.0,13.0,7.69,7.69,0.0,0.0,0.0
Jelani Woods,POST,11,11.7,0.0,1.0,0.0,0.0,0.0,13.0,0.0,7.69,0.0,0.0,0.0
Jelani Woods,SCREEN,1,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jelani Woods,SLANT,1,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Taylor,ANGLE,32,26.45,3.0,2.0,0.0,0.0,0.0,25.0,12.0,8.0,0.0,0.0,0.0
Jonathan Taylor,FLAT,69,57.02,10.0,6.0,0.0,0.0,0.0,25.0,40.0,24.0,0.0,0.0,0.0
Jonathan Taylor,GO,1,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Taylor,HITCH,1,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Taylor,IN,1,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Taylor,OUT,8,6.61,1.0,0.0,0.0,0.0,0.0,25.0,4.0,0.0,0.0,0.0,0.0
Jonathan Taylor,SCREEN,6,4.96,2.0,0.0,1.0,0.0,0.0,25.0,8.0,0.0,4.0,0.0,0.0
Jonathan Taylor,WHEEL,3,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Wilkins,CROSS,1,8.33,1.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0
Jordan Wilkins,FLAT,10,83.33,2.0,1.0,0.0,0.0,0.0,5.0,40.0,20.0,0.0,0.0,0.0
Jordan Wilkins,SCREEN,1,8.33,1.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0
Keke Coutee,CROSS,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kylen Granson,CORNER,9,6.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kylen Granson,CROSS,16,11.03,4.0,0.0,0.0,0.0,0.0,24.0,16.67,0.0,0.0,0.0,0.0
Kylen Granson,FLAT,18,12.41,5.0,2.0,0.0,0.0,0.0,24.0,20.83,8.33,0.0,0.0,0.0
Kylen Granson,GO,11,7.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kylen Granson,HITCH,25,17.24,3.0,0.0,0.0,0.0,0.0,24.0,12.5,0.0,0.0,0.0,0.0
Kylen Granson,IN,20,13.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kylen Granson,OUT,29,20.0,3.0,2.0,1.0,0.0,0.0,24.0,12.5,8.33,4.17,0.0,0.0
Kylen Granson,POST,9,6.21,0.0,1.0,0.0,0.0,0.0,24.0,0.0,4.17,0.0,0.0,0.0
Kylen Granson,SCREEN,4,2.76,2.0,0.0,0.0,0.0,0.0,24.0,8.33,0.0,0.0,0.0,0.0
Kylen Granson,SLANT,4,2.76,1.0,0.0,0.0,0.0,0.0,24.0,4.17,0.0,0.0,0.0,0.0
Michael Pittman,CORNER,9,2.76,1.0,0.0,0.0,0.0,0.0,75.0,1.33,0.0,0.0,0.0,0.0
Michael Pittman,CROSS,37,11.35,12.0,3.0,0.0,0.0,0.0,75.0,16.0,4.0,0.0,0.0,0.0
