gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091105,336,1,short,SINGLEBACK,2x2,right,10,56,Zone,5-2 Defense,46.0,Cover-2,"HITCH, CROSS, HITCH, HITCH, FLAT",I,Singleback Balanced Short Pass,1
2022091105,595,1,short,SINGLEBACK,2x1,right,10,80,Man,5-2 Defense,70.0,Cover-1,"CORNER, FLAT, GO",I,Short Right Pass,1
2022091105,643,1,short,SINGLEBACK,2x2,left,10,69,Zone,5-2 Defense,59.0,Quarters,"FLAT, HITCH, ANGLE, HITCH, FLAT",C,Singleback Balanced Short Pass,1
2022091803,150,1,short,SHOTGUN,2x2,left,10,50,Zone,5-2 Defense,40.0,Cover-2,"CORNER, CROSS, HITCH, WHEEL, CROSS",I,Short Left Pass,1
2022092502,64,1,short,SHOTGUN,2x2,right,10,44,Zone,5-2 Defense,66.0,Quarters,"IN, SLANT, HITCH, FLAT, CORNER",I,Short Right Pass,1
2022092502,413,1,short,SHOTGUN,2x2,left,10,31,Zone,5-2 Defense,79.0,Cover-6 Right,"FLAT, CROSS, POST, ANGLE, POST",C,Short Left Pass,1
2022092502,463,1,short,SHOTGUN,2x2,left,10,49,Zone,5-2 Defense,61.0,Quarters,"FLAT, FLAT, IN, OUT",I,Short Left Pass,1
2022100207,98,1,short,SINGLEBACK,2x2,middle,10,46,Zone,5-2 Defense,64.0,Cover-3,"HITCH, HITCH, ANGLE, FLAT",I,Midfield Short Pass,1
2022100207,240,1,short,SINGLEBACK,3x1,left,10,65,Zone,3-4 Defense,45.0,Cover-3,"HITCH, GO, CROSS, CORNER",I,Short Left Pass,1
2022100207,763,1,short,SHOTGUN,2x2,right,10,35,Zone,3-4 Defense,75.0,Cover-3 Seam,"CROSS, CROSS, OUT, CROSS, GO",C,Short Right Pass,1
2022100207,877,1,short,SHOTGUN,2x2,middle,10,84,Zone,5-2 Defense,26.0,Quarters,"CROSS, CROSS, FLAT, CROSS, CORNER",C,Short Middle Pass,1
2022100600,56,1,short,SHOTGUN,2x2,right,10,85,Zone,3-4 Defense,75.0,Cover-3 Seam,"FLAT, FLAT, CORNER, GO, POST",I,Short Right Pass,1
2022100600,406,1,short,SHOTGUN,2x2,left,10,85,Man,Heavy DE Front,75.0,Cover-1,"OUT, IN, CROSS, OUT, GO",C,Short Left Pass,1
2022100600,596,1,short,SINGLEBACK,3x1,right,10,70,Zone,3-4 Defense,60.0,Cover-6 Right,"CROSS, CROSS, POST, FLAT",I,Short Right Pass,1
2022101603,63,1,short,SHOTGUN,2x2,left,10,24,Zone,Heavy LB Defense,86.0,Cover-3 Seam,"POST, HITCH, CORNER, ANGLE, IN",I,Short Left Pass,1
2022101603,114,1,short,SHOTGUN,3x1,left,10,44,Zone,Heavy LB Defense,66.0,Cover-3,"SCREEN, GO, ANGLE, GO",C,Short Left Pass,1
2022101603,200,1,short,EMPTY,3x2,left,20,45,Zone,5-2 Defense,65.0,Cover-2,"OUT, IN, POST, HITCH, GO",C,Short Left Pass,1
2022101603,726,1,short,SHOTGUN,2x2,left,10,33,Zone,5-2 Defense,77.0,Cover-3 Seam,"POST, HITCH, FLAT, IN, CORNER",C,Short Left Pass,1
2022101603,776,1,short,SHOTGUN,3x1,left,10,46,Man,5-2 Defense,64.0,Cover-1,"FLAT, CROSS, IN, IN, CORNER",C,Short Left Pass,1
2022101603,800,1,short,SHOTGUN,2x2,middle,10,63,Zone,5-2 Defense,47.0,Cover-3,"ANGLE, FLAT, HITCH, IN, FLAT",C,Short Middle Pass,1
2022102305,240,1,short,SINGLEBACK,2x2,right,10,43,Zone,5-2 Defense,67.0,Quarters,"HITCH, OUT, HITCH, FLAT, OUT",C,Midfield Short Pass,1
2022102305,669,1,short,SHOTGUN,2x2,right,10,55,Zone,5-2 Defense,55.0,Cover-3,"HITCH, OUT, IN, OUT",I,Short Right Pass,1
2022103009,261,1,short,EMPTY,3x2,left,10,96,Zone,4-2-5 Nickel,86.0,Quarters,"FLAT, GO, SCREEN, OUT, GO",C,Short Left Pass,1
2022103009,626,1,short,SINGLEBACK,2x2,middle,10,86,Man,Other,76.0,Cover-1,"CROSS, IN, FLAT, GO, CROSS",C,Singleback Balanced Short Pass,1
2022110605,225,1,deep,SINGLEBACK,2x2,right,10,65,Zone,3-4 Defense,55.0,Cover-3,"CROSS, GO, IN, CORNER",I,First Down Play Action Deep Pass,1
2022091105,77,2,short,SINGLEBACK,2x2,right,6,81,Zone,5-2 Defense,71.0,Cover-3 Seam,"CROSS, GO, SCREEN, GO",C,Singleback Balanced Short Pass,1
2022091105,249,2,short,SINGLEBACK,2x2,middle,10,84,Zone,5-2 Defense,74.0,Cover-3,"CROSS, GO, POST",C,Singleback Balanced Short Pass,1
2022091105,619,2,short,SHOTGUN,2x2,right,10,80,Zone,5-2 Defense,70.0,Cover-2,"SCREEN, GO, FLAT, GO, GO",C,Short Right Pass,1
2022091803,102,2,short,EMPTY,3x2,right,8,64,Zone,Heavy LB Defense,54.0,Cover-3 Seam,"FLAT, SCREEN, SLANT, FLAT, GO",C,Short Right Pass,1
2022092502,664,2,short,SHOTGUN,2x2,middle,7,55,Man,5-2 Defense,55.0,Cover-1,"CROSS, GO, FLAT, ANGLE, SCREEN",C,Short Middle Pass,1
