displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Chris Manhertz,CROSS,6,16.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Manhertz,FLAT,7,18.92,1.0,1.0,0.0,0.0,0.0,6.0,16.67,16.67,0.0,0.0,0.0
Chris Manhertz,GO,6,16.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Manhertz,HITCH,6,16.22,2.0,0.0,0.0,0.0,0.0,6.0,33.33,0.0,0.0,0.0,0.0
Chris Manhertz,OUT,4,10.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Manhertz,POST,2,5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Manhertz,SCREEN,5,13.51,2.0,0.0,0.0,0.0,0.0,6.0,33.33,0.0,0.0,0.0,0.0
Chris Manhertz,SLANT,1,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Kirk,ANGLE,2,0.7,1.0,1.0,0.0,0.0,0.0,66.0,1.52,1.52,0.0,0.0,0.0
Christian Kirk,CORNER,8,2.81,3.0,1.0,0.0,0.0,0.0,66.0,4.55,1.52,0.0,0.0,0.0
Christian Kirk,CROSS,42,14.74,1.0,2.0,0.0,0.0,0.0,66.0,1.52,3.03,0.0,0.0,0.0
Christian Kirk,FLAT,21,7.37,3.0,3.0,0.0,0.0,0.0,66.0,4.55,4.55,0.0,0.0,0.0
Christian Kirk,GO,51,17.89,2.0,1.0,1.0,0.0,0.0,66.0,3.03,1.52,1.52,0.0,0.0
Christian Kirk,HITCH,47,16.49,8.0,0.0,0.0,0.0,0.0,66.0,12.12,0.0,0.0,0.0,0.0
Christian Kirk,IN,33,11.58,5.0,4.0,0.0,0.0,0.0,66.0,7.58,6.06,0.0,0.0,0.0
Christian Kirk,OUT,40,14.04,12.0,6.0,1.0,0.0,0.0,66.0,18.18,9.09,1.52,0.0,0.0
Christian Kirk,POST,28,9.82,3.0,1.0,1.0,0.0,0.0,66.0,4.55,1.52,1.52,0.0,0.0
Christian Kirk,SCREEN,4,1.4,2.0,1.0,0.0,0.0,0.0,66.0,3.03,1.52,0.0,0.0,0.0
Christian Kirk,SLANT,8,2.81,2.0,1.0,0.0,0.0,0.0,66.0,3.03,1.52,0.0,0.0,0.0
Christian Kirk,WHEEL,1,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Arnold,CORNER,1,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Arnold,CROSS,7,18.42,3.0,0.0,0.0,0.0,0.0,7.0,42.86,0.0,0.0,0.0,0.0
Dan Arnold,FLAT,4,10.53,2.0,0.0,0.0,0.0,0.0,7.0,28.57,0.0,0.0,0.0,0.0
Dan Arnold,GO,8,21.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Arnold,HITCH,6,15.79,0.0,1.0,0.0,0.0,0.0,7.0,0.0,14.29,0.0,0.0,0.0
Dan Arnold,IN,1,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Arnold,OUT,4,10.53,1.0,0.0,0.0,0.0,0.0,7.0,14.29,0.0,0.0,0.0,0.0
Dan Arnold,POST,4,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Arnold,SCREEN,2,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Arnold,SLANT,1,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evan Engram,ANGLE,2,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evan Engram,CORNER,21,9.05,1.0,2.0,0.0,0.0,0.0,46.0,2.17,4.35,0.0,0.0,0.0
Evan Engram,CROSS,25,10.78,5.0,1.0,0.0,0.0,0.0,46.0,10.87,2.17,0.0,0.0,0.0
Evan Engram,FLAT,21,9.05,1.0,0.0,0.0,0.0,0.0,46.0,2.17,0.0,0.0,0.0,0.0
Evan Engram,GO,41,17.67,1.0,1.0,0.0,0.0,0.0,46.0,2.17,2.17,0.0,0.0,0.0
Evan Engram,HITCH,47,20.26,8.0,2.0,0.0,0.0,0.0,46.0,17.39,4.35,0.0,0.0,0.0
Evan Engram,IN,14,6.03,1.0,2.0,0.0,0.0,0.0,46.0,2.17,4.35,0.0,0.0,0.0
Evan Engram,OUT,26,11.21,7.0,2.0,0.0,0.0,0.0,46.0,15.22,4.35,0.0,0.0,0.0
Evan Engram,POST,22,9.48,2.0,2.0,0.0,0.0,0.0,46.0,4.35,4.35,0.0,0.0,0.0
Evan Engram,SCREEN,9,3.88,6.0,0.0,0.0,0.0,0.0,46.0,13.04,0.0,0.0,0.0,0.0
Evan Engram,SLANT,4,1.72,1.0,1.0,0.0,0.0,0.0,46.0,2.17,2.17,0.0,0.0,0.0
Jamal Agnew,CORNER,1,3.45,1.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
Jamal Agnew,CROSS,8,27.59,1.0,2.0,0.0,0.0,0.0,10.0,10.0,20.0,0.0,0.0,0.0
Jamal Agnew,FLAT,2,6.9,2.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0
Jamal Agnew,GO,6,20.69,0.0,1.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0
Jamal Agnew,HITCH,2,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamal Agnew,IN,4,13.79,1.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
Jamal Agnew,POST,1,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamal Agnew,SCREEN,4,13.79,2.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0
Jamal Agnew,SLANT,1,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Robinson,ANGLE,10,12.5,1.0,0.0,0.0,0.0,0.0,9.0,11.11,0.0,0.0,0.0,0.0
James Robinson,CROSS,1,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Robinson,FLAT,53,66.25,6.0,1.0,0.0,0.0,0.0,9.0,66.67,11.11,0.0,0.0,0.0
James Robinson,GO,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Robinson,HITCH,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Robinson,OUT,3,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Robinson,POST,1,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Robinson,SCREEN,1,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Robinson,SLANT,2,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Robinson,WHEEL,1,1.25,0.0,1.0,0.0,0.0,0.0,9.0,0.0,11.11,0.0,0.0,0.0
Jamycal Hasty,ANGLE,3,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamycal Hasty,CROSS,6,21.43,1.0,0.0,0.0,0.0,0.0,8.0,12.5,0.0,0.0,0.0,0.0
Jamycal Hasty,FLAT,14,50.0,4.0,2.0,0.0,0.0,0.0,8.0,50.0,25.0,0.0,0.0,0.0
Jamycal Hasty,GO,1,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamycal Hasty,OUT,1,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamycal Hasty,POST,1,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamycal Hasty,SCREEN,1,3.57,1.0,0.0,0.0,0.0,0.0,8.0,12.5,0.0,0.0,0.0,0.0
Jamycal Hasty,SLANT,1,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Farrell,CROSS,1,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Farrell,FLAT,1,16.67,1.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0
Luke Farrell,GO,1,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Farrell,HITCH,1,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Farrell,POST,1,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Farrell,SCREEN,1,16.67,1.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0
Marvin Jones,CORNER,9,3.96,1.0,2.0,0.0,0.0,0.0,43.0,2.33,4.65,0.0,0.0,0.0
Marvin Jones,CROSS,16,7.05,2.0,1.0,0.0,0.0,0.0,43.0,4.65,2.33,0.0,0.0,0.0
Marvin Jones,FLAT,1,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marvin Jones,GO,56,24.67,0.0,7.0,0.0,0.0,0.0,43.0,0.0,16.28,0.0,0.0,0.0
Marvin Jones,HITCH,59,25.99,13.0,4.0,1.0,0.0,0.0,43.0,30.23,9.3,2.33,0.0,0.0
Marvin Jones,IN,33,14.54,2.0,1.0,0.0,0.0,0.0,43.0,4.65,2.33,0.0,0.0,0.0
Marvin Jones,OUT,16,7.05,5.0,0.0,0.0,0.0,0.0,43.0,11.63,0.0,0.0,0.0,0.0
Marvin Jones,POST,19,8.37,1.0,2.0,0.0,0.0,0.0,43.0,2.33,4.65,0.0,0.0,0.0
Marvin Jones,SLANT,18,7.93,1.0,0.0,0.0,0.0,0.0,43.0,2.33,0.0,0.0,0.0,0.0
Tim Jones,CORNER,1,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Jones,CROSS,4,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Jones,FLAT,1,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Jones,GO,8,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Jones,HITCH,4,12.5,1.0,0.0,0.0,0.0,0.0,3.0,33.33,0.0,0.0,0.0,0.0
Tim Jones,IN,5,15.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Jones,OUT,1,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Jones,POST,2,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Jones,SCREEN,5,15.62,1.0,1.0,0.0,0.0,0.0,3.0,33.33,33.33,0.0,0.0,0.0
Tim Jones,SLANT,1,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Travis Etienne,ANGLE,25,18.12,1.0,1.0,0.0,0.0,0.0,26.0,3.85,3.85,0.0,0.0,0.0
Travis Etienne,FLAT,82,59.42,11.0,4.0,0.0,0.0,0.0,26.0,42.31,15.38,0.0,0.0,0.0
Travis Etienne,GO,6,4.35,0.0,1.0,0.0,0.0,0.0,26.0,0.0,3.85,0.0,0.0,0.0
Travis Etienne,HITCH,3,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Travis Etienne,IN,1,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Travis Etienne,OUT,8,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Travis Etienne,SCREEN,11,7.97,6.0,0.0,0.0,0.0,0.0,26.0,23.08,0.0,0.0,0.0,0.0
Travis Etienne,WHEEL,2,1.45,1.0,1.0,0.0,0.0,0.0,26.0,3.85,3.85,0.0,0.0,0.0
Zay Jones,CORNER,24,9.6,1.0,0.0,0.0,0.0,0.0,49.0,2.04,0.0,0.0,0.0,0.0
