gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091109,128,1,short,SHOTGUN,2x2,middle,15,85,Man,5-2 Defense,75.0,Cover-1,"HITCH, HITCH, CORNER, POST, FLAT",C,Short Middle Pass,1
2022091109,163,1,short,SINGLEBACK,3x1,left,10,60,Man,5-2 Defense,50.0,Cover-1,"HITCH, GO, FLAT",C,Short Left Pass,1
2022091109,611,1,short,SINGLEBACK,3x1,right,10,73,Zone,5-2 Defense,63.0,Cover-3,"CROSS, CORNER, CROSS, FLAT",I,Short Right Pass,1
2022091803,296,1,short,SHOTGUN,3x1,middle,10,56,Zone,4-2-5 Nickel,54.0,Cover-3,"GO, HITCH, HITCH, FLAT, FLAT",C,Short Middle Pass,1
2022092509,124,1,short,SINGLEBACK,2x2,right,10,54,Man,5-2 Defense,44.0,Cover-1,"CORNER, CROSS, CROSS, FLAT",C,Singleback Balanced Short Pass,1
2022092509,341,1,short,PISTOL,2x1,left,10,84,Man,5-2 Defense,74.0,Cover-1,"CROSS, GO, GO, FLAT, SCREEN",C,Pistol Quick Pass,1
2022092509,564,1,short,SHOTGUN,3x1,right,10,77,Zone,5-2 Defense,67.0,Quarters,"IN, CORNER, CROSS, OUT",C,Short Right Pass,1
2022092509,599,1,short,SHOTGUN,2x1,right,10,63,Zone,5-2 Defense,53.0,Cover-3,"OUT, POST, GO",C,Short Right Pass,1
2022092509,692,1,deep,SHOTGUN,3x1,right,15,56,Zone,5-2 Defense,46.0,Quarters,"GO, IN, CROSS, CROSS, FLAT",I,Shotgun Isolation Deep Attack,1
2022092509,741,1,short,PISTOL,2x1,left,10,39,Zone,5-2 Defense,29.0,Cover-3,"GO, ANGLE, GO, FLAT",C,Pistol Quick Pass,1
2022100209,567,1,short,SINGLEBACK,2x2,right,10,61,Zone,5-2 Defense,51.0,Cover-3,"HITCH, GO, CROSS, CROSS, FLAT",C,Singleback Balanced Short Pass,1
