displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Clyde Edwards-Helaire,ANGLE,16,14.41,4.0,1.0,0.0,0.0,0.0,20.0,20.0,5.0,0.0,0.0,0.0
Clyde Edwards-Helaire,CROSS,1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clyde Edwards-Helaire,FLAT,63,56.76,7.0,1.0,0.0,0.0,0.0,20.0,35.0,5.0,0.0,0.0,0.0
Clyde Edwards-Helaire,GO,3,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clyde Edwards-Helaire,HITCH,4,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clyde Edwards-Helaire,IN,1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clyde Edwards-Helaire,OUT,5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clyde Edwards-Helaire,SCREEN,13,11.71,4.0,1.0,0.0,0.0,0.0,20.0,20.0,5.0,0.0,0.0,0.0
Clyde Edwards-Helaire,WHEEL,5,4.5,1.0,1.0,0.0,0.0,0.0,20.0,5.0,5.0,0.0,0.0,0.0
Isiah Pacheco,ANGLE,8,19.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isiah Pacheco,FLAT,25,60.98,1.0,0.0,0.0,0.0,0.0,3.0,33.33,0.0,0.0,0.0,0.0
Isiah Pacheco,GO,3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isiah Pacheco,OUT,1,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isiah Pacheco,SCREEN,2,4.88,2.0,0.0,0.0,0.0,0.0,3.0,66.67,0.0,0.0,0.0,0.0
Isiah Pacheco,SLANT,1,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isiah Pacheco,WHEEL,1,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jerick McKinnon,ANGLE,15,9.49,3.0,1.0,0.0,0.0,0.0,24.0,12.5,4.17,0.0,0.0,0.0
Jerick McKinnon,FLAT,95,60.13,9.0,1.0,0.0,0.0,0.0,24.0,37.5,4.17,0.0,0.0,0.0
Jerick McKinnon,GO,6,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jerick McKinnon,HITCH,5,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jerick McKinnon,IN,2,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jerick McKinnon,OUT,14,8.86,0.0,2.0,0.0,0.0,0.0,24.0,0.0,8.33,0.0,0.0,0.0
Jerick McKinnon,SCREEN,14,8.86,6.0,0.0,0.0,0.0,0.0,24.0,25.0,0.0,0.0,0.0,0.0
Jerick McKinnon,SLANT,1,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jerick McKinnon,WHEEL,6,3.8,0.0,2.0,0.0,0.0,0.0,24.0,0.0,8.33,0.0,0.0,0.0
Joe Fortson,CORNER,7,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Fortson,CROSS,8,14.29,1.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0
Joe Fortson,FLAT,1,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Fortson,GO,11,19.64,0.0,1.0,0.0,0.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0
Joe Fortson,HITCH,4,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Fortson,IN,5,8.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Fortson,OUT,6,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Fortson,POST,4,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Fortson,SCREEN,3,5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Fortson,SLANT,7,12.5,2.0,1.0,0.0,0.0,0.0,5.0,40.0,20.0,0.0,0.0,0.0
JuJu Smith-Schuster,CORNER,14,4.91,1.0,1.0,0.0,0.0,0.0,60.0,1.67,1.67,0.0,0.0,0.0
JuJu Smith-Schuster,CROSS,36,12.63,5.0,3.0,0.0,0.0,0.0,60.0,8.33,5.0,0.0,0.0,0.0
JuJu Smith-Schuster,FLAT,11,3.86,1.0,1.0,0.0,0.0,0.0,60.0,1.67,1.67,0.0,0.0,0.0
JuJu Smith-Schuster,GO,35,12.28,2.0,3.0,0.0,0.0,0.0,60.0,3.33,5.0,0.0,0.0,0.0
JuJu Smith-Schuster,HITCH,60,21.05,13.0,1.0,0.0,0.0,0.0,60.0,21.67,1.67,0.0,0.0,0.0
JuJu Smith-Schuster,IN,35,12.28,3.0,4.0,1.0,0.0,0.0,60.0,5.0,6.67,1.67,0.0,0.0
JuJu Smith-Schuster,OUT,28,9.82,10.0,0.0,0.0,0.0,0.0,60.0,16.67,0.0,0.0,0.0,0.0
JuJu Smith-Schuster,POST,27,9.47,1.0,1.0,0.0,0.0,0.0,60.0,1.67,1.67,0.0,0.0,0.0
JuJu Smith-Schuster,SCREEN,13,4.56,1.0,0.0,0.0,0.0,0.0,60.0,1.67,0.0,0.0,0.0,0.0
JuJu Smith-Schuster,SLANT,26,9.12,7.0,0.0,1.0,0.0,0.0,60.0,11.67,0.0,1.67,0.0,0.0
Justin Watson,CORNER,7,11.11,0.0,2.0,0.0,0.0,0.0,14.0,0.0,14.29,0.0,0.0,0.0
Justin Watson,CROSS,10,15.87,1.0,1.0,0.0,0.0,0.0,14.0,7.14,7.14,0.0,0.0,0.0
Justin Watson,FLAT,5,7.94,0.0,1.0,0.0,0.0,0.0,14.0,0.0,7.14,0.0,0.0,0.0
Justin Watson,GO,10,15.87,2.0,1.0,0.0,0.0,0.0,14.0,14.29,7.14,0.0,0.0,0.0
Justin Watson,HITCH,10,15.87,1.0,1.0,0.0,0.0,0.0,14.0,7.14,7.14,0.0,0.0,0.0
Justin Watson,IN,3,4.76,0.0,1.0,0.0,0.0,0.0,14.0,0.0,7.14,0.0,0.0,0.0
Justin Watson,OUT,6,9.52,2.0,0.0,0.0,0.0,0.0,14.0,14.29,0.0,0.0,0.0,0.0
Justin Watson,POST,5,7.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Watson,SCREEN,3,4.76,0.0,1.0,0.0,0.0,0.0,14.0,0.0,7.14,0.0,0.0,0.0
Justin Watson,SLANT,4,6.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kadarius Toney,CORNER,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kadarius Toney,HITCH,1,20.0,1.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0
Kadarius Toney,OUT,2,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kadarius Toney,SCREEN,1,20.0,1.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0
Marcus Kemp,GO,2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marquez Valdes-Scantling,CORNER,20,7.35,0.0,1.0,0.0,0.0,0.0,38.0,0.0,2.63,0.0,0.0,0.0
Marquez Valdes-Scantling,CROSS,28,10.29,3.0,2.0,0.0,0.0,0.0,38.0,7.89,5.26,0.0,0.0,0.0
Marquez Valdes-Scantling,FLAT,4,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marquez Valdes-Scantling,GO,68,25.0,4.0,2.0,0.0,0.0,0.0,38.0,10.53,5.26,0.0,0.0,0.0
Marquez Valdes-Scantling,HITCH,48,17.65,6.0,5.0,0.0,0.0,0.0,38.0,15.79,13.16,0.0,0.0,0.0
Marquez Valdes-Scantling,IN,27,9.93,1.0,0.0,0.0,0.0,0.0,38.0,2.63,0.0,0.0,0.0,0.0
Marquez Valdes-Scantling,OUT,24,8.82,4.0,3.0,0.0,0.0,0.0,38.0,10.53,7.89,0.0,0.0,0.0
Marquez Valdes-Scantling,POST,26,9.56,2.0,1.0,0.0,0.0,0.0,38.0,5.26,2.63,0.0,0.0,0.0
Marquez Valdes-Scantling,SCREEN,8,2.94,1.0,0.0,0.0,0.0,0.0,38.0,2.63,0.0,0.0,0.0,0.0
Marquez Valdes-Scantling,SLANT,19,6.99,1.0,1.0,1.0,0.0,0.0,38.0,2.63,2.63,2.63,0.0,0.0
Mecole Hardman,CORNER,9,4.89,2.0,0.0,0.0,0.0,0.0,34.0,5.88,0.0,0.0,0.0,0.0
Mecole Hardman,CROSS,42,22.83,6.0,3.0,0.0,0.0,0.0,34.0,17.65,8.82,0.0,0.0,0.0
Mecole Hardman,FLAT,7,3.8,3.0,0.0,0.0,0.0,0.0,34.0,8.82,0.0,0.0,0.0,0.0
Mecole Hardman,GO,41,22.28,1.0,1.0,0.0,0.0,0.0,34.0,2.94,2.94,0.0,0.0,0.0
Mecole Hardman,HITCH,28,15.22,4.0,2.0,0.0,0.0,0.0,34.0,11.76,5.88,0.0,0.0,0.0
Mecole Hardman,IN,4,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mecole Hardman,OUT,19,10.33,3.0,1.0,0.0,0.0,0.0,34.0,8.82,2.94,0.0,0.0,0.0
Mecole Hardman,POST,22,11.96,1.0,1.0,0.0,0.0,0.0,34.0,2.94,2.94,0.0,0.0,0.0
