gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091110,149,1,deep,SHOTGUN,2x2,left,10,50,Zone,3-4 Defense,40.0,Cover-2,"HITCH, POST, POST, GO",I,Midfield Deep Shotgun Attack,1
2022091110,195,1,short,SINGLEBACK,3x1,right,10,40,Zone,3-4 Defense,30.0,Cover-3,"SCREEN, CROSS, CROSS",C,Midfield Short Pass,1
2022091110,269,1,short,SHOTGUN,3x1,left,9,19,Man,3-4 Defense,9.0,Cover-1,"FLAT, FLAT, SCREEN, IN, CROSS",I,Short Left Pass,1
2022091110,514,1,short,SINGLEBACK,2x2,right,10,78,Zone,3-4 Defense,68.0,Cover-3 Seam,"HITCH, CORNER, IN, FLAT, HITCH",C,Singleback Balanced Short Pass,1
2022091110,593,1,short,SHOTGUN,2x2,left,10,36,Zone,3-4 Defense,26.0,Cover-3,"HITCH, OUT, HITCH, FLAT",C,Short Left Pass,1
2022091110,649,1,short,SHOTGUN,3x1,middle,10,24,Other,3-4 Defense,14.0,Bracket,"IN, POST, IN, CROSS",C,Short Middle Pass,1
2022091110,673,1,short,I_FORM,2x1,middle,3,13,Man,3-4 Defense,3.0,Cover-1,"OUT, FLAT, ANGLE, SCREEN, OUT",C,I-Formation Screen Play,1
2022091500,118,1,short,SHOTGUN,3x1,left,10,70,Man,5-2 Defense,60.0,Cover-1,"HITCH, HITCH, SLANT, SCREEN, SCREEN",C,Short Left Pass,1
2022091500,142,1,short,I_FORM,2x1,left,10,60,Zone,5-2 Defense,50.0,Quarters,"SCREEN, FLAT, FLAT, HITCH, CROSS",C,I-Formation Screen Play,1
2022092502,266,1,short,SINGLEBACK,3x1,middle,10,89,Zone,Big Nickel,79.0,Cover-3,"CROSS, CROSS, CROSS, FLAT",I,Short Middle Pass,1
2022092502,738,1,short,SHOTGUN,2x2,left,10,45,Zone,Big Nickel,35.0,Cover-3,"GO, OUT, FLAT",C,Short Left Pass,1
2022092502,807,1,short,SHOTGUN,3x1,left,3,13,Other,Big Nickel,3.0,Red Zone,"CORNER, ANGLE, GO, OUT, HITCH",C,Short Left Pass,1
2022100213,344,1,short,EMPTY,3x2,middle,10,89,Zone,3-4 Defense,79.0,Quarters,"HITCH, SCREEN, IN, OUT, GO",C,Short Middle Pass,1
2022100213,368,1,short,SHOTGUN,2x2,left,10,77,Zone,3-1-7 Quarter,67.0,Cover-2,"FLAT, SCREEN, SCREEN, FLAT, SLANT",C,Short Left Pass,1
2022100213,447,1,short,SHOTGUN,2x2,left,10,64,Zone,3-1-7 Quarter,54.0,Cover-2,"CORNER, OUT, CROSS, FLAT, CROSS",I,Short Left Pass,1
2022100213,787,1,short,SHOTGUN,2x2,right,15,97,Zone,3-1-7 Quarter,87.0,Cover-6 Right,"IN, SLANT, HITCH, GO, FLAT",C,Short Right Pass,1
2022100213,835,1,short,SHOTGUN,2x2,middle,10,77,Zone,3-1-7 Quarter,67.0,Cover-2,"HITCH, SCREEN, SLANT, ANGLE",I,Short Middle Pass,1
2022101000,423,1,short,SHOTGUN,3x1,right,10,85,Zone,4-3 Defense,75.0,Cover-3,"CORNER, GO, HITCH, HITCH, FLAT",C,Short Right Pass,1
2022101000,447,1,short,SHOTGUN,3x1,left,10,75,Man,4-3 Defense,65.0,Cover-1,"FLAT, GO, CROSS, ANGLE, SCREEN",C,Short Left Pass,1
2022101000,594,1,short,SHOTGUN,2x2,left,10,33,Zone,4-3 Defense,23.0,Quarters,"SCREEN, CROSS, CORNER, HITCH, OUT",I,Short Left Pass,1
2022101610,340,1,short,SHOTGUN,3x1,middle,10,37,Man,4-3 Defense,73.0,Cover-1,"FLAT, SLANT, GO, FLAT, SLANT",I,Short Middle Pass,1
2022101610,391,1,short,SHOTGUN,2x2,left,10,63,Zone,4-3 Defense,47.0,Cover-2,"POST, CORNER, CROSS, ANGLE",C,Short Left Pass,1
2022101610,420,1,short,SHOTGUN,2x2,left,10,76,Zone,4-3 Defense,34.0,Quarters,"GO, POST, CORNER, WHEEL, CROSS",C,Short Left Pass,1
2022101610,632,1,short,SHOTGUN,2x2,middle,9,101,Other,4-3 Defense,9.0,Red Zone,"HITCH, OUT, CORNER, CORNER, ANGLE",I,Short Middle Pass,1
2022102310,540,1,short,SHOTGUN,2x2,left,10,37,Zone,5-2 Defense,73.0,Quarters,"HITCH, POST, IN, OUT, FLAT",C,Short Left Pass,1
2022102310,638,1,short,SHOTGUN,2x2,left,10,73,Man,5-2 Defense,37.0,Cover-1,"HITCH, HITCH, POST, FLAT",I,Short Left Pass,1
2022102310,689,1,short,EMPTY,3x2,left,10,91,Man,5-2 Defense,19.0,Cover-1,"HITCH, GO, GO, CROSS, CROSS",I,Short Left Pass,1
2022102310,796,1,short,SHOTGUN,2x2,middle,8,102,Other,5-2 Defense,8.0,Red Zone,"ANGLE, GO, CROSS, GO, SLANT",C,Short Middle Pass,1
2022110610,64,1,short,SHOTGUN,2x2,right,10,84,Zone,5-2 Defense,74.0,Cover-3,"GO, SLANT, SCREEN, ANGLE",C,Short Right Pass,1
2022110610,112,1,short,SHOTGUN,3x1,right,10,74,Zone,5-2 Defense,64.0,Quarters,"HITCH, IN, OUT, CROSS, FLAT",C,Short Right Pass,1
2022110610,247,1,short,SHOTGUN,3x1,left,20,54,Zone,Interior DL Heavy,44.0,Quarters,"HITCH, OUT, SLANT, ANGLE, HITCH",I,Short Left Pass,1
2022110610,401,1,short,SHOTGUN,2x2,left,8,18,Other,5-2 Defense,8.0,Red Zone,"CORNER, POST, HITCH, OUT, FLAT",I,Short Left Pass,1
2022110610,692,1,deep,SINGLEBACK,2x2,right,10,89,Zone,5-2 Defense,79.0,Cover-3,"CROSS, CORNER, CROSS, HITCH, OUT",C,First Down Play Action Deep Pass,1
2022110610,787,1,short,SHOTGUN,3x1,left,10,32,Zone,5-2 Defense,22.0,Quarters,"HITCH, FLAT, SLANT, SLANT, SCREEN",I,Short Left Pass,1
2022110610,833,1,short,SHOTGUN,3x1,right,10,22,Other,5-2 Defense,12.0,Red Zone,"GO, HITCH, GO, GO, SCREEN",C,Short Right Pass,1
2022091110,171,2,short,SHOTGUN,2x2,left,10,50,Zone,3-4 Defense,40.0,Cover-2,"HITCH, OUT, OUT, FLAT",C,Short Left Pass,1
2022091110,291,2,short,SHOTGUN,3x1,left,9,19,Man,3-4 Defense,9.0,Cover-1,"CORNER, FLAT, CROSS, POST, CROSS",C,Short Left Pass,1
2022091110,569,2,short,EMPTY,3x2,middle,13,56,Zone,3-4 Defense,46.0,Cover-3,"GO, CROSS, CROSS, CROSS, IN",C,Short Middle Pass,1
2022091500,171,2,short,SHOTGUN,3x1,right,8,58,Man,4-2-5 Nickel,48.0,Cover-1,"FLAT, SCREEN, OUT, CROSS, IN",C,Short Right Pass,1
2022092502,570,2,short,SHOTGUN,2x2,left,10,109,Zone,Big Nickel,99.0,Cover-6 Right,"HITCH, OUT, GO, OUT, FLAT",C,Short Left Pass,1
2022100213,102,2,short,SHOTGUN,3x1,middle,5,26,Zone,3-1-7 Quarter,16.0,Quarters,"CROSS, FLAT, GO, WHEEL, IN",C,Short Middle Pass,1
2022100213,392,2,short,SHOTGUN,3x1,right,6,73,Zone,3-1-7 Quarter,63.0,Cover-3,"SCREEN, FLAT, FLAT, FLAT, SLANT",C,Short Right Pass,1
2022100213,469,2,short,EMPTY,3x2,left,10,64,Zone,3-4 Defense,54.0,Quarters,"HITCH, CORNER, GO, IN, GO",I,Short Left Pass,1
2022100213,548,2,short,SHOTGUN,2x2,middle,2,43,Zone,5-2 Defense,33.0,Cover-3,"CROSS, CORNER, GO, POST",C,Short Middle Pass,1
2022100213,811,2,short,SINGLEBACK,3x1,left,2,84,Zone,3-4 Defense,74.0,Cover-2,"HITCH, CROSS, OUT, FLAT, FLAT",C,Short Left Pass,1
2022101000,202,2,short,SHOTGUN,3x1,right,8,87,Man,4-3 Defense,77.0,Cover-1,"SCREEN, GO, HITCH, WHEEL, IN",I,Short Right Pass,1
2022101000,471,2,short,EMPTY,3x2,middle,3,68,Zone,4-3 Defense,58.0,Cover-3,"HITCH, GO, SCREEN, SCREEN, GO",C,Short Middle Pass,1
2022101000,516,2,short,SHOTGUN,2x2,right,10,64,Man,4-3 Defense,54.0,Cover-1,"SLANT, HITCH, OUT, SCREEN, SCREEN",C,Short Right Pass,1
2022101000,616,2,short,SHOTGUN,2x2,left,10,33,Man,4-3 Defense,23.0,Cover-1,"IN, CROSS, CROSS, GO",I,Short Left Pass,1
2022101610,311,2,short,SHOTGUN,2x2,left,5,26,Zone,4-3 Defense,84.0,Cover 6-Left,"OUT, HITCH, CORNER, GO, FLAT",C,Short Left Pass,1
2022101610,362,2,deep,EMPTY,3x2,right,10,37,Man,4-3 Defense,73.0,Cover-1,"HITCH, IN, CORNER, GO, HITCH",C,Spread Deep Attack from Empty 3x2 Alignment,1
2022101610,449,2,short,SHOTGUN,2x2,right,7,79,Man,4-3 Defense,31.0,Cover-1,"OUT, GO, ANGLE, SLANT, OUT",C,Short Right Pass,1
2022101610,539,2,deep,SHOTGUN,2x2,left,7,90,Man,4-3 Defense,20.0,Cover-1,"GO, CROSS, GO, FLAT, FLAT",I,Spread Misdirection Play,1
2022102310,335,2,short,SHOTGUN,3x1,left,8,37,Zone,5-2 Defense,73.0,Quarters,"SCREEN, SCREEN, FLAT, FLAT, FLAT",C,Short Left Pass,1
2022102310,664,2,deep,SHOTGUN,2x2,left,10,73,Zone,5-2 Defense,37.0,Cover-3,"OUT, CORNER, CROSS, CROSS",C,Hi-Lo Route Concept,1
2022110610,88,2,short,SHOTGUN,3x1,left,8,82,Zone,5-2 Defense,72.0,Cover-2,"HITCH, GO, GO, HITCH, ANGLE",C,Short Left Pass,1
2022110610,141,2,short,SHOTGUN,3x1,left,4,68,Zone,5-2 Defense,58.0,Cover-3,"SCREEN, HITCH, SCREEN, GO, FLAT",C,Short Left Pass,1
2022110610,191,2,short,SHOTGUN,2x2,middle,8,56,Zone,Interior DL Heavy,46.0,Quarters,"IN, HITCH, OUT, CORNER, FLAT",C,Short Middle Pass,1
2022110610,348,2,short,SHOTGUN,2x2,left,10,33,Zone,5-2 Defense,23.0,Quarters,"GO, CROSS, GO, GO, SCREEN",C,Short Left Pass,1
2022110610,455,2,short,SHOTGUN,2x2,middle,18,28,Zone,5-2 Defense,18.0,Quarters,"HITCH, POST, POST, FLAT, FLAT",I,Short Middle Pass,1
2022110610,809,2,short,EMPTY,3x2,middle,10,32,Zone,5-2 Defense,22.0,Quarters,"HITCH, HITCH, POST, SCREEN, HITCH",C,Short Middle Pass,1
2022091110,240,3,short,SHOTGUN,3x1,left,7,37,Man,Big Secondary and LB,27.0,2-Man,"IN, FLAT, OUT, GO, GO",C,Short Left Pass,1
2022091500,578,3,short,SHOTGUN,3x1,left,16,91,Zone,4-2-5 Nickel,81.0,Quarters,"GO, SCREEN, HITCH, GO, GO",C,Short Left Pass,1
2022092502,309,3,deep,SHOTGUN,3x1,left,7,86,Man,Big Nickel,76.0,Cover-1,"CORNER, FLAT, POST, GO, OUT",I,Third-and-Long Deep Attack,1
2022092502,594,3,short,SHOTGUN,3x1,right,7,106,Man,Big Nickel,96.0,Cover-1,"CROSS, FLAT, GO, HITCH, OUT",C,Short Right Pass,1
2022092502,783,3,short,SHOTGUN,2x2,right,7,42,Zone,Big Nickel,32.0,Cover-3,"CORNER, OUT, IN, OUT, CROSS",C,Short Right Pass,1
2022100213,416,3,short,SINGLEBACK,2x2,right,1,68,Zone,3-4 Defense,58.0,Cover-3 Cloud Left,"HITCH, CROSS, CORNER, FLAT",C,Short Yardage Pass,1
2022100213,503,3,short,SHOTGUN,2x2,right,10,64,Zone,Heavy DE Front,54.0,Cover-3,"OUT, HITCH, CORNER, POST",C,Short Right Pass,1
2022101000,638,3,short,SHOTGUN,3x1,middle,10,33,Man,4-2-5 Nickel,23.0,Cover-1,"CROSS, CROSS, GO, GO",I,Short Middle Pass,1
2022101610,675,3,short,SHOTGUN,3x1,right,9,101,Other,Heavy LB Defense,9.0,Red Zone,"OUT, ANGLE, IN, SLANT, SCREEN",IN,Short Right Pass,1
2022102310,359,3,short,EMPTY,3x2,middle,7,38,Zone,Heavy DE Front,72.0,Quarters,"FLAT, HITCH, IN, OUT, IN",IN,Short Middle Pass,1
2022102310,597,3,short,SINGLEBACK,3x1,right,1,46,Man,5-2 Defense,64.0,Cover-1,"FLAT, CORNER, CROSS, SLANT",C,Short Yardage Pass,1
2022102310,767,3,short,SHOTGUN,2x2,left,4,97,Man,Heavy DE Front,13.0,Cover-1,"OUT, FLAT, FLAT, SLANT, CROSS",C,Short Left Pass,1
2022110610,372,3,short,SHOTGUN,3x1,right,6,29,Man,5-2 Defense,19.0,Cover-1,"HITCH, IN, CORNER, OUT",C,Short Right Pass,1
2022110610,477,3,short,SHOTGUN,2x2,middle,18,28,Zone,5-2 Defense,18.0,Quarters,"POST, FLAT, GO, POST, SLANT",C,Short Middle Pass,1
2022110610,763,3,deep,SHOTGUN,3x1,left,7,63,Man,5-2 Defense,53.0,Cover-1,"HITCH, FLAT, HITCH, GO, IN",C,Third-and-Long Deep Attack,1
2022091110,1203,1,short,SHOTGUN,2x2,right,10,84,Zone,Heavy DE Front,26.0,Cover-6 Right,"GO, HITCH, SLANT, GO, FLAT",C,Short Right Pass,2
2022091110,1256,1,short,SHOTGUN,2x2,left,10,98,Other,3-4 Defense,12.0,Red Zone,"IN, OUT, OUT, POST, FLAT",C,Short Left Pass,2
2022091110,1868,1,short,EMPTY,3x2,middle,10,30,Zone,3-4 Defense,80.0,Cover-2,"OUT, GO, POST, IN, POST",C,Short Middle Pass,2
2022091110,2022,1,short,SHOTGUN,3x1,right,10,44,Other,3-4 Defense,66.0,Bracket,"CROSS, FLAT, GO, CORNER, HITCH",C,Short Right Pass,2
2022091110,2063,1,deep,SHOTGUN,3x1,left,10,56,Man,Heavy DE Front,54.0,Cover-1,"FLAT, IN, CROSS, CROSS",I,Spread Misdirection Play,2
2022091110,2126,1,short,EMPTY,4x1,left,10,74,Man,Big Secondary and LB,36.0,2-Man,"GO, GO, GO, GO, FLAT",I,Short Left Pass,2
2022091500,872,1,deep,SHOTGUN,2x2,left,10,35,Zone,5-2 Defense,75.0,Cover-3,"HITCH, HITCH, CROSS, HITCH",C,Midfield Deep Shotgun Attack,2
2022091500,901,1,short,SHOTGUN,3x1,right,10,65,Man,5-2 Defense,45.0,Cover-1,"CROSS, HITCH, OUT, CORNER, FLAT",I,Short Right Pass,2
2022091500,1076,1,short,SHOTGUN,2x2,right,9,101,Man,5-2 Defense,9.0,Cover-1,"GO, FLAT, CROSS, CORNER, HITCH",C,Short Right Pass,2
2022091500,1386,1,short,EMPTY,3x2,left,10,30,Zone,5-2 Defense,80.0,Cover-3 Seam,"HITCH, IN, GO, HITCH, GO",C,Short Left Pass,2
2022091500,1693,1,short,SHOTGUN,3x1,right,16,17,Man,5-2 Defense,93.0,Cover-1,"IN, HITCH, POST, GO, FLAT",C,Short Right Pass,2
2022092502,1156,1,short,SHOTGUN,2x2,middle,10,25,Zone,Big Nickel,85.0,Quarters,"SLANT, CROSS, FLAT",C,Short Middle Pass,2
2022092502,1519,1,short,SHOTGUN,2x2,left,10,89,Zone,Big Nickel,21.0,Cover-3,"OUT, HITCH, CORNER, FLAT, CORNER",C,Short Left Pass,2
2022092502,1543,1,short,SHOTGUN,2x2,middle,10,99,Other,Big Nickel,11.0,Red Zone,"CORNER, CORNER, CROSS, OUT, ANGLE",C,Short Middle Pass,2
2022092502,1976,1,deep,EMPTY,3x2,middle,20,46,Zone,Big Nickel,64.0,Cover-3,"FLAT, HITCH, CORNER, CROSS, POST",I,Spread Deep Attack from Empty 3x2 Alignment,2
2022100213,918,1,deep,SHOTGUN,2x2,middle,10,58,Zone,3-4 Defense,52.0,Cover-2,"OUT, FLAT, POST, GO, CORNER",C,Deep Middle Pass,2
2022101000,1266,1,short,EMPTY,3x2,right,10,35,Zone,4-3 Defense,75.0,Cover-3,"HITCH, OUT, GO, HITCH, HITCH",I,Short Right Pass,2
2022101000,1427,1,short,SHOTGUN,3x1,middle,10,87,Zone,4-3 Defense,23.0,Cover 6-Left,"HITCH, FLAT, IN, HITCH, CROSS",C,Short Middle Pass,2
2022101000,1451,1,short,SHOTGUN,3x1,right,9,101,Man,4-3 Defense,9.0,Cover-1,"FLAT, GO, CROSS, GO",C,Short Right Pass,2
2022101000,1962,1,deep,SHOTGUN,3x1,left,10,62,Man,Other,48.0,Cover-1,"CORNER, IN, CROSS, CROSS",I,Spread Misdirection Play,2
2022101610,1015,1,short,SHOTGUN,2x2,left,10,89,Zone,4-3 Defense,79.0,Cover-3,"CROSS, HITCH, GO, CORNER, OUT",C,Short Left Pass,2
2022101610,1065,1,short,I_FORM,2x1,left,10,77,Zone,4-3 Defense,67.0,Cover-2,"ANGLE, GO, CORNER, CROSS, FLAT",C,Short Left Pass,2
2022101610,1105,1,short,SHOTGUN,2x1,right,10,52,Man,4-3 Defense,42.0,Cover-1,"CROSS, HITCH, OUT",I,Short Right Pass,2
2022101610,1762,1,short,SHOTGUN,2x2,left,10,74,Zone,4-3 Defense,64.0,Cover-2,"HITCH, HITCH, POST, GO, ANGLE",I,Short Left Pass,2
2022101610,1862,1,short,SHOTGUN,2x2,right,10,74,Man,4-3 Defense,64.0,Cover-1,"GO, HITCH, SLANT, ANGLE",C,Short Right Pass,2
2022101610,1897,1,short,SHOTGUN,2x2,left,10,76,Zone,4-3 Defense,66.0,Cover-2,"IN, GO, GO, GO, SCREEN",C,Short Left Pass,2
2022101610,1921,1,deep,SHOTGUN,3x1,right,10,64,Man,4-3 Defense,54.0,Cover-1,"HITCH, SLANT, CORNER, OUT",I,Spread Misdirection Play,2
2022101610,2278,1,short,SHOTGUN,3x1,right,10,82,Zone,4-3 Defense,72.0,Quarters,"GO, FLAT, POST, GO, OUT",C,Short Right Pass,2
2022101610,2324,1,short,SHOTGUN,3x1,middle,10,63,Man,4-3 Defense,53.0,2-Man,"SLANT, FLAT, GO, GO, GO",C,Short Middle Pass,2
2022102310,1227,1,short,EMPTY,3x2,left,10,87,Man,5-2 Defense,77.0,Cover-1,"CORNER, HITCH, POST, GO, FLAT",C,Short Left Pass,2
2022102310,2007,1,short,SHOTGUN,3x1,left,10,104,Zone,Heavy DE Front,94.0,Quarters,"FLAT, GO, CROSS, POST",C,Short Left Pass,2
2022102310,2066,1,deep,SHOTGUN,2x2,middle,10,80,Zone,Heavy DE Front,70.0,Cover-6 Right,"CORNER, ANGLE, OUT, POST, IN",C,Deep Middle Pass,2
2022102310,2104,1,short,SHOTGUN,3x1,right,10,40,Zone,Heavy DE Front,30.0,Cover-2,"GO, FLAT, HITCH, IN, HITCH",I,Short Right Pass,2
2022102310,2154,1,short,EMPTY,3x2,middle,10,21,Other,Heavy DE Front,11.0,Red Zone,"HITCH, SLANT, SCREEN, FLAT, IN",C,Short Middle Pass,2
2022110610,1233,1,short,I_FORM,2x1,left,10,35,Zone,5-2 Defense,75.0,Cover-2,"FLAT, OUT, IN, CORNER, OUT",C,Short Left Pass,2
2022110610,1278,1,short,SHOTGUN,2x2,right,10,46,Zone,5-2 Defense,64.0,Cover-2,"IN, OUT, POST, OUT, ANGLE",I,Short Right Pass,2
2022110610,1795,1,short,SHOTGUN,3x1,middle,10,12,Man,5-2 Defense,98.0,Cover-1,"SLANT, FLAT, HITCH, GO, HITCH",C,Short Middle Pass,2
2022110610,1859,1,short,SHOTGUN,3x1,right,10,26,Man,5-2 Defense,84.0,Cover-1,"POST, FLAT, HITCH, HITCH, IN",C,Short Right Pass,2
2022110610,1930,1,short,EMPTY,3x2,left,10,51,Man,5-2 Defense,59.0,Cover-1,"HITCH, IN, IN, CORNER, CROSS",I,Short Left Pass,2
2022091110,1068,2,short,EMPTY,3x2,middle,9,36,Zone,Heavy DE Front,74.0,Cover-3,"HITCH, CROSS, OUT, GO, GO",C,Short Middle Pass,2
2022091110,1113,2,short,SHOTGUN,3x1,left,10,53,Zone,Heavy DE Front,57.0,Cover-3,"HITCH, HITCH, ANGLE",C,Short Left Pass,2
2022091110,1232,2,short,SHOTGUN,2x2,left,3,91,Man,Heavy DE Front,19.0,Cover-1,"GO, SLANT, FLAT, FLAT",C,Short Left Pass,2
2022091110,1290,2,short,SHOTGUN,3x1,left,4,104,Man,3-4 Defense,6.0,Cover-0,"HITCH, CROSS, CROSS, OUT",I,Short Left Pass,2
2022091110,1515,2,short,EMPTY,4x1,left,5,40,Man,3-4 Defense,70.0,Cover-1,"CROSS, SCREEN, HITCH, HITCH, HITCH",C,Short Left Pass,2
2022091110,1560,2,short,SHOTGUN,2x2,left,9,46,Zone,3-4 Defense,64.0,Cover-3,"CROSS, FLAT, POST, SLANT, GO",C,Short Left Pass,2
2022091110,2085,2,short,EMPTY,4x1,middle,10,56,Zone,Big Secondary and LB,54.0,Cover-3 Cloud Right,"CROSS, SCREEN, HITCH, GO, POST",C,Short Middle Pass,2
