displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Allen Robinson,CORNER,12,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allen Robinson,CROSS,38,13.62,3.0,1.0,0.0,0.0,0.0,38.0,7.89,2.63,0.0,0.0,0.0
Allen Robinson,FLAT,9,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allen Robinson,GO,65,23.3,4.0,6.0,0.0,0.0,0.0,38.0,10.53,15.79,0.0,0.0,0.0
Allen Robinson,HITCH,59,21.15,6.0,0.0,0.0,0.0,0.0,38.0,15.79,0.0,0.0,0.0,0.0
Allen Robinson,IN,36,12.9,5.0,2.0,0.0,0.0,0.0,38.0,13.16,5.26,0.0,0.0,0.0
Allen Robinson,OUT,17,6.09,2.0,1.0,0.0,0.0,0.0,38.0,5.26,2.63,0.0,0.0,0.0
Allen Robinson,POST,14,5.02,1.0,1.0,0.0,0.0,0.0,38.0,2.63,2.63,0.0,0.0,0.0
Allen Robinson,SCREEN,8,2.87,1.0,0.0,0.0,0.0,0.0,38.0,2.63,0.0,0.0,0.0,0.0
Allen Robinson,SLANT,21,7.53,3.0,2.0,0.0,0.0,0.0,38.0,7.89,5.26,0.0,0.0,0.0
Ben Skowronek,ANGLE,1,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Skowronek,CORNER,16,7.05,0.0,1.0,0.0,0.0,0.0,32.0,0.0,3.12,0.0,0.0,0.0
Ben Skowronek,CROSS,37,16.3,7.0,3.0,0.0,0.0,0.0,32.0,21.88,9.38,0.0,0.0,0.0
Ben Skowronek,FLAT,16,7.05,3.0,0.0,0.0,0.0,0.0,32.0,9.38,0.0,0.0,0.0,0.0
Ben Skowronek,GO,44,19.38,0.0,1.0,0.0,0.0,0.0,32.0,0.0,3.12,0.0,0.0,0.0
Ben Skowronek,HITCH,25,11.01,6.0,1.0,0.0,0.0,0.0,32.0,18.75,3.12,0.0,0.0,0.0
Ben Skowronek,IN,26,11.45,1.0,2.0,0.0,0.0,0.0,32.0,3.12,6.25,0.0,0.0,0.0
Ben Skowronek,OUT,34,14.98,2.0,0.0,0.0,0.0,0.0,32.0,6.25,0.0,0.0,0.0,0.0
Ben Skowronek,POST,14,6.17,1.0,0.0,0.0,0.0,0.0,32.0,3.12,0.0,0.0,0.0,0.0
Ben Skowronek,SCREEN,6,2.64,2.0,0.0,0.0,0.0,0.0,32.0,6.25,0.0,0.0,0.0,0.0
