gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022090800,438,1,short,SINGLEBACK,2x2,left,10,63,Zone,4-3 Defense,47.0,Cover-2,"POST, HITCH, CORNER, ANGLE, CROSS",C,Singleback Balanced Short Pass,1
2022091807,401,1,short,I_FORM,2x1,middle,10,51,Zone,Interior DL Heavy,59.0,Cover-3,"POST, HITCH, OUT",C,Short Middle Pass,1
2022091807,428,1,short,I_FORM,2x1,right,10,66,Zone,Interior DL Heavy,44.0,Cover-3,"CROSS, FLAT, CROSS, SCREEN, FLAT",C,I-Formation Screen Play,1
2022092510,181,1,short,PISTOL,2x1,right,20,65,Man,3-4 Defense,45.0,Cover-1,"FLAT, GO, FLAT, FLAT, FLAT",C,Pistol Quick Pass,1
2022092510,284,1,short,SHOTGUN,3x1,middle,4,106,Man,3-4 Defense,4.0,Cover-1,"SLANT, FLAT, SCREEN, CROSS, FLAT",C,Short Middle Pass,1
2022092510,572,1,short,SINGLEBACK,2x2,left,15,60,Man,Big Secondary and LB,50.0,Cover-1,"GO, SCREEN, GO, CROSS",C,Singleback Balanced Short Pass,1
2022092510,855,1,short,SHOTGUN,2x2,middle,10,30,Zone,3-4 Defense,80.0,Cover 6-Left,"CORNER, OUT, FLAT, IN, OUT",C,Short Middle Pass,1
2022092510,879,1,deep,I_FORM,2x1,left,10,58,Zone,3-4 Defense,52.0,Cover-3 Seam,"CROSS, OUT, SCREEN, POST, WHEEL",C,First Down Play Action Deep Pass,1
2022100300,227,1,short,I_FORM,2x1,right,10,79,Zone,5-2 Defense,31.0,Cover-3,"CROSS, FLAT, CORNER, FLAT, FLAT",C,Short Right Pass,1
2022100300,324,1,short,SHOTGUN,2x2,left,15,86,Zone,5-2 Defense,24.0,Cover-3,"POST, GO, GO, SCREEN, POST",C,Short Left Pass,1
2022100912,55,1,short,SINGLEBACK,2x2,left,10,85,Zone,5-2 Defense,75.0,Cover-3,"GO, SCREEN, ANGLE, FLAT",C,Singleback Balanced Short Pass,1
2022100912,309,1,short,SHOTGUN,2x2,left,10,56,Zone,5-2 Defense,46.0,Cover-3,"CORNER, IN, IN, OUT",I,Short Left Pass,1
2022100912,573,1,deep,SHOTGUN,2x2,middle,10,75,Zone,5-2 Defense,65.0,Cover-3,"IN, FLAT, POST, FLAT",C,Deep Middle Pass,1
2022101608,425,1,short,SHOTGUN,2x2,left,10,64,Man,Interior DL Heavy,54.0,Cover-1,"CORNER, CROSS, CROSS, FLAT, CROSS",C,Short Left Pass,1
2022103010,327,1,deep,SINGLEBACK,3x1,left,10,22,Zone,5-2 Defense,88.0,Cover-3,"HITCH, POST, FLAT",C,First Down Play Action Deep Pass,1
2022103010,351,1,short,SHOTGUN,2x2,right,10,42,Zone,5-2 Defense,68.0,Cover-3,"HITCH, CORNER, SLANT",C,Short Right Pass,1
2022103010,533,1,short,SINGLEBACK,3x1,middle,10,76,Zone,5-2 Defense,34.0,Cover-3,"HITCH, HITCH, FLAT",I,Short Middle Pass,1
2022103010,617,1,short,SHOTGUN,3x1,right,10,100,Man,5-2 Defense,10.0,Cover-1,"SLANT, GO, GO, HITCH, FLAT",C,Short Right Pass,1
2022103010,751,1,short,SINGLEBACK,2x1,left,1,109,Man,5-2 Defense,1.0,Cover-1,"GO, FLAT",I,Short Left Pass,1
2022110609,62,1,short,SHOTGUN,2x2,right,10,83,Zone,3-1-7 Quarter,73.0,Cover-3,"HITCH, FLAT, CROSS, FLAT, HITCH",I,Short Right Pass,1
