displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Austin Ekeler,ANGLE,34,18.58,9.0,1.0,0.0,0.0,0.0,60.0,15.0,1.67,0.0,0.0,0.0
Austin Ekeler,CROSS,2,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Ekeler,FLAT,90,49.18,23.0,2.0,0.0,0.0,0.0,60.0,38.33,3.33,0.0,0.0,0.0
Austin Ekeler,GO,4,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Ekeler,HITCH,1,0.55,0.0,1.0,0.0,0.0,0.0,60.0,0.0,1.67,0.0,0.0,0.0
Austin Ekeler,OUT,27,14.75,10.0,1.0,0.0,0.0,0.0,60.0,16.67,1.67,0.0,0.0,0.0
Austin Ekeler,SCREEN,16,8.74,9.0,1.0,0.0,0.0,0.0,60.0,15.0,1.67,0.0,0.0,0.0
Austin Ekeler,WHEEL,9,4.92,1.0,2.0,0.0,0.0,0.0,60.0,1.67,3.33,0.0,0.0,0.0
DeAndre Carter,CORNER,2,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeAndre Carter,CROSS,24,9.68,3.0,1.0,0.0,0.0,0.0,32.0,9.38,3.12,0.0,0.0,0.0
DeAndre Carter,FLAT,13,5.24,1.0,0.0,0.0,0.0,0.0,32.0,3.12,0.0,0.0,0.0,0.0
DeAndre Carter,GO,50,20.16,1.0,1.0,0.0,0.0,0.0,32.0,3.12,3.12,0.0,0.0,0.0
DeAndre Carter,HITCH,59,23.79,10.0,2.0,1.0,0.0,0.0,32.0,31.25,6.25,3.12,0.0,0.0
DeAndre Carter,IN,22,8.87,0.0,1.0,0.0,0.0,0.0,32.0,0.0,3.12,0.0,0.0,0.0
DeAndre Carter,OUT,27,10.89,3.0,1.0,0.0,0.0,0.0,32.0,9.38,3.12,0.0,0.0,0.0
DeAndre Carter,POST,30,12.1,2.0,2.0,0.0,0.0,0.0,32.0,6.25,6.25,0.0,0.0,0.0
DeAndre Carter,SCREEN,7,2.82,1.0,0.0,0.0,0.0,0.0,32.0,3.12,0.0,0.0,0.0,0.0
DeAndre Carter,SLANT,14,5.65,2.0,0.0,0.0,0.0,0.0,32.0,6.25,0.0,0.0,0.0,0.0
Donald Parham,CORNER,2,16.67,1.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0
Donald Parham,FLAT,1,8.33,1.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0
Donald Parham,GO,1,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donald Parham,HITCH,1,8.33,0.0,1.0,0.0,0.0,0.0,4.0,0.0,25.0,0.0,0.0,0.0
Donald Parham,IN,1,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donald Parham,OUT,3,25.0,1.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0
Donald Parham,POST,1,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donald Parham,SLANT,2,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
