gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091111,232,1,short,SINGLEBACK,3x1,left,10,84,Zone,4-3 Defense,26.0,Cover-2,"OUT, GO, CROSS",C,Short Left Pass,1
2022091111,665,1,short,SHOTGUN,2x2,right,10,50,Zone,4-3 Defense,60.0,Quarters,"IN, POST, SCREEN, FLAT, FLAT",C,Short Right Pass,1
2022091500,233,1,short,EMPTY,3x2,left,10,30,Man,5-2 Defense,80.0,Cover-1,"OUT, HITCH, FLAT, CROSS, SLANT",C,Short Left Pass,1
2022091500,281,1,deep,SHOTGUN,2x2,left,10,54,Zone,5-2 Defense,56.0,Quarters,"HITCH, HITCH, WHEEL, CORNER, CROSS",I,Spread Misdirection Play,1
2022091500,424,1,deep,SHOTGUN,2x2,right,10,89,Man,Interior DL Heavy,21.0,Cover-0,"HITCH, GO, FLAT, SLANT",I,Spread Misdirection Play,1
2022091500,627,1,short,EMPTY,3x2,right,10,52,Zone,5-2 Defense,58.0,Quarters,"HITCH, HITCH, FLAT, OUT, GO",C,Short Right Pass,1
2022092509,432,1,short,SINGLEBACK,2x2,middle,10,25,Zone,Heavy LB Defense,85.0,Cover-2,"HITCH, HITCH, ANGLE, HITCH, FLAT",C,Singleback Balanced Short Pass,1
2022100206,462,1,short,PISTOL,2x2,left,10,83,Zone,5-2 Defense,73.0,Cover-2,"HITCH, FLAT, GO",I,Pistol Quick Pass,1
2022100206,786,1,short,I_FORM,2x1,right,10,74,Zone,5-2 Defense,64.0,Cover-3,"HITCH, FLAT, HITCH, HITCH, FLAT",I,Short Right Pass,1
2022100902,208,1,short,SHOTGUN,3x1,left,10,27,Zone,Other,83.0,Quarters,"HITCH, HITCH, HITCH, FLAT, OUT",C,Short Left Pass,1
2022100902,247,1,short,SINGLEBACK,2x2,right,10,37,Zone,Other,73.0,Cover-3,"POST, GO, GO",I,Midfield Short Pass,1
2022100902,372,1,short,SINGLEBACK,2x2,right,10,74,Zone,Other,36.0,Cover-3,"HITCH, GO, ANGLE, HITCH, GO",I,Singleback Balanced Short Pass,1
2022100902,1057,1,deep,SHOTGUN,3x1,right,10,54,Zone,Other,56.0,Quarters,"IN, GO, IN, GO",C,Shotgun Isolation Deep Attack,1
2022101700,634,1,short,SINGLEBACK,3x1,left,20,91,Zone,3-4 Defense,81.0,Cover-6 Right,"GO, GO, SCREEN, GO, SCREEN",C,Short Left Pass,1
2022101700,952,1,short,I_FORM,2x1,middle,10,92,Zone,3-4 Defense,82.0,Cover 6-Left,"CROSS, ANGLE, IN, OUT, FLAT",C,Short Middle Pass,1
2022101700,1000,1,deep,SHOTGUN,3x1,right,10,81,Zone,3-4 Defense,71.0,Cover-3 Seam,"HITCH, IN, FLAT, CORNER, HITCH",C,Flood Concept (Intermediate Stretch),1
2022102309,979,1,short,SINGLEBACK,3x1,left,10,59,Zone,3-4 Defense,51.0,Cover-3,"CROSS, POST, HITCH, CROSS, FLAT",I,Short Left Pass,1
2022102309,1148,1,deep,SINGLEBACK,2x2,right,10,35,Zone,3-4 Defense,75.0,Cover-3,"CROSS, CROSS, OUT, POST, FLAT",C,First Down Play Action Deep Pass,1
2022102309,1177,1,short,SHOTGUN,2x2,right,10,57,Zone,3-4 Defense,53.0,Cover-3,"GO, HITCH, FLAT",C,Short Right Pass,1
2022110600,273,1,short,SHOTGUN,3x1,left,10,35,Zone,5-2 Defense,75.0,Cover-3,"GO, FLAT, FLAT, HITCH",C,Short Left Pass,1
2022091111,76,2,short,SINGLEBACK,2x2,right,2,43,Zone,4-3 Defense,67.0,Cover-3,"CROSS, SLANT, FLAT, FLAT, OUT",C,Midfield Short Pass,1
2022091111,142,2,short,SINGLEBACK,2x2,left,8,48,Zone,4-3 Defense,62.0,Cover-3,"OUT, IN, OUT",C,Midfield Short Pass,1
2022091111,256,2,short,SHOTGUN,2x2,right,13,81,Zone,4-3 Defense,29.0,Cover-2,"OUT, CORNER, FLAT, GO, HITCH",C,Short Right Pass,1
2022091111,694,2,short,SHOTGUN,2x2,right,7,53,Zone,4-3 Defense,57.0,Cover-2,"OUT, FLAT, GO, IN, HITCH",C,Short Right Pass,1
2022091500,257,2,short,SINGLEBACK,2x2,left,1,39,Zone,5-2 Defense,71.0,Cover-3,"HITCH, FLAT, ANGLE, HITCH",C,Midfield Short Pass,1
2022091500,369,2,short,SINGLEBACK,3x1,right,3,81,Zone,5-2 Defense,29.0,Quarters,"CORNER, CROSS, CROSS",I,Short Right Pass,1
2022091500,446,2,short,SINGLEBACK,2x2,left,10,89,Zone,Interior DL Heavy,21.0,Quarters,"CROSS, CROSS, SCREEN, CROSS",C,Singleback Balanced Short Pass,1
2022091500,741,2,deep,SINGLEBACK,2x2,left,3,70,Man,5-2 Defense,40.0,Cover-0,"FLAT, CORNER, CROSS, CROSS",C,Second-and-Short Deep Shot,1
2022092509,234,2,short,SHOTGUN,3x1,left,10,50,Zone,Heavy LB Defense,60.0,Cover-2,"IN, FLAT, HITCH, HITCH, GO",C,Short Left Pass,1
2022092509,489,2,short,SHOTGUN,2x2,middle,15,20,Zone,Heavy DE Front,90.0,Cover 6-Left,"OUT, GO, IN, FLAT, HITCH",C,Short Middle Pass,1
2022100206,155,2,short,SHOTGUN,2x2,left,11,36,Man,5-2 Defense,26.0,Cover-1,"HITCH, OUT, SCREEN, ANGLE, CROSS",C,Short Left Pass,1
2022100206,808,2,short,SHOTGUN,2x2,middle,10,74,Zone,5-2 Defense,64.0,Cover-3,"GO, CROSS, OUT, OUT, CROSS",C,Short Middle Pass,1
2022100902,343,2,short,SINGLEBACK,2x2,right,9,62,Zone,Other,48.0,Quarters,"CROSS, CROSS, FLAT, SLANT, CORNER",C,Singleback Balanced Short Pass,1
2022100902,394,2,short,SHOTGUN,2x2,left,10,74,Zone,Other,36.0,Cover-3 Seam,"HITCH, IN, GO, FLAT, OUT",C,Short Left Pass,1
2022100902,782,2,short,I_FORM,2x1,right,4,106,Zone,Other,4.0,Cover-3,"CROSS, ANGLE, HITCH, CROSS, FLAT",I,Short Right Pass,1
2022101700,111,2,short,JUMBO,3x1,right,2,47,Zone,3-4 Defense,37.0,Cover-3,"CROSS, CROSS, FLAT, FLAT, CORNER",I,Short Right Pass,1
2022101700,200,2,short,SINGLEBACK,2x2,left,11,44,Zone,3-4 Defense,34.0,Cover-3 Seam,"POST, CROSS, CROSS, ANGLE, POST",I,Midfield Short Pass,1
2022101700,658,2,short,SHOTGUN,3x1,middle,11,82,Zone,3-4 Defense,72.0,Cover 6-Left,"HITCH, CORNER, FLAT, HITCH, CORNER",I,Short Middle Pass,1
2022101700,976,2,short,SHOTGUN,2x2,left,7,89,Zone,3-4 Defense,79.0,Cover-3 Seam,"GO, GO, GO, OUT, CROSS",C,Short Left Pass,1
2022102309,182,2,short,SHOTGUN,2x2,right,8,71,Zone,3-4 Defense,39.0,Cover-6 Right,"POST, GO, IN, OUT, FLAT",C,Short Right Pass,1
2022102309,734,2,short,SHOTGUN,2x2,left,8,52,Zone,3-4 Defense,58.0,Cover-3,"CROSS, GO, CROSS, CORNER, FLAT",C,Short Left Pass,1
2022102309,955,2,short,SHOTGUN,3x1,right,9,36,Zone,3-4 Defense,74.0,Cover-6 Right,"POST, FLAT, OUT, GO, OUT",C,Short Right Pass,1
2022102309,1001,2,short,SHOTGUN,2x2,right,10,59,Zone,3-4 Defense,51.0,Cover-3 Seam,"GO, HITCH, OUT, IN, OUT",I,Short Right Pass,1
2022110600,302,2,short,SHOTGUN,2x2,left,9,36,Zone,5-2 Defense,74.0,Cover-3,"SLANT, CROSS, WHEEL, IN, CROSS",C,Short Left Pass,1
2022110600,712,2,short,SHOTGUN,3x1,right,7,38,Zone,5-2 Defense,72.0,Cover-3,"SCREEN, SCREEN, HITCH, GO, FLAT",C,Short Right Pass,1
2022091111,208,3,short,SHOTGUN,3x1,middle,8,59,Man,4-2-5 Nickel,51.0,Cover-1,"HITCH, GO, IN, OUT, HITCH",C,Short Middle Pass,1
2022091111,280,3,short,SHOTGUN,3x1,middle,9,85,Zone,4-2-5 Nickel,25.0,Cover 6-Left,"IN, HITCH, OUT, OUT, SLANT",I,Short Middle Pass,1
2022091500,324,3,short,SHOTGUN,2x2,right,2,62,Zone,5-2 Defense,48.0,Cover-2,"HITCH, POST, CORNER, ANGLE, IN",C,Short Right Pass,1
2022091500,475,3,short,SHOTGUN,3x1,right,13,86,Zone,5-2 Defense,24.0,Quarters,"HITCH, HITCH, FLAT, OUT, HITCH",C,Short Right Pass,1
2022091500,675,3,short,SHOTGUN,3x1,right,6,56,Man,5-2 Defense,54.0,Cover-1,"GO, HITCH, FLAT, HITCH, HITCH",C,Short Right Pass,1
2022092509,258,3,short,SHOTGUN,3x1,left,7,53,Man,Heavy DE Front,57.0,Cover-1,"GO, CROSS, CROSS, IN",I,Short Left Pass,1
2022100206,505,3,short,EMPTY,3x2,middle,12,85,Man,5-2 Defense,75.0,Cover-1,"FLAT, IN, HITCH, FLAT, HITCH",C,Short Middle Pass,1
2022100206,832,3,short,SHOTGUN,3x1,right,6,70,Zone,5-2 Defense,60.0,Cover-2,"HITCH, GO, OUT, SCREEN, GO",C,Short Right Pass,1
2022100902,423,3,short,SHOTGUN,2x2,right,2,82,Man,Other,28.0,Cover-1,"FLAT, SLANT, SLANT, OUT, SLANT",I,Short Right Pass,1
2022100902,831,3,short,SHOTGUN,3x1,left,9,101,Other,Other,9.0,Red Zone,"IN, CROSS, FLAT, HITCH, CROSS",I,Short Left Pass,1
2022101700,245,3,deep,EMPTY,3x2,right,16,49,Zone,3-4 Defense,39.0,Cover-6 Right,"HITCH, HITCH, FLAT, GO, FLAT",I,Third-and-Long Deep Attack,1
2022101700,680,3,short,SHOTGUN,3x1,right,11,82,Zone,3-4 Defense,72.0,Cover-6 Right,"CROSS, SLANT, CROSS, SCREEN, GO",C,Short Right Pass,1
