displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Ameer Abdullah,ANGLE,14,32.56,3.0,0.0,0.0,0.0,0.0,12.0,25.0,0.0,0.0,0.0,0.0
Ameer Abdullah,FLAT,12,27.91,4.0,0.0,0.0,0.0,0.0,12.0,33.33,0.0,0.0,0.0,0.0
Ameer Abdullah,GO,3,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ameer Abdullah,HITCH,1,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ameer Abdullah,OUT,4,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ameer Abdullah,SCREEN,2,4.65,1.0,1.0,0.0,0.0,0.0,12.0,8.33,8.33,0.0,0.0,0.0
Ameer Abdullah,SLANT,2,4.65,0.0,1.0,0.0,0.0,0.0,12.0,0.0,8.33,0.0,0.0,0.0
Ameer Abdullah,WHEEL,5,11.63,0.0,2.0,0.0,0.0,0.0,12.0,0.0,16.67,0.0,0.0,0.0
Brandon Bolden,ANGLE,18,43.9,1.0,0.0,0.0,0.0,0.0,8.0,12.5,0.0,0.0,0.0,0.0
Brandon Bolden,FLAT,8,19.51,2.0,0.0,0.0,0.0,0.0,8.0,25.0,0.0,0.0,0.0,0.0
Brandon Bolden,GO,1,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Bolden,HITCH,1,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Bolden,OUT,9,21.95,3.0,0.0,0.0,0.0,0.0,8.0,37.5,0.0,0.0,0.0,0.0
Brandon Bolden,SCREEN,3,7.32,1.0,0.0,0.0,0.0,0.0,8.0,12.5,0.0,0.0,0.0,0.0
Brandon Bolden,WHEEL,1,2.44,1.0,0.0,0.0,0.0,0.0,8.0,12.5,0.0,0.0,0.0,0.0
D.J. Turner,CROSS,2,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D.J. Turner,GO,1,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darren Waller,CORNER,9,6.72,0.0,2.0,0.0,0.0,0.0,24.0,0.0,8.33,0.0,0.0,0.0
Darren Waller,CROSS,23,17.16,1.0,1.0,1.0,0.0,0.0,24.0,4.17,4.17,4.17,0.0,0.0
Darren Waller,FLAT,9,6.72,1.0,0.0,0.0,0.0,0.0,24.0,4.17,0.0,0.0,0.0,0.0
Darren Waller,GO,21,15.67,1.0,0.0,1.0,0.0,0.0,24.0,4.17,0.0,4.17,0.0,0.0
Darren Waller,HITCH,26,19.4,4.0,0.0,0.0,0.0,0.0,24.0,16.67,0.0,0.0,0.0,0.0
Darren Waller,IN,6,4.48,3.0,0.0,0.0,0.0,0.0,24.0,12.5,0.0,0.0,0.0,0.0
Darren Waller,OUT,18,13.43,3.0,1.0,0.0,0.0,0.0,24.0,12.5,4.17,0.0,0.0,0.0
Darren Waller,POST,16,11.94,2.0,2.0,0.0,0.0,0.0,24.0,8.33,8.33,0.0,0.0,0.0
Darren Waller,SCREEN,3,2.24,1.0,0.0,0.0,0.0,0.0,24.0,4.17,0.0,0.0,0.0,0.0
Darren Waller,SLANT,2,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darren Waller,WHEEL,1,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davante Adams,CORNER,14,4.96,0.0,3.0,1.0,0.0,0.0,84.0,0.0,3.57,1.19,0.0,0.0
Davante Adams,CROSS,15,5.32,5.0,0.0,0.0,0.0,0.0,84.0,5.95,0.0,0.0,0.0,0.0
Davante Adams,FLAT,4,1.42,2.0,0.0,0.0,0.0,0.0,84.0,2.38,0.0,0.0,0.0,0.0
Davante Adams,GO,78,27.66,5.0,14.0,0.0,0.0,0.0,84.0,5.95,16.67,0.0,0.0,0.0
