gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091111,336,1,short,EMPTY,3x2,right,10,85,Zone,5-2 Defense,75.0,Cover-3 Seam,"HITCH, HITCH, GO, GO, OUT",C,Short Right Pass,1
2022091111,770,1,short,SHOTGUN,2x2,right,10,108,Zone,5-2 Defense,98.0,Quarters,"OUT, SLANT, OUT, FLAT",C,Short Right Pass,1
2022091811,281,1,short,SINGLEBACK,2x2,right,15,78,Zone,3-4 Defense,32.0,Cover 6-Left,"SLANT, POST, SCREEN, GO",C,Singleback Balanced Short Pass,1
2022091811,713,1,deep,I_FORM,2x1,left,5,35,Zone,3-4 Defense,75.0,Cover-3,"HITCH, IN, OUT, FLAT",C,First Down Play Action Deep Pass,1
2022092507,423,1,short,SHOTGUN,3x1,middle,10,85,Zone,5-2 Defense,75.0,Cover-2,"HITCH, POST, GO, ANGLE, GO",C,Short Middle Pass,1
2022100212,155,1,short,I_FORM,1x1,right,10,40,Zone,3-4 Defense,30.0,Cover-3,"CROSS, OUT, OUT, ANGLE",I,Short Right Pass,1
2022100212,224,1,short,SINGLEBACK,3x1,middle,10,23,Zone,3-4 Defense,13.0,Cover-6 Right,"GO, OUT, GO, FLAT",C,Short Middle Pass,1
2022100212,666,1,short,SHOTGUN,2x2,right,10,85,Zone,3-4 Defense,75.0,Quarters,"HITCH, CORNER, IN, POST, FLAT",C,Short Right Pass,1
2022102308,209,1,short,I_FORM,2x1,middle,10,59,Zone,5-2 Defense,49.0,Cover-3,"POST, HITCH, OUT",C,Short Middle Pass,1
2022103006,325,1,short,I_FORM,1x1,middle,10,42,Zone,4-3 Defense,68.0,Cover-3,"POST, OUT, CROSS",I,Short Middle Pass,1
2022103006,817,1,short,EMPTY,3x2,right,10,35,Zone,Big Nickel,75.0,Quarters,"IN, GO, SLANT, FLAT, OUT",C,Short Right Pass,1
2022103006,850,1,short,SINGLEBACK,2x2,right,10,47,Zone,Big Nickel,63.0,Cover-3 Seam,"SLANT, OUT, ANGLE, OUT, FLAT",C,Midfield Short Pass,1
2022110604,56,1,deep,SHOTGUN,2x2,right,10,85,Zone,Heavy LB Defense,75.0,Cover-3,"OUT, IN, GO, FLAT, GO",I,Flood Concept (Intermediate Stretch),1
2022110604,442,1,deep,SHOTGUN,3x1,middle,20,79,Zone,Heavy LB Defense,69.0,Cover-3,"IN, POST, ANGLE, FLAT, CROSS",C,Deep Middle Pass,1
2022110604,498,1,deep,SHOTGUN,3x1,left,20,68,Zone,5-2 Defense,58.0,Quarters,"SCREEN, GO, POST",I,Shotgun Isolation Deep Attack,1
2022110604,788,1,short,SHOTGUN,2x2,left,10,65,Zone,Heavy LB Defense,55.0,Cover-2,"HITCH, ANGLE, GO, OUT, GO",C,Short Left Pass,1
2022091111,379,2,deep,SHOTGUN,2x2,left,17,81,Zone,4-2-5 Nickel,71.0,Cover-2,"GO, IN, GO",I,General Strategy,1
