displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Alec Ingold,ANGLE,6,7.5,1.0,0.0,0.0,0.0,0.0,8.0,12.5,0.0,0.0,0.0,0.0
Alec Ingold,CORNER,1,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Ingold,CROSS,18,22.5,1.0,0.0,0.0,0.0,0.0,8.0,12.5,0.0,0.0,0.0,0.0
Alec Ingold,FLAT,20,25.0,3.0,0.0,0.0,0.0,0.0,8.0,37.5,0.0,0.0,0.0,0.0
Alec Ingold,GO,13,16.25,0.0,1.0,0.0,0.0,0.0,8.0,0.0,12.5,0.0,0.0,0.0
Alec Ingold,HITCH,7,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Ingold,IN,1,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Ingold,OUT,8,10.0,1.0,0.0,0.0,0.0,0.0,8.0,12.5,0.0,0.0,0.0,0.0
Alec Ingold,SCREEN,3,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Ingold,SLANT,1,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Ingold,WHEEL,2,2.5,0.0,1.0,0.0,0.0,0.0,8.0,0.0,12.5,0.0,0.0,0.0
Braylon Sanders,CROSS,2,33.33,1.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0
Braylon Sanders,GO,3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braylon Sanders,SLANT,1,16.67,1.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0
Cedrick Wilson,CORNER,5,6.58,0.0,1.0,0.0,0.0,0.0,9.0,0.0,11.11,0.0,0.0,0.0
Cedrick Wilson,CROSS,8,10.53,1.0,0.0,0.0,0.0,0.0,9.0,11.11,0.0,0.0,0.0,0.0
Cedrick Wilson,FLAT,2,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cedrick Wilson,GO,19,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cedrick Wilson,HITCH,15,19.74,2.0,0.0,0.0,0.0,0.0,9.0,22.22,0.0,0.0,0.0,0.0
Cedrick Wilson,IN,7,9.21,0.0,1.0,0.0,0.0,0.0,9.0,0.0,11.11,0.0,0.0,0.0
Cedrick Wilson,OUT,6,7.89,2.0,0.0,0.0,0.0,0.0,9.0,22.22,0.0,0.0,0.0,0.0
Cedrick Wilson,POST,7,9.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cedrick Wilson,SCREEN,3,3.95,1.0,0.0,0.0,0.0,0.0,9.0,11.11,0.0,0.0,0.0,0.0
Cedrick Wilson,SLANT,4,5.26,0.0,1.0,0.0,0.0,0.0,9.0,0.0,11.11,0.0,0.0,0.0
