gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091106,442,1,deep,I_FORM,2x1,left,10,55,Man,5-2 Defense,45.0,Cover-1,"OUT, OUT, OUT",C,First Down Play Action Deep Pass,1
2022091800,141,1,short,SHOTGUN,2x2,middle,10,72,Zone,3-4 Defense,62.0,Cover-3,"FLAT, CROSS, GO, HITCH, GO",C,Short Middle Pass,1
2022092503,413,1,deep,EMPTY,3x2,right,15,93,Zone,4-3 Defense,83.0,Cover 6-Left,"POST, HITCH, SCREEN, GO, HITCH",I,Spread Deep Attack from Empty 3x2 Alignment,1
2022092503,671,1,short,SHOTGUN,3x1,left,6,16,Other,4-3 Defense,6.0,Red Zone,"POST, ANGLE, FLAT, HITCH",C,Short Left Pass,1
2022092900,383,1,short,SHOTGUN,2x2,middle,10,68,Zone,3-4 Defense,42.0,Cover-3,"OUT, FLAT, GO, GO, POST",C,Short Middle Pass,1
2022092900,407,1,short,SHOTGUN,3x1,right,10,88,Zone,3-4 Defense,22.0,Quarters,"OUT, FLAT, HITCH, GO, IN",I,Short Right Pass,1
2022092900,764,1,short,SHOTGUN,2x2,right,16,17,Zone,3-4 Defense,93.0,Cover-2,"WHEEL, CROSS, POST, OUT, GO",C,Short Right Pass,1
2022100907,172,1,short,SINGLEBACK,2x2,middle,10,102,Zone,3-4 Defense,92.0,Cover-3 Cloud Left,"FLAT, POST, GO, POST",I,Singleback Balanced Short Pass,1
2022100907,393,1,short,SINGLEBACK,2x2,left,11,108,Zone,3-4 Defense,98.0,Cover-3,"FLAT, CORNER, CROSS, CROSS",C,Singleback Balanced Short Pass,1
2022100907,471,1,short,SHOTGUN,2x2,left,10,64,Zone,Interior DL Heavy,54.0,Cover 6-Left,"SCREEN, IN, OUT, HITCH, HITCH",I,Short Left Pass,1
2022101604,157,1,short,SHOTGUN,2x1,middle,10,35,Zone,5-2 Defense,75.0,Cover-6 Right,"FLAT, IN, HITCH, ANGLE, OUT",C,Short Middle Pass,1
2022101604,273,1,short,EMPTY,3x2,left,10,57,Zone,3-4 Defense,53.0,Cover-3,"FLAT, HITCH, POST, FLAT, IN",I,Short Left Pass,1
2022101604,494,1,deep,SHOTGUN,2x1,right,10,28,Zone,5-2 Defense,82.0,Cover-6 Right,"FLAT, POST, OUT, CROSS, POST",C,Scoring Zone Deep Pass,1
2022101604,549,1,short,EMPTY,4x1,middle,10,74,Zone,5-2 Defense,36.0,Cover-2,"SCREEN, HITCH, CORNER, HITCH, POST",C,Short Middle Pass,1
2022101604,699,1,short,EMPTY,3x2,middle,30,66,Zone,3-4 Defense,44.0,Cover-3,"IN, SLANT, POST, GO, POST",C,Short Middle Pass,1
2022102311,87,1,short,SHOTGUN,2x2,left,15,34,Zone,5-2 Defense,76.0,Cover-3,"FLAT, CROSS, SLANT, SCREEN",C,Short Left Pass,1
2022102311,135,1,short,EMPTY,3x2,middle,10,50,Zone,Heavy LB Defense,60.0,Cover-3,"SLANT, POST, CROSS, OUT, GO",C,Short Middle Pass,1
2022102311,159,1,short,SINGLEBACK,2x2,middle,10,67,Zone,5-2 Defense,43.0,Cover-3,"FLAT, SLANT, CROSS",C,Singleback Balanced Short Pass,1
2022102311,204,1,short,SHOTGUN,2x2,middle,10,77,Zone,3-4 Defense,33.0,Cover-2,"CROSS, GO, SLANT, FLAT, GO",C,Short Middle Pass,1
