passer_player_name,receiver_player_name,pass_location,passResult,pass_count,C,I,IN,total_passes,C %,I %,S %,IN %,R %,right %,left %,middle %,C right %,C left %,C middle %,I right %,I left %,I middle %,S right %,S left %,S middle %,IN right %,IN left %,IN middle %,R right %,R left %,R middle %
J.Jefferson,D.Cook,right,C,1,1,0,0,1,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K.Cousins,A.Mattison,left,C,6,9,2,0,11,81.82,18.18,0.0,0.0,0.0,0.0,54.55,0.0,0.0,54.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K.Cousins,A.Mattison,middle,C,1,9,2,0,11,81.82,18.18,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K.Cousins,A.Mattison,right,C,2,9,2,0,11,81.82,18.18,0.0,0.0,0.0,18.18,0.0,0.0,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K.Cousins,A.Mattison,right,I,2,9,2,0,11,81.82,18.18,0.0,0.0,0.0,18.18,0.0,0.0,0.0,0.0,0.0,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K.Cousins,A.Thielen,left,C,13,37,16,2,55,67.27,29.09,0.0,3.64,0.0,0.0,23.64,0.0,0.0,23.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K.Cousins,A.Thielen,left,I,5,37,16,2,55,67.27,29.09,0.0,3.64,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K.Cousins,A.Thielen,left,IN,1,37,16,2,55,67.27,29.09,0.0,3.64,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0
K.Cousins,A.Thielen,middle,C,9,37,16,2,55,67.27,29.09,0.0,3.64,0.0,0.0,0.0,16.36,0.0,0.0,16.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K.Cousins,A.Thielen,middle,I,2,37,16,2,55,67.27,29.09,0.0,3.64,0.0,0.0,0.0,3.64,0.0,0.0,0.0,0.0,0.0,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
