displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Adam Thielen,CORNER,23,7.85,1.0,2.0,0.0,0.0,0.0,55.0,1.82,3.64,0.0,0.0,0.0
Adam Thielen,CROSS,39,13.31,8.0,1.0,1.0,0.0,0.0,55.0,14.55,1.82,1.82,0.0,0.0
Adam Thielen,FLAT,7,2.39,1.0,1.0,0.0,0.0,0.0,55.0,1.82,1.82,0.0,0.0,0.0
Adam Thielen,GO,54,18.43,0.0,3.0,0.0,0.0,0.0,55.0,0.0,5.45,0.0,0.0,0.0
Adam Thielen,HITCH,52,17.75,10.0,3.0,0.0,0.0,0.0,55.0,18.18,5.45,0.0,0.0,0.0
Adam Thielen,IN,51,17.41,7.0,2.0,0.0,0.0,0.0,55.0,12.73,3.64,0.0,0.0,0.0
Adam Thielen,OUT,40,13.65,9.0,2.0,1.0,0.0,0.0,55.0,16.36,3.64,1.82,0.0,0.0
Adam Thielen,POST,18,6.14,1.0,0.0,0.0,0.0,0.0,55.0,1.82,0.0,0.0,0.0,0.0
Adam Thielen,SCREEN,2,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Thielen,SLANT,7,2.39,0.0,2.0,0.0,0.0,0.0,55.0,0.0,3.64,0.0,0.0,0.0
Alexander Mattison,ANGLE,13,16.88,1.0,0.0,0.0,0.0,0.0,11.0,9.09,0.0,0.0,0.0,0.0
Alexander Mattison,CROSS,1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Mattison,FLAT,35,45.45,2.0,1.0,0.0,0.0,0.0,11.0,18.18,9.09,0.0,0.0,0.0
Alexander Mattison,GO,3,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Mattison,HITCH,2,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Mattison,IN,2,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Mattison,OUT,9,11.69,1.0,1.0,0.0,0.0,0.0,11.0,9.09,9.09,0.0,0.0,0.0
Alexander Mattison,SCREEN,10,12.99,4.0,0.0,0.0,0.0,0.0,11.0,36.36,0.0,0.0,0.0,0.0
Alexander Mattison,SLANT,1,1.3,1.0,0.0,0.0,0.0,0.0,11.0,9.09,0.0,0.0,0.0,0.0
Alexander Mattison,WHEEL,1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Ellefson,CROSS,5,83.33,3.0,0.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0
Ben Ellefson,HITCH,1,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Ham,ANGLE,5,18.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Ham,CROSS,1,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Ham,FLAT,9,33.33,1.0,1.0,0.0,0.0,0.0,5.0,20.0,20.0,0.0,0.0,0.0
C.J. Ham,HITCH,1,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Ham,IN,1,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Ham,OUT,5,18.52,1.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0
