gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091112,62,1,short,SINGLEBACK,2x2,left,10,32,Zone,3-4 Defense,78.0,Cover-3,"FLAT, ANGLE, FLAT, CROSS, CROSS",C,Midfield Short Pass,1
2022091112,157,1,short,SINGLEBACK,2x2,middle,10,69,Zone,3-4 Defense,41.0,Quarters,"CORNER, OUT, SLANT, OUT",C,Singleback Balanced Short Pass,1
2022091112,205,1,short,SHOTGUN,2x2,right,10,96,Man,3-4 Defense,14.0,Cover-1,"IN, WHEEL, CROSS, FLAT, POST",I,Short Right Pass,1
2022092504,265,1,short,I_FORM,2x1,left,10,60,Zone,5-2 Defense,50.0,Cover-6 Right,"HITCH, FLAT, FLAT, GO, CROSS",C,Short Left Pass,1
2022092504,289,1,short,I_FORM,2x1,middle,10,48,Zone,5-2 Defense,38.0,Cover-2,"HITCH, OUT, FLAT, IN",I,Short Middle Pass,1
2022100200,54,1,short,SINGLEBACK,2x2,left,10,35,Zone,Big Nickel,75.0,Quarters,"GO, ANGLE, SCREEN, HITCH",C,Midfield Short Pass,1
2022100200,150,1,short,I_FORM,2x1,left,10,58,Zone,4-3 Defense,52.0,Cover-3 Seam,"OUT, ANGLE, HITCH, CROSS",C,Short Left Pass,1
2022100200,735,1,short,I_FORM,2x1,left,10,54,Zone,4-3 Defense,56.0,Cover-2,"CROSS, OUT, GO",C,Short Left Pass,1
2022100200,780,1,short,I_FORM,2x1,left,10,69,Zone,4-3 Defense,41.0,Cover-3,"WHEEL, SCREEN, GO, GO",C,I-Formation Screen Play,1
2022100904,113,1,short,I_FORM,2x1,right,10,76,Zone,3-4 Defense,66.0,Cover-2,"OUT, ANGLE, SCREEN, FLAT, CROSS",C,I-Formation Screen Play,1
2022100904,277,1,short,SINGLEBACK,2x2,middle,10,23,Zone,3-4 Defense,13.0,Cover-2,"HITCH, FLAT, OUT, POST",C,Singleback Balanced Short Pass,1
2022100904,617,1,short,SINGLEBACK,2x2,right,10,85,Zone,3-1-7 Quarter,75.0,Cover-3,"CROSS, CORNER, CROSS",C,Singleback Balanced Short Pass,1
2022100904,667,1,short,SINGLEBACK,2x2,left,10,73,Zone,3-1-7 Quarter,63.0,Cover-2,"CROSS, FLAT, CORNER",C,Singleback Balanced Short Pass,1
2022100904,831,1,short,SINGLEBACK,3x1,left,10,30,Zone,3-4 Defense,20.0,Cover-2,"CROSS, POST, ANGLE, HITCH, CORNER",C,Short Left Pass,1
2022101604,56,1,short,SINGLEBACK,2x2,left,10,85,Zone,3-4 Defense,75.0,Cover-3,"CROSS, FLAT, CORNER, CROSS, CROSS",C,Singleback Balanced Short Pass,1
2022103005,184,1,short,I_FORM,2x1,left,10,59,Zone,5-2 Defense,51.0,Cover-2,"FLAT, CROSS, GO",I,Short Left Pass,1
2022103005,559,1,short,SINGLEBACK,2x2,left,10,35,Zone,3-4 Defense,75.0,Quarters,"ANGLE, SCREEN, HITCH",C,Midfield Short Pass,1
2022103005,685,1,short,SHOTGUN,3x1,left,10,64,Zone,4-3 Defense,46.0,Cover-3,"SCREEN, IN, ANGLE, GO, SCREEN",C,Short Left Pass,1
2022110607,203,1,short,I_FORM,2x1,middle,10,82,Zone,4-2-5 Nickel,28.0,Cover-3,"HITCH, OUT, POST",C,Short Middle Pass,1
2022110607,649,1,short,EMPTY,3x2,left,10,30,Zone,4-2-5 Nickel,80.0,Quarters,"POST, FLAT, FLAT, SCREEN, GO",C,Short Left Pass,1
2022091112,181,2,short,EMPTY,3x2,right,5,74,Zone,3-4 Defense,36.0,Quarters,"GO, GO, POST, OUT, HITCH",C,Short Right Pass,1
2022091112,227,2,short,SHOTGUN,2x2,right,10,96,Zone,3-4 Defense,14.0,Cover 6-Left,"POST, FLAT, IN, GO, CROSS",C,Short Right Pass,1
2022091112,484,2,short,SINGLEBACK,2x2,left,10,25,Zone,Heavy DE Front,85.0,Quarters,"GO, ANGLE, HITCH, CROSS",C,Singleback Balanced Short Pass,1
2022091112,736,2,short,EMPTY,3x2,right,4,31,Zone,3-4 Defense,79.0,Cover-3,"GO, SCREEN, CROSS, GO",C,Short Right Pass,1
2022091901,696,2,short,I_FORM,2x1,right,7,68,Zone,5-2 Defense,58.0,Quarters,"CROSS, WHEEL, OUT, FLAT, CROSS",C,Short Right Pass,1
2022092504,311,2,short,SHOTGUN,3x1,left,10,48,Man,5-2 Defense,38.0,Cover-1,"HITCH, GO, HITCH, HITCH",I,Short Left Pass,1
2022092504,620,2,short,EMPTY,3x2,middle,10,80,Man,5-2 Defense,70.0,Cover-1 Double,"HITCH, GO, SLANT, SLANT, HITCH",C,Short Middle Pass,1
