displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Damien Harris,ANGLE,14,28.57,3.0,1.0,0.0,0.0,0.0,14.0,21.43,7.14,0.0,0.0,0.0
Damien Harris,FLAT,26,53.06,7.0,2.0,0.0,0.0,0.0,14.0,50.0,14.29,0.0,0.0,0.0
Damien Harris,GO,1,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damien Harris,OUT,5,10.2,1.0,0.0,0.0,0.0,0.0,14.0,7.14,0.0,0.0,0.0,0.0
Damien Harris,POST,1,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damien Harris,SCREEN,1,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damien Harris,WHEEL,1,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeVante Parker,CORNER,17,9.34,1.0,3.0,0.0,0.0,0.0,28.0,3.57,10.71,0.0,0.0,0.0
DeVante Parker,CROSS,13,7.14,4.0,0.0,0.0,0.0,0.0,28.0,14.29,0.0,0.0,0.0,0.0
DeVante Parker,FLAT,2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeVante Parker,GO,60,32.97,4.0,3.0,3.0,0.0,0.0,28.0,14.29,10.71,10.71,0.0,0.0
DeVante Parker,HITCH,12,6.59,1.0,0.0,1.0,0.0,0.0,28.0,3.57,0.0,3.57,0.0,0.0
DeVante Parker,IN,24,13.19,0.0,1.0,0.0,0.0,0.0,28.0,0.0,3.57,0.0,0.0,0.0
DeVante Parker,OUT,9,4.95,1.0,0.0,0.0,0.0,0.0,28.0,3.57,0.0,0.0,0.0,0.0
DeVante Parker,POST,27,14.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeVante Parker,SCREEN,1,0.55,1.0,0.0,0.0,0.0,0.0,28.0,3.57,0.0,0.0,0.0,0.0
DeVante Parker,SLANT,17,9.34,3.0,2.0,0.0,0.0,0.0,28.0,10.71,7.14,0.0,0.0,0.0
Hunter Henry,CORNER,12,6.45,2.0,0.0,0.0,0.0,0.0,28.0,7.14,0.0,0.0,0.0,0.0
Hunter Henry,CROSS,16,8.6,0.0,2.0,0.0,0.0,0.0,28.0,0.0,7.14,0.0,0.0,0.0
