gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091106,59,1,short,SHOTGUN,2x2,right,10,35,Zone,3-4 Defense,75.0,Cover-3,"OUT, HITCH, CROSS, FLAT, OUT",C,Short Right Pass,1
2022091106,196,1,short,SHOTGUN,2x2,left,10,77,Zone,5-2 Defense,33.0,Cover-3,"GO, OUT, FLAT, OUT, IN",C,Short Left Pass,1
2022091106,236,1,deep,SHOTGUN,2x2,right,10,88,Man,5-2 Defense,22.0,Cover-1,"GO, IN, CROSS, FLAT, GO",IN,Spread Misdirection Play,1
2022091106,633,1,short,SHOTGUN,2x2,left,10,54,Zone,3-4 Defense,56.0,Cover-3,"GO, SLANT, CROSS, SLANT, FLAT",C,Short Left Pass,1
2022091806,182,1,short,SHOTGUN,3x1,right,10,30,Zone,3-1-7 Quarter,80.0,Cover-6 Right,"CORNER, GO, ANGLE, IN, HITCH",I,Short Right Pass,1
2022091806,322,1,short,SHOTGUN,3x1,middle,10,63,Man,3-4 Defense,47.0,Cover-1,"IN, CROSS, OUT, IN",C,Short Middle Pass,1
2022091806,784,1,short,I_FORM,2x1,middle,10,49,Man,3-1-7 Quarter,61.0,Cover-1,"POST, ANGLE, CROSS, CROSS, ANGLE",I,Short Middle Pass,1
2022092505,164,1,short,SHOTGUN,3x1,middle,10,99,Man,3-4 Defense,89.0,Cover-1,"CROSS, GO, HITCH, POST, FLAT",C,Short Middle Pass,1
2022092505,678,1,deep,SINGLEBACK,2x2,right,10,70,Man,5-2 Defense,60.0,Cover-1,"CROSS, POST, CROSS",C,First Down Play Action Deep Pass,1
2022101601,753,1,short,SHOTGUN,3x1,right,10,32,Zone,Other,78.0,Cover-3,"SLANT, OUT, FLAT, GO",C,Short Right Pass,1
2022101601,832,1,short,SHOTGUN,2x1,left,25,31,Zone,Other,79.0,Cover 6-Left,"POST, OUT, POST",C,Short Left Pass,1
2022102400,759,1,deep,SHOTGUN,2x2,left,10,33,Man,3-4 Defense,77.0,Cover-1,"POST, OUT, CROSS, GO",I,Midfield Deep Shotgun Attack,1
2022103007,157,1,short,SHOTGUN,3x1,left,10,65,Zone,3-4 Defense,45.0,Cover-2,"SLANT, HITCH, HITCH, FLAT, OUT",I,Short Left Pass,1
2022103007,700,1,short,SHOTGUN,3x1,left,10,77,Zone,5-2 Defense,33.0,Cover-6 Right,"SCREEN, HITCH, OUT, FLAT, SCREEN",C,Short Left Pass,1
2022110605,714,1,short,SINGLEBACK,2x2,right,10,37,Man,Big Nickel,73.0,Cover-1,"FLAT, GO, CROSS, POST",C,Midfield Short Pass,1
2022091106,130,2,short,SHOTGUN,2x2,middle,7,59,Zone,3-4 Defense,51.0,Quarters,"GO, SLANT, ANGLE, OUT",C,Short Middle Pass,1
2022091106,657,2,short,SHOTGUN,3x1,left,13,51,Zone,3-4 Defense,59.0,Cover-3,"CORNER, ANGLE, CROSS, HITCH, IN",C,Short Left Pass,1
2022091806,274,2,short,SHOTGUN,2x2,middle,6,45,Man,5-2 Defense,65.0,Cover-1,"IN, GO, OUT, CROSS",C,Short Middle Pass,1
2022091806,409,2,short,SHOTGUN,2x2,left,8,95,Man,3-4 Defense,15.0,Cover-1,"IN, GO, OUT, SLANT",I,Short Left Pass,1
2022092505,249,2,short,SHOTGUN,3x1,left,12,70,Zone,3-1-7 Quarter,60.0,Cover-3,"SLANT, CROSS, FLAT, HITCH",C,Short Left Pass,1
2022100211,79,2,short,SHOTGUN,3x1,right,5,40,Zone,Heavy DE Front,70.0,Cover-3,"GO, SLANT, SCREEN, FLAT, OUT",C,Short Right Pass,1
2022100211,171,2,deep,SINGLEBACK,3x1,left,4,64,Zone,3-4 Defense,46.0,Cover-3,"POST, CORNER",C,Play Action Deep Pass,1
2022100211,228,2,short,SINGLEBACK,3x1,left,9,92,Zone,3-4 Defense,18.0,Cover-3,"SCREEN, SLANT, IN, FLAT",C,Short Left Pass,1
2022100211,398,2,short,SHOTGUN,3x1,middle,7,64,Zone,Heavy DE Front,46.0,Cover-3,"POST, GO, CORNER, OUT, ANGLE",C,Short Middle Pass,1
2022100211,466,2,short,SHOTGUN,3x1,right,8,75,Zone,3-4 Defense,35.0,Cover-3,"GO, FLAT, SLANT, FLAT, OUT",C,Short Right Pass,1
