displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Adam Prentice,FLAT,6,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Prentice,GO,1,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Prentice,HITCH,1,11.11,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Adam Prentice,OUT,1,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Trautman,CORNER,2,3.45,1.0,0.0,0.0,0.0,0.0,9.0,11.11,0.0,0.0,0.0,0.0
Adam Trautman,CROSS,7,12.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Trautman,FLAT,13,22.41,5.0,0.0,0.0,0.0,0.0,9.0,55.56,0.0,0.0,0.0,0.0
Adam Trautman,GO,4,6.9,1.0,0.0,0.0,0.0,0.0,9.0,11.11,0.0,0.0,0.0,0.0
Adam Trautman,HITCH,9,15.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Trautman,IN,9,15.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Trautman,OUT,6,10.34,1.0,0.0,0.0,0.0,0.0,9.0,11.11,0.0,0.0,0.0,0.0
Adam Trautman,POST,4,6.9,0.0,1.0,0.0,0.0,0.0,9.0,0.0,11.11,0.0,0.0,0.0
Adam Trautman,SCREEN,3,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Trautman,SLANT,1,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alvin Kamara,ANGLE,44,29.53,11.0,3.0,0.0,0.0,0.0,47.0,23.4,6.38,0.0,0.0,0.0
Alvin Kamara,FLAT,60,40.27,13.0,3.0,0.0,0.0,0.0,47.0,27.66,6.38,0.0,0.0,0.0
Alvin Kamara,GO,3,2.01,0.0,1.0,0.0,0.0,0.0,47.0,0.0,2.13,0.0,0.0,0.0
Alvin Kamara,HITCH,1,0.67,0.0,1.0,0.0,0.0,0.0,47.0,0.0,2.13,0.0,0.0,0.0
Alvin Kamara,OUT,27,18.12,6.0,2.0,0.0,0.0,0.0,47.0,12.77,4.26,0.0,0.0,0.0
Alvin Kamara,SCREEN,12,8.05,4.0,2.0,0.0,0.0,0.0,47.0,8.51,4.26,0.0,0.0,0.0
