gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091100,572,1,short,SHOTGUN,3x1,right,10,21,Man,Interior DL Heavy,11.0,Cover-1,"IN, POST, FLAT, CORNER, CROSS",I,Short Right Pass,1
2022091100,719,1,short,I_FORM,2x1,right,10,53,Zone,5-2 Defense,43.0,Cover-3,"ANGLE, SLANT, CORNER, FLAT",I,Short Right Pass,1
2022091100,783,1,short,SHOTGUN,3x1,left,10,40,Man,Interior DL Heavy,30.0,Cover-1,"OUT, ANGLE, CROSS, GO, GO",C,Short Left Pass,1
2022091804,56,1,short,SHOTGUN,3x1,left,10,85,Zone,3-4 Defense,75.0,Cover-3,"FLAT, SLANT, HITCH, HITCH, GO",C,Short Left Pass,1
2022091804,140,1,short,SINGLEBACK,2x2,right,10,63,Zone,3-4 Defense,53.0,Cover-2,"IN, HITCH, FLAT, CROSS, FLAT",C,Singleback Balanced Short Pass,1
2022091804,252,1,short,I_FORM,2x1,right,10,27,Man,3-4 Defense,17.0,Cover-1,"FLAT, GO, IN, FLAT, IN",C,Short Right Pass,1
2022092500,220,1,short,SINGLEBACK,3x1,right,10,67,Zone,Heavy LB Defense,57.0,Cover-3,"FLAT, HITCH, HITCH, OUT, FLAT",I,Short Right Pass,1
2022092500,287,1,short,I_FORM,2x1,middle,10,51,Zone,3-1-7 Quarter,41.0,Cover-3,"IN, IN, HITCH",C,Short Middle Pass,1
2022092500,666,1,short,SINGLEBACK,2x2,right,10,85,Zone,3-1-7 Quarter,75.0,Cover-3,"FLAT, IN, HITCH, CROSS, OUT",I,Singleback Balanced Short Pass,1
2022100200,512,1,short,SHOTGUN,2x1,left,10,85,Zone,5-2 Defense,75.0,Cover-3,"FLAT, FLAT, HITCH, HITCH, HITCH",C,Short Left Pass,1
2022100906,107,1,short,SINGLEBACK,2x2,right,10,76,Zone,3-1-7 Quarter,66.0,Cover-3,"ANGLE, FLAT, FLAT, HITCH, HITCH",C,Singleback Balanced Short Pass,1
2022100906,493,1,deep,SINGLEBACK,2x2,right,10,99,Zone,3-4 Defense,89.0,Cover-3,"HITCH, FLAT, FLAT, HITCH",C,First Down Play Action Deep Pass,1
2022101605,302,1,short,SHOTGUN,3x1,middle,10,28,Man,3-4 Defense,18.0,Cover-1,"ANGLE, GO, CROSS, CORNER, GO",C,Short Middle Pass,1
2022101605,538,1,short,SINGLEBACK,3x1,left,10,80,Zone,3-4 Defense,70.0,Cover-3,"SCREEN, CROSS, HITCH, POST",I,Short Left Pass,1
2022101605,1020,1,short,SINGLEBACK,3x1,right,10,85,Zone,3-4 Defense,75.0,Cover-3,"ANGLE, GO, CROSS, FLAT, CORNER",C,Short Right Pass,1
2022102000,56,1,short,SHOTGUN,2x2,middle,10,85,Zone,3-4 Defense,75.0,Cover-3,"CORNER, SLANT, OUT, HITCH",C,Short Middle Pass,1
2022102000,519,1,short,SHOTGUN,2x2,left,15,65,Zone,3-4 Defense,55.0,Quarters,"FLAT, GO, HITCH, OUT, HITCH",C,Short Left Pass,1
2022103006,152,1,short,SHOTGUN,2x2,left,10,77,Zone,4-3 Defense,67.0,Quarters,"ANGLE, OUT, OUT, OUT, OUT",C,Short Left Pass,1
2022103006,557,1,short,EMPTY,3x2,left,10,79,Man,4-3 Defense,69.0,Cover-0,"GO, FLAT, OUT, IN, HITCH",C,Short Left Pass,1
2022103006,614,1,deep,SINGLEBACK,3x1,left,10,64,Zone,4-3 Defense,54.0,Quarters,"ANGLE, CROSS, GO, CORNER",C,First Down Play Action Deep Pass,1
2022103006,642,1,short,WILDCAT,4x1,right,10,34,Zone,4-3 Defense,24.0,Cover-3,"GO, SCREEN, GO, FLAT",C,Short Right Pass,1
2022110700,56,1,short,SHOTGUN,2x2,right,10,85,Zone,5-2 Defense,75.0,Cover-3,"IN, ANGLE, POST, GO, CROSS",C,Short Right Pass,1
2022110700,354,1,short,SINGLEBACK,3x1,left,10,88,Zone,5-2 Defense,78.0,Cover-2,"GO, OUT, CROSS",C,Short Left Pass,1
2022110700,817,1,short,SHOTGUN,3x1,right,20,100,Zone,5-2 Defense,90.0,Cover-3 Seam,"GO, FLAT, HITCH, HITCH, OUT",I,Short Right Pass,1
2022091100,522,2,short,EMPTY,4x1,right,5,82,Zone,5-2 Defense,72.0,Cover-3,"FLAT, SCREEN, FLAT, SLANT",C,Short Right Pass,1
2022091804,169,2,short,EMPTY,3x2,right,3,56,Zone,3-4 Defense,46.0,Quarters,"HITCH, SCREEN, HITCH, SCREEN, HITCH",C,Short Right Pass,1
2022091804,280,2,short,SHOTGUN,2x2,right,10,27,Zone,3-4 Defense,17.0,Quarters,"IN, POST, FLAT, GO, GO",C,Short Right Pass,1
2022100200,885,2,short,SHOTGUN,3x1,left,3,91,Zone,5-2 Defense,81.0,Cover-6 Right,"FLAT, GO, FLAT, GO, SLANT",I,Short Left Pass,1
2022100906,542,2,short,SHOTGUN,2x2,right,10,81,Man,Heavy DE Front,71.0,Cover-1,"CROSS, OUT, POST, OUT",I,Short Right Pass,1
2022101605,168,2,deep,SINGLEBACK,2x2,right,9,77,Zone,3-4 Defense,67.0,Cover-3 Seam,"GO, ANGLE, POST, GO",I,Play Action Deep Pass,1
2022101605,274,2,short,WILDCAT,2x2,right,3,35,Zone,3-4 Defense,25.0,Quarters,"GO, FLAT, GO, HITCH, HITCH",C,Short Right Pass,1
2022102000,145,2,deep,SINGLEBACK,3x1,middle,11,63,Zone,3-4 Defense,53.0,Quarters,"ANGLE, CROSS, CROSS, POST",C,Deep Middle Pass,1
2022102000,387,2,short,SINGLEBACK,2x2,middle,11,86,Man,3-4 Defense,76.0,2-Man,"SCREEN, IN, GO",I,Singleback Balanced Short Pass,1
2022102000,546,2,short,WILDCAT,3x2,right,5,55,Zone,Heavy DE Front,45.0,Cover-2,"FLAT, SCREEN, GO, SCREEN",C,Short Right Pass,1
2022102000,591,2,short,SHOTGUN,2x2,right,12,50,Zone,Heavy DE Front,40.0,Cover-6 Right,"FLAT, CORNER, GO, POST, HITCH",C,Short Right Pass,1
2022103006,176,2,short,I_FORM,2x1,right,4,71,Zone,4-3 Defense,61.0,Cover-3,"ANGLE, ANGLE, GO, SLANT",I,Short Right Pass,1
2022103006,670,2,short,SHOTGUN,3x1,right,8,32,Zone,4-3 Defense,22.0,Cover-3,"IN, FLAT, POST, GO, CROSS",C,Short Right Pass,1
2022110700,839,2,short,SHOTGUN,2x2,middle,20,100,Zone,5-2 Defense,90.0,Cover-3,"OUT, ANGLE, GO, GO, OUT",C,Short Middle Pass,1
2022091100,348,3,short,SHOTGUN,2x2,right,3,78,Man,5-2 Defense,68.0,Cover-1,"IN, POST, GO, OUT",I,Short Right Pass,1
2022091100,828,3,short,SHOTGUN,3x1,right,6,36,Man,Interior DL Heavy,26.0,Cover-0,"OUT, IN, CROSS, FLAT, OUT",I,Short Right Pass,1
2022091804,313,3,short,SHOTGUN,3x1,left,5,22,Other,3-4 Defense,12.0,Red Zone,"POST, FLAT, FLAT, SLANT, HITCH",I,Short Left Pass,1
2022092500,263,3,short,SHOTGUN,2x2,left,6,63,Zone,Heavy LB Defense,53.0,Quarters,"SLANT, SLANT, GO, SLANT",C,Short Left Pass,1
2022092500,709,3,deep,SHOTGUN,3x1,left,6,81,Zone,Heavy LB Defense,71.0,Cover-3,"IN, OUT, OUT, CROSS",I,Hi-Lo Route Concept,1
2022100200,620,3,short,EMPTY,3x2,left,16,91,Zone,Heavy DE Front,81.0,Cover-3,"FLAT, HITCH, FLAT, HITCH, HITCH",C,Short Left Pass,1
2022100906,256,3,short,SHOTGUN,3x1,left,5,47,Man,5-2 Defense,37.0,Cover-1,"FLAT, CROSS, OUT, IN, OUT",I,Short Left Pass,1
2022100906,594,3,short,SHOTGUN,2x2,right,5,76,Zone,5-2 Defense,66.0,Cover-3 Seam,"OUT, IN, CORNER, CROSS, OUT",C,Short Right Pass,1
2022101605,190,3,short,SHOTGUN,2x2,middle,9,77,Zone,5-2 Defense,67.0,Cover 6-Left,"OUT, HITCH, CROSS, IN, POST",I,Short Middle Pass,1
2022101605,581,3,short,SHOTGUN,3x1,left,8,78,Man,5-2 Defense,68.0,Cover-0,"ANGLE, SCREEN, GO, GO, SLANT",I,Short Left Pass,1
2022102000,409,3,short,SHOTGUN,2x2,right,11,86,Man,Big Secondary and LB,76.0,2-Man,"ANGLE, HITCH, OUT, FLAT, IN",C,Short Right Pass,1
2022102000,615,3,short,SHOTGUN,3x1,left,9,47,Zone,Big Secondary and LB,37.0,Cover-2,"ANGLE, GO, OUT, GO",C,Short Left Pass,1
2022102000,702,3,deep,SHOTGUN,3x1,middle,8,20,Zone,Big Secondary and LB,10.0,Cover-3,"FLAT, CROSS, OUT, POST, SLANT",IN,Third-and-Long Deep Attack,1
2022103006,198,3,short,SHOTGUN,3x1,right,4,71,Zone,4-3 Defense,61.0,Cover-3,"OUT, CROSS, CORNER, HITCH, OUT",C,Short Right Pass,1
2022103006,533,3,short,SHOTGUN,3x1,middle,6,90,Zone,4-2-5 Nickel,80.0,Cover-2,"GO, FLAT, SCREEN, HITCH, POST",C,Short Middle Pass,1
2022110700,126,3,short,SHOTGUN,2x2,right,6,66,Zone,Heavy DE Front,56.0,Cover-3,"ANGLE, CROSS, CORNER, IN, POST",I,Short Right Pass,1
2022091100,1769,1,short,SHOTGUN,3x1,middle,10,35,Zone,5-2 Defense,75.0,Cover-3,"HITCH, HITCH, FLAT, IN",C,Short Middle Pass,2
2022091804,1221,1,short,SINGLEBACK,2x2,middle,10,17,Zone,3-1-7 Quarter,93.0,Quarters,"HITCH, CROSS, FLAT, HITCH",I,Red Zone Short Pass,2
2022091804,1424,1,deep,SINGLEBACK,2x2,middle,10,43,Zone,3-4 Defense,67.0,Cover-3,"FLAT, OUT, CROSS, POST",I,First Down Play Action Deep Pass,2
2022091804,1712,1,short,SHOTGUN,2x1,right,10,41,Zone,3-4 Defense,69.0,Cover-3 Cloud Left,"OUT, IN, OUT, GO",C,Short Right Pass,2
2022091804,1809,1,short,SHOTGUN,2x2,left,10,65,Zone,3-4 Defense,45.0,Cover 6-Left,"OUT, GO, FLAT, HITCH, OUT",C,Short Left Pass,2
2022092500,1046,1,short,PISTOL,2x2,left,10,35,Zone,4-3 Defense,75.0,Cover-3,"ANGLE, OUT, OUT, OUT, OUT",C,Pistol Quick Pass,2
2022092500,1372,1,short,SHOTGUN,2x2,right,20,35,Zone,3-1-7 Quarter,75.0,Quarters,"IN, HITCH, FLAT, GO, HITCH",C,Short Right Pass,2
2022092500,1724,1,short,SHOTGUN,2x2,left,10,29,Man,Heavy LB Defense,81.0,Cover-1,"IN, CROSS, OUT, GO, POST",I,Short Left Pass,2
2022092500,1870,1,short,SHOTGUN,3x1,left,10,92,Zone,5-2 Defense,18.0,Cover-3,"HITCH, HITCH, ANGLE, IN, SCREEN",C,Short Left Pass,2
2022100200,1138,1,short,EMPTY,3x2,right,10,74,Zone,3-4 Defense,36.0,Quarters,"GO, OUT, CROSS, POST",C,Short Right Pass,2
2022100906,954,1,short,SINGLEBACK,3x1,middle,10,51,Zone,4-3 Defense,59.0,Cover-3,"FLAT, ANGLE, CROSS, CORNER",C,Short Middle Pass,2
2022100906,1823,1,short,SHOTGUN,3x1,left,10,35,Zone,5-2 Defense,75.0,Cover 6-Left,"FLAT, HITCH, HITCH, IN, IN",C,Short Left Pass,2
2022100906,1877,1,short,SHOTGUN,3x1,right,10,59,Zone,5-2 Defense,51.0,Cover-3,"GO, CROSS, HITCH, HITCH",C,Short Right Pass,2
2022100906,1990,1,short,SHOTGUN,3x1,middle,20,61,Zone,5-2 Defense,49.0,Cover-6 Right,"OUT, GO, GO, IN, GO",C,Short Middle Pass,2
2022101605,2054,1,short,SHOTGUN,3x1,right,10,94,Zone,3-4 Defense,16.0,Quarters,"SCREEN, GO, GO, IN, GO",C,Short Right Pass,2
2022102000,1618,1,short,SHOTGUN,3x1,middle,10,45,Zone,3-4 Defense,65.0,Cover 6-Left,"FLAT, POST, FLAT, SLANT, HITCH",IN,Short Middle Pass,2
2022102000,1683,1,short,SHOTGUN,2x2,right,10,35,Zone,Heavy DE Front,75.0,Cover-3 Seam,"FLAT, IN, OUT, CROSS, POST",C,Short Right Pass,2
2022102000,1728,1,short,SHOTGUN,2x2,right,10,57,Zone,Heavy DE Front,53.0,Cover-2,"FLAT, IN, OUT, IN, GO",I,Short Right Pass,2
2022103006,1187,1,short,SHOTGUN,3x1,right,10,65,Zone,4-3 Defense,45.0,Cover 6-Left,"HITCH, FLAT, HITCH, HITCH, OUT",C,Short Right Pass,2
2022103006,1333,1,short,SHOTGUN,3x1,middle,15,94,Zone,4-3 Defense,16.0,Quarters,"GO, ANGLE, OUT, GO, HITCH",C,Short Middle Pass,2
2022103006,1648,1,short,SHOTGUN,3x1,left,10,36,Zone,4-3 Defense,74.0,Cover-3,"FLAT, FLAT, GO, SCREEN",C,Short Left Pass,2
2022103006,1778,1,short,SHOTGUN,2x2,right,10,65,Zone,4-3 Defense,45.0,Quarters,"OUT, CROSS, OUT, IN, POST",I,Short Right Pass,2
2022103006,1856,1,short,SHOTGUN,3x1,middle,10,81,Zone,4-3 Defense,29.0,Cover-6 Right,"OUT, GO, GO, GO, GO",C,Short Middle Pass,2
2022110700,1088,1,short,SINGLEBACK,2x2,right,10,32,Zone,5-2 Defense,78.0,Quarters,"ANGLE, FLAT, FLAT, HITCH, HITCH",C,Midfield Short Pass,2
2022110700,1670,1,short,SHOTGUN,3x1,right,10,35,Zone,5-2 Defense,75.0,Cover-3,"FLAT, POST, FLAT, SLANT, HITCH",I,Short Right Pass,2
2022110700,1734,1,short,SHOTGUN,2x2,right,10,46,Man,5-2 Defense,64.0,Cover-1,"OUT, CROSS, CROSS, GO, GO",C,Short Right Pass,2
2022110700,1768,1,short,SHOTGUN,2x2,left,10,59,Zone,5-2 Defense,51.0,Cover-3 Seam,"ANGLE, GO, FLAT, SLANT, SLANT",C,Short Left Pass,2
2022110700,1824,1,short,SHOTGUN,2x2,right,10,78,Man,Heavy DE Front,32.0,2-Man,"FLAT, GO, IN, GO, GO",C,Short Right Pass,2
2022110700,1899,1,short,SHOTGUN,3x1,right,10,95,Man,Heavy DE Front,15.0,Cover-1,"ANGLE, POST, POST, CORNER, FLAT",I,Short Right Pass,2
2022091100,1485,2,short,SHOTGUN,3x1,left,18,35,Zone,Interior DL Heavy,75.0,Cover-2,"HITCH, OUT, ANGLE, HITCH, GO",C,Short Left Pass,2
2022091100,1793,2,deep,SHOTGUN,3x1,right,5,40,Zone,5-2 Defense,70.0,Cover-3,"CORNER, IN, FLAT, POST",I,Midfield Deep Shotgun Attack,2
2022091804,1017,2,short,SHOTGUN,2x2,left,9,20,Zone,3-1-7 Quarter,90.0,Cover-2,"SCREEN, GO, HITCH, HITCH, OUT",C,Short Left Pass,2
2022091804,1243,2,short,SHOTGUN,3x1,right,10,17,Zone,3-1-7 Quarter,93.0,Cover-3,"IN, HITCH, FLAT, CORNER, HITCH",I,Short Right Pass,2
2022091804,1349,2,short,SHOTGUN,2x2,right,14,26,Zone,3-1-7 Quarter,84.0,Quarters,"HITCH, OUT, CORNER, FLAT, OUT",C,Short Right Pass,2
2022091804,1741,2,short,SHOTGUN,2x2,right,7,44,Zone,3-4 Defense,66.0,Cover 6-Left,"SLANT, SLANT, FLAT, SLANT",C,Short Right Pass,2
2022091804,1842,2,short,SHOTGUN,3x1,left,4,71,Zone,3-4 Defense,39.0,Quarters,"GO, HITCH, OUT, HITCH, OUT",I,Short Left Pass,2
2022092500,1906,2,short,SHOTGUN,3x1,middle,3,99,Other,5-2 Defense,11.0,Red Zone,"GO, IN, ANGLE, CROSS, HITCH",I,Short Middle Pass,2
2022100200,1183,2,short,SHOTGUN,2x2,left,8,89,Zone,5-2 Defense,21.0,Cover-3 Seam,"FLAT, IN, IN, GO, GO",C,Short Left Pass,2
2022100200,1252,2,short,SHOTGUN,2x2,middle,8,102,Other,Interior DL Heavy,8.0,Red Zone,"ANGLE, IN, SLANT, GO, GO",C,Short Middle Pass,2
2022100906,978,2,deep,SHOTGUN,2x2,right,2,59,Man,3-4 Defense,51.0,Cover-1,"HITCH, HITCH, OUT, GO",I,Second-and-Short Deep Shot,2
2022100906,1901,2,short,SHOTGUN,2x2,right,1,68,Zone,Heavy DE Front,42.0,Cover-3 Seam,"ANGLE, OUT, OUT, CORNER, OUT",I,Short Right Pass,2
2022101605,1396,2,deep,SHOTGUN,3x1,left,6,94,Zone,3-4 Defense,16.0,Cover-3,"WHEEL, CROSS, IN, HITCH, POST",I,Spread Misdirection Play,2
2022101605,1887,2,short,SINGLEBACK,2x2,right,10,48,Zone,3-4 Defense,62.0,Cover-3 Seam,"POST, GO, CROSS",I,Midfield Short Pass,2
2022101605,2001,2,short,SHOTGUN,2x2,left,11,79,Zone,5-2 Defense,31.0,Cover-2,"FLAT, SLANT, SLANT, FLAT, IN",I,Short Left Pass,2
2022102000,1104,2,short,SINGLEBACK,3x1,right,3,107,Man,Heavy DE Front,3.0,Cover-0,"ANGLE, SCREEN, GO, GO, GO",C,Short Right Pass,2
2022102000,1750,2,deep,SHOTGUN,3x1,right,10,57,Man,Big Secondary and LB,53.0,2-Man,"FLAT, IN, FLAT, CORNER, GO",I,Shotgun Isolation Deep Attack,2
2022103006,1001,2,deep,SHOTGUN,3x1,right,9,84,Zone,4-3 Defense,26.0,Quarters,"OUT, SCREEN, POST, GO, CORNER",I,Shotgun Isolation Deep Attack,2
2022103006,1282,2,short,SHOTGUN,3x1,middle,5,91,Man,4-3 Defense,19.0,Cover-1,"IN, SCREEN, IN, CORNER, CROSS",C,Short Middle Pass,2
2022103006,1672,2,short,SHOTGUN,2x2,left,9,37,Zone,4-3 Defense,73.0,Cover-2,"FLAT, FLAT, HITCH, HITCH, SCREEN",I,Short Left Pass,2
2022103006,1754,2,short,SHOTGUN,3x1,middle,5,56,Zone,4-3 Defense,54.0,Cover 6-Left,"ANGLE, HITCH, IN, IN, GO",C,Short Middle Pass,2
2022103006,1884,2,short,SHOTGUN,2x2,right,1,90,Man,4-2-5 Nickel,20.0,Cover-1,"FLAT, OUT, OUT, CORNER, CORNER",I,Short Right Pass,2
2022110700,1796,2,short,SHOTGUN,3x1,middle,3,66,Man,5-2 Defense,44.0,Cover-1,"FLAT, HITCH, HITCH, IN, GO",C,Short Middle Pass,2
2022110700,1855,2,deep,SHOTGUN,2x2,right,9,79,Man,Heavy DE Front,31.0,Cover-1,"OUT, CROSS, OUT, IN, OUT",C,Hi-Lo Route Concept,2
2022110700,1925,2,short,SHOTGUN,3x1,left,10,95,Man,Heavy DE Front,15.0,Cover-1,"ANGLE, GO, CROSS, GO, GO",I,Short Left Pass,2
2022091804,1041,3,deep,SHOTGUN,3x1,right,6,23,Zone,3-4 Defense,87.0,Cover-6 Right,"POST, GO, CROSS, FLAT, POST",I,Scoring Zone Deep Pass,2
2022091804,1265,3,short,SHOTGUN,3x1,middle,10,17,Zone,3-4 Defense,93.0,Cover-3,"HITCH, HITCH, FLAT, FLAT, IN",C,Short Middle Pass,2
2022091804,1400,3,short,SHOTGUN,3x1,left,5,35,Zone,Heavy DE Front,75.0,Cover-3,"FLAT, HITCH, HITCH, HITCH",C,Short Left Pass,2
2022091804,1774,3,short,SHOTGUN,3x1,middle,5,46,Zone,3-4 Defense,64.0,Cover-3,"IN, OUT, OUT, OUT, CROSS",C,Short Middle Pass,2
2022092500,1127,3,short,EMPTY,3x2,right,13,32,Zone,Heavy LB Defense,78.0,Cover-6 Right,"SCREEN, OUT, GO, FLAT, SCREEN",C,Short Right Pass,2
2022092500,1417,3,short,SHOTGUN,3x1,left,7,48,Zone,Heavy LB Defense,62.0,Cover-3,"GO, SCREEN, OUT, GO",I,Short Left Pass,2
2022092500,1767,3,short,SHOTGUN,2x2,left,6,33,Zone,Heavy LB Defense,77.0,Cover-2,"ANGLE, GO, SLANT, POST, HITCH",C,Short Left Pass,2
2022092500,1928,3,short,SHOTGUN,2x2,right,3,99,Other,5-2 Defense,11.0,Red Zone,"GO, HITCH, ANGLE, GO, POST",I,Short Right Pass,2
2022100200,1114,3,short,SHOTGUN,2x2,left,8,63,Man,5-2 Defense,47.0,Cover-1,"OUT, HITCH, HITCH, HITCH",C,Short Left Pass,2
2022100200,1276,3,short,SHOTGUN,3x1,middle,4,106,Other,Interior DL Heavy,4.0,Red Zone,"CROSS, WHEEL, OUT, SLANT, IN",C,Short Middle Pass,2
2022100200,1505,3,short,SHOTGUN,3x1,left,3,23,Zone,5-2 Defense,87.0,Cover-6 Right,"SCREEN, OUT, SLANT, GO, HITCH",C,Short Left Pass,2
2022100906,1322,3,short,SHOTGUN,3x1,right,14,42,Zone,5-2 Defense,68.0,Quarters,"FLAT, HITCH, FLAT, HITCH, HITCH",C,Short Right Pass,2
2022101605,1418,3,deep,SHOTGUN,2x1,left,6,94,Zone,5-2 Defense,16.0,Cover-2,"FLAT, IN, FLAT, CROSS, HITCH",I,Deep Left Isolation Pass,2
2022101605,1838,3,short,SHOTGUN,3x1,middle,4,41,Zone,5-2 Defense,69.0,Cover-3,"IN, FLAT, SLANT, HITCH, IN",C,Short Middle Pass,2
2022101605,1909,3,short,SHOTGUN,2x2,right,10,48,Man,5-2 Defense,62.0,Cover-0,"GO, HITCH, SLANT, POST",C,Short Right Pass,2
2022101605,2030,3,short,SHOTGUN,2x2,right,11,79,Man,5-2 Defense,31.0,Cover-1,"GO, HITCH, HITCH, HITCH",C,Short Right Pass,2
2022101605,2130,3,short,SHOTGUN,3x1,left,13,91,Zone,5-2 Defense,19.0,Quarters,"FLAT, GO, POST, GO, OUT",C,Short Left Pass,2
2022102000,1025,3,short,SHOTGUN,3x1,left,2,43,Man,Big Secondary and LB,67.0,Cover-1,"CROSS, GO, GO, CROSS",C,Short Left Pass,2
2022102000,1784,3,short,SHOTGUN,2x1,middle,10,57,Zone,Big Secondary and LB,53.0,Cover-3,"FLAT, OUT, ANGLE, GO, POST",IN,Short Middle Pass,2
2022103006,1023,3,short,SHOTGUN,3x1,middle,9,84,Zone,4-2-5 Nickel,26.0,Cover 6-Left,"IN, ANGLE, HITCH, HITCH, GO",C,Short Middle Pass,2
2022103006,1698,3,short,SHOTGUN,3x1,right,9,37,Zone,4-3 Defense,73.0,Cover-6 Right,"FLAT, FLAT, HITCH, HITCH, HITCH",C,Short Right Pass,2
2022103006,1825,3,short,SHOTGUN,2x2,left,4,71,Man,4-3 Defense,39.0,Cover-1,"OUT, GO, FLAT, SLANT, SLANT",C,Short Left Pass,2
2022103006,1917,3,short,SHOTGUN,2x2,right,1,90,Zone,4-2-5 Nickel,20.0,Quarters,"ANGLE, HITCH, OUT, OUT, OUT",I,Short Right Pass,2
2022110700,1219,3,short,SHOTGUN,2x2,right,3,39,Man,5-2 Defense,71.0,Cover-1,"SLANT, FLAT, SLANT, FLAT, SLANT",C,Short Right Pass,2
2022110700,1947,3,short,SHOTGUN,2x2,right,10,95,Man,Heavy DE Front,15.0,Cover-1,"ANGLE, OUT, CORNER, CORNER",I,Short Right Pass,2
2022091100,2159,1,short,SHOTGUN,2x2,left,10,53,Zone,5-2 Defense,43.0,Cover-3,"OUT, FLAT, IN, GO, OUT",C,Short Left Pass,3
2022091100,2204,1,deep,SINGLEBACK,3x1,right,10,42,Zone,5-2 Defense,32.0,Cover-3,"FLAT, POST, CROSS, POST",I,First Down Play Action Deep Pass,3
2022091804,2656,1,short,SINGLEBACK,3x1,right,10,85,Zone,3-4 Defense,75.0,Cover-2,"FLAT, HITCH, HITCH, SCREEN",C,Short Right Pass,3
2022091804,2767,1,short,SHOTGUN,3x1,right,10,53,Zone,3-1-7 Quarter,43.0,Cover-3,"FLAT, SCREEN, POST, SCREEN, GO",C,Short Right Pass,3
