displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Chris Myarick,CORNER,1,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Myarick,CROSS,5,14.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Myarick,FLAT,12,35.29,4.0,0.0,0.0,0.0,0.0,6.0,66.67,0.0,0.0,0.0,0.0
Chris Myarick,GO,1,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Myarick,HITCH,3,8.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Myarick,IN,2,5.88,1.0,0.0,0.0,0.0,0.0,6.0,16.67,0.0,0.0,0.0,0.0
Chris Myarick,OUT,3,8.82,1.0,0.0,0.0,0.0,0.0,6.0,16.67,0.0,0.0,0.0,0.0
Chris Myarick,POST,1,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Myarick,SCREEN,6,17.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Bellinger,ANGLE,1,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Bellinger,CORNER,5,6.1,1.0,0.0,0.0,0.0,0.0,16.0,6.25,0.0,0.0,0.0,0.0
Daniel Bellinger,CROSS,21,25.61,5.0,0.0,0.0,0.0,0.0,16.0,31.25,0.0,0.0,0.0,0.0
Daniel Bellinger,FLAT,23,28.05,7.0,0.0,0.0,0.0,0.0,16.0,43.75,0.0,0.0,0.0,0.0
Daniel Bellinger,GO,9,10.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Bellinger,HITCH,13,15.85,2.0,0.0,0.0,0.0,0.0,16.0,12.5,0.0,0.0,0.0,0.0
Daniel Bellinger,IN,3,3.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Bellinger,OUT,2,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Bellinger,SCREEN,3,3.66,0.0,1.0,0.0,0.0,0.0,16.0,0.0,6.25,0.0,0.0,0.0
Daniel Bellinger,SLANT,2,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Jones,FLAT,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darius Slayton,CORNER,6,5.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darius Slayton,CROSS,21,19.81,3.0,2.0,0.0,0.0,0.0,24.0,12.5,8.33,0.0,0.0,0.0
Darius Slayton,FLAT,1,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darius Slayton,GO,33,31.13,1.0,2.0,1.0,0.0,0.0,24.0,4.17,8.33,4.17,0.0,0.0
Darius Slayton,HITCH,17,16.04,5.0,1.0,0.0,0.0,0.0,24.0,20.83,4.17,0.0,0.0,0.0
Darius Slayton,IN,8,7.55,2.0,1.0,0.0,0.0,0.0,24.0,8.33,4.17,0.0,0.0,0.0
Darius Slayton,OUT,7,6.6,2.0,1.0,0.0,0.0,0.0,24.0,8.33,4.17,0.0,0.0,0.0
Darius Slayton,POST,7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darius Slayton,SLANT,6,5.66,3.0,0.0,0.0,0.0,0.0,24.0,12.5,0.0,0.0,0.0,0.0
David Sills,CORNER,9,8.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Sills,CROSS,15,14.71,5.0,1.0,0.0,0.0,0.0,16.0,31.25,6.25,0.0,0.0,0.0
David Sills,FLAT,3,2.94,1.0,0.0,0.0,0.0,0.0,16.0,6.25,0.0,0.0,0.0,0.0
David Sills,GO,28,27.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Sills,HITCH,18,17.65,2.0,2.0,1.0,0.0,0.0,16.0,12.5,12.5,6.25,0.0,0.0
David Sills,IN,14,13.73,1.0,2.0,0.0,0.0,0.0,16.0,6.25,12.5,0.0,0.0,0.0
David Sills,OUT,6,5.88,1.0,0.0,0.0,0.0,0.0,16.0,6.25,0.0,0.0,0.0,0.0
David Sills,POST,5,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Sills,SCREEN,2,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Sills,SLANT,2,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Brightwell,ANGLE,1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Brightwell,FLAT,3,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kadarius Toney,CORNER,1,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kadarius Toney,CROSS,10,62.5,1.0,1.0,0.0,0.0,0.0,3.0,33.33,33.33,0.0,0.0,0.0
Kadarius Toney,FLAT,1,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kadarius Toney,GO,1,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kadarius Toney,HITCH,1,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
