gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091108,296,1,short,I_FORM,2x1,right,10,35,Zone,5-2 Defense,75.0,Cover-3,"CROSS, FLAT, CORNER, FLAT",I,Short Right Pass,1
2022091805,367,1,short,SHOTGUN,2x2,left,10,70,Zone,Heavy LB Defense,40.0,Quarters,"OUT, SCREEN, SCREEN, CROSS",C,Short Left Pass,1
2022091805,534,1,short,SINGLEBACK,2x2,left,10,92,Zone,5-2 Defense,18.0,Quarters,"CROSS, ANGLE, GO, POST",I,Singleback Balanced Short Pass,1
2022092600,376,1,short,SINGLEBACK,2x2,middle,10,53,Zone,5-2 Defense,57.0,Cover-3,"CORNER, CROSS, FLAT, CROSS, FLAT",C,Singleback Balanced Short Pass,1
2022092600,865,1,short,SHOTGUN,2x2,right,10,46,Zone,4-2-5 Nickel,64.0,Cover-3,"OUT, ANGLE, SCREEN, SLANT",C,Short Right Pass,1
2022100208,407,1,short,SINGLEBACK,3x1,right,10,35,Zone,3-4 Defense,75.0,Cover-3,"IN, FLAT, FLAT, CROSS, CROSS",C,Midfield Short Pass,1
2022100208,494,1,short,I_FORM,2x1,right,10,77,Zone,3-4 Defense,33.0,Cover-3,"SCREEN, FLAT, GO, SCREEN, CORNER",C,I-Formation Screen Play,1
2022100900,801,1,short,SINGLEBACK,3x1,left,10,34,Zone,3-4 Defense,76.0,Quarters,"CORNER, FLAT, CROSS",C,Midfield Short Pass,1
2022100900,912,1,deep,SHOTGUN,3x1,left,19,67,Zone,3-1-7 Quarter,43.0,Cover-3 Seam,"IN, FLAT, IN, HITCH, CROSS",I,Spread Misdirection Play,1
2022102304,56,1,short,SHOTGUN,2x2,right,10,85,Zone,Heavy LB Defense,75.0,Quarters,"SLANT, FLAT, SLANT",C,Short Right Pass,1
2022102304,80,1,short,SINGLEBACK,3x1,middle,10,73,Zone,Heavy LB Defense,63.0,Cover-3,"GO, CROSS",I,Short Middle Pass,1
2022102304,147,1,short,SHOTGUN,2x2,left,10,52,Man,Heavy LB Defense,42.0,Cover-1,"HITCH, ANGLE, SCREEN, GO, FLAT",C,Short Left Pass,1
2022102304,703,1,deep,SHOTGUN,3x1,middle,20,71,Zone,Heavy LB Defense,61.0,Cover-2,"IN, ANGLE, CROSS, GO, CROSS",I,Shotgun Isolation Deep Attack,1
2022103011,227,1,short,SHOTGUN,2x2,right,10,38,Zone,3-4 Defense,72.0,Cover-3,"GO, OUT, OUT, HITCH, SCREEN",C,Short Right Pass,1
2022103011,482,1,short,SHOTGUN,2x2,middle,10,30,Zone,3-4 Defense,80.0,Cover-3,"HITCH, FLAT, HITCH, OUT, SLANT",C,Short Middle Pass,1
2022091108,318,2,short,SHOTGUN,3x1,left,10,35,Zone,5-2 Defense,75.0,Cover-3,"CROSS, FLAT, HITCH, GO, HITCH",C,Short Left Pass,1
2022091805,100,2,short,EMPTY,3x2,middle,8,90,Zone,Heavy LB Defense,20.0,Cover-2,"FLAT, GO, CROSS, SLANT",C,Short Middle Pass,1
2022091805,391,2,short,EMPTY,3x2,left,8,72,Zone,Heavy LB Defense,38.0,Cover-2,"OUT, GO, HITCH, SCREEN, GO",C,Short Left Pass,1
2022091805,486,2,short,SHOTGUN,2x2,right,11,80,Zone,Heavy LB Defense,30.0,Cover-3,"IN, FLAT, HITCH, SLANT, CORNER",C,Short Right Pass,1
2022091805,556,2,short,SHOTGUN,3x1,middle,10,92,Zone,5-2 Defense,18.0,Quarters,"OUT, WHEEL, HITCH, CROSS, CROSS",C,Short Middle Pass,1
2022092600,328,2,short,SHOTGUN,2x2,right,14,30,Zone,5-2 Defense,80.0,Cover-2,"HITCH, GO, SCREEN, GO, GO",C,Short Right Pass,1
2022092600,400,2,short,SHOTGUN,2x2,left,2,61,Zone,5-2 Defense,49.0,Cover-2,"CORNER, SLANT, FLAT, SCREEN, FLAT",C,Short Left Pass,1
2022092600,451,2,short,SHOTGUN,2x2,middle,10,81,Zone,5-2 Defense,29.0,Cover-3,"IN, GO, SCREEN",I,Short Middle Pass,1
2022100900,505,2,deep,EMPTY,3x2,left,8,35,Man,3-4 Defense,75.0,Cover-1,"GO, FLAT, SLANT, HITCH, HITCH",I,Spread Deep Attack from Empty 3x2 Alignment,1
2022100900,851,2,short,SINGLEBACK,2x2,middle,5,65,Zone,Heavy DE Front,45.0,Cover-3,"GO, GO, CROSS, HITCH",C,Singleback Balanced Short Pass,1
2022100900,934,2,short,SHOTGUN,2x2,left,19,67,Zone,3-4 Defense,43.0,Cover-3,"HITCH, HITCH, GO",C,Short Left Pass,1
2022101606,316,2,short,SHOTGUN,2x2,right,16,24,Zone,5-2 Defense,86.0,Cover-2,"FLAT, IN, CORNER, HITCH, IN",C,Short Right Pass,1
2022102304,102,2,short,SHOTGUN,3x1,right,10,73,Zone,Heavy LB Defense,63.0,Cover-3,"IN, CORNER, GO, OUT",C,Short Right Pass,1
2022102304,171,2,short,SHOTGUN,2x2,right,9,51,Man,Heavy LB Defense,41.0,Cover-1,"CORNER, FLAT, HITCH, OUT, GO",C,Short Right Pass,1
2022102304,245,2,deep,SHOTGUN,3x1,right,14,42,Zone,Heavy LB Defense,32.0,Cover-3,"GO, GO, HITCH",C,Midfield Deep Shotgun Attack,1
2022102304,568,2,short,SHOTGUN,3x1,left,8,76,Zone,Heavy LB Defense,66.0,Cover-3,"OUT, FLAT, OUT, IN, IN",I,Short Left Pass,1
2022102304,725,2,short,SHOTGUN,3x1,right,20,71,Zone,Heavy LB Defense,61.0,Cover-2,"GO, SCREEN, IN, CROSS, GO",C,Short Right Pass,1
2022103011,256,2,short,SINGLEBACK,2x2,right,4,44,Zone,4-3 Defense,66.0,Cover-3,"CORNER, FLAT, SCREEN, CROSS, CROSS",I,Midfield Short Pass,1
2022103011,728,2,deep,SHOTGUN,2x2,right,7,33,Zone,3-4 Defense,77.0,Cover-3,"HITCH, FLAT, HITCH, GO, CROSS",I,Midfield Deep Shotgun Attack,1
2022091108,347,3,short,SHOTGUN,3x1,middle,4,41,Zone,5-2 Defense,69.0,Cover-2,"OUT, FLAT, SLANT, HITCH, IN",C,Short Middle Pass,1
2022091108,445,3,short,SHOTGUN,2x2,middle,19,37,Zone,5-2 Defense,73.0,Quarters,"IN, HITCH, HITCH, FLAT",C,Short Middle Pass,1
2022091108,633,3,short,SHOTGUN,3x1,middle,20,40,Zone,5-2 Defense,70.0,Cover-2,"IN, FLAT, IN, GO, CROSS",C,Short Middle Pass,1
2022091805,124,3,short,SHOTGUN,3x1,right,10,88,Zone,Heavy LB Defense,22.0,Cover-2,"SLANT, ANGLE, OUT, GO, OUT",C,Short Right Pass,1
2022091805,415,3,short,SHOTGUN,2x2,left,5,75,Zone,Heavy LB Defense,35.0,Cover-2,"CORNER, ANGLE, CORNER, OUT, HITCH",C,Short Left Pass,1
2022091805,510,3,short,SHOTGUN,2x2,middle,6,85,Man,Heavy LB Defense,25.0,Cover-1,"CROSS, FLAT, CROSS, GO, CROSS",C,Short Middle Pass,1
2022092600,352,3,short,SHOTGUN,3x1,right,1,43,Zone,5-2 Defense,67.0,Quarters,"CROSS, OUT, WHEEL, HITCH, CROSS",C,Short Right Pass,1
2022092600,473,3,deep,SHOTGUN,3x1,left,10,81,Man,Heavy DE Front,29.0,Cover-1,"CORNER, GO, HITCH",I,Third-and-Long Deep Attack,1
2022092600,836,3,short,SHOTGUN,3x1,right,5,40,Man,4-2-5 Nickel,70.0,Cover-1,"CORNER, SCREEN, SLANT, CROSS, HITCH",C,Short Right Pass,1
2022100208,98,3,short,SHOTGUN,3x1,right,9,36,Man,5-2 Defense,74.0,Cover-1,"IN, FLAT, OUT, HITCH, POST",I,Short Right Pass,1
2022100900,352,3,short,SHOTGUN,3x1,right,4,40,Zone,3-4 Defense,70.0,Cover-3,"GO, FLAT, POST, HITCH, SLANT",I,Short Right Pass,1
2022100900,550,3,short,SHOTGUN,3x1,left,13,30,Zone,3-4 Defense,80.0,Cover-2,"HITCH, SCREEN, IN, GO, GO",C,Short Left Pass,1
2022100900,963,3,short,EMPTY,3x2,left,7,79,Zone,3-4 Defense,31.0,Cover-2,"GO, SCREEN, GO, SLANT, GO",I,Short Left Pass,1
2022101606,340,3,short,SHOTGUN,3x1,left,6,34,Zone,5-2 Defense,76.0,Cover-2,"SCREEN, FLAT, FLAT, CROSS",C,Short Left Pass,1
2022101606,436,3,deep,SHOTGUN,2x2,right,7,44,Zone,5-2 Defense,66.0,Cover-3,"GO, ANGLE, CROSS, FLAT",I,Third-and-Long Deep Attack,1
