displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Braxton Berrios,CORNER,4,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braxton Berrios,CROSS,24,20.34,2.0,2.0,0.0,0.0,0.0,17.0,11.76,11.76,0.0,0.0,0.0
Braxton Berrios,FLAT,8,6.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braxton Berrios,GO,21,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braxton Berrios,HITCH,16,13.56,2.0,0.0,0.0,0.0,0.0,17.0,11.76,0.0,0.0,0.0,0.0
Braxton Berrios,IN,7,5.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braxton Berrios,OUT,15,12.71,2.0,2.0,0.0,0.0,0.0,17.0,11.76,11.76,0.0,0.0,0.0
Braxton Berrios,POST,6,5.08,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,5.88,0.0,0.0
Braxton Berrios,SCREEN,11,9.32,5.0,0.0,0.0,0.0,0.0,17.0,29.41,0.0,0.0,0.0,0.0
Braxton Berrios,SLANT,6,5.08,1.0,0.0,0.0,0.0,0.0,17.0,5.88,0.0,0.0,0.0,0.0
Breece Hall,ANGLE,32,31.37,6.0,3.0,1.0,0.0,0.0,30.0,20.0,10.0,3.33,0.0,0.0
Breece Hall,CROSS,1,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breece Hall,FLAT,35,34.31,6.0,2.0,0.0,0.0,0.0,30.0,20.0,6.67,0.0,0.0,0.0
Breece Hall,GO,5,4.9,0.0,1.0,0.0,0.0,0.0,30.0,0.0,3.33,0.0,0.0,0.0
Breece Hall,HITCH,3,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breece Hall,IN,2,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breece Hall,OUT,8,7.84,3.0,2.0,0.0,0.0,0.0,30.0,10.0,6.67,0.0,0.0,0.0
Breece Hall,SCREEN,8,7.84,1.0,1.0,0.0,0.0,0.0,30.0,3.33,3.33,0.0,0.0,0.0
Breece Hall,SLANT,4,3.92,1.0,0.0,0.0,0.0,0.0,30.0,3.33,0.0,0.0,0.0,0.0
Breece Hall,WHEEL,4,3.92,1.0,2.0,0.0,0.0,0.0,30.0,3.33,6.67,0.0,0.0,0.0
C.J. Uzomah,CORNER,5,5.21,1.0,0.0,0.0,0.0,0.0,11.0,9.09,0.0,0.0,0.0,0.0
C.J. Uzomah,CROSS,14,14.58,1.0,1.0,0.0,0.0,0.0,11.0,9.09,9.09,0.0,0.0,0.0
C.J. Uzomah,FLAT,18,18.75,2.0,0.0,0.0,0.0,0.0,11.0,18.18,0.0,0.0,0.0,0.0
C.J. Uzomah,GO,14,14.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Uzomah,HITCH,17,17.71,3.0,0.0,0.0,0.0,0.0,11.0,27.27,0.0,0.0,0.0,0.0
C.J. Uzomah,IN,4,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Uzomah,OUT,6,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Uzomah,POST,6,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Uzomah,SCREEN,8,8.33,3.0,0.0,0.0,0.0,0.0,11.0,27.27,0.0,0.0,0.0,0.0
C.J. Uzomah,SLANT,4,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corey Davis,CORNER,16,8.29,0.0,2.0,0.0,0.0,0.0,32.0,0.0,6.25,0.0,0.0,0.0
Corey Davis,CROSS,16,8.29,2.0,1.0,0.0,0.0,0.0,32.0,6.25,3.12,0.0,0.0,0.0
Corey Davis,FLAT,2,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corey Davis,GO,46,23.83,2.0,2.0,0.0,0.0,0.0,32.0,6.25,6.25,0.0,0.0,0.0
Corey Davis,HITCH,27,13.99,2.0,2.0,0.0,0.0,0.0,32.0,6.25,6.25,0.0,0.0,0.0
Corey Davis,IN,37,19.17,6.0,3.0,0.0,0.0,0.0,32.0,18.75,9.38,0.0,0.0,0.0
Corey Davis,OUT,12,6.22,3.0,0.0,0.0,0.0,0.0,32.0,9.38,0.0,0.0,0.0,0.0
Corey Davis,POST,20,10.36,2.0,3.0,0.0,0.0,0.0,32.0,6.25,9.38,0.0,0.0,0.0
Corey Davis,SCREEN,2,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corey Davis,SLANT,15,7.77,1.0,1.0,0.0,0.0,0.0,32.0,3.12,3.12,0.0,0.0,0.0
Denzel Mims,CORNER,2,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denzel Mims,CROSS,4,5.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denzel Mims,FLAT,3,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denzel Mims,GO,19,28.36,0.0,2.0,0.0,0.0,0.0,9.0,0.0,22.22,0.0,0.0,0.0
