gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091107,636,1,deep,SINGLEBACK,3x1,left,10,93,Zone,5-2 Defense,83.0,Cover-2,"CROSS, GO, HITCH",C,First Down Play Action Deep Pass,1
2022091107,697,1,short,EMPTY,3x2,middle,19,78,Zone,5-2 Defense,68.0,Quarters,"SCREEN, OUT, HITCH, OUT, GO",IN,Short Middle Pass,1
2022091107,824,1,short,SINGLEBACK,3x1,middle,10,85,Zone,3-4 Defense,75.0,Cover-3,"CORNER, FLAT, OUT, POST, ANGLE",I,Short Middle Pass,1
2022091801,666,1,deep,SINGLEBACK,2x2,left,10,48,Zone,Other,62.0,Cover-3,"FLAT, GO, ANGLE, GO, FLAT",I,First Down Play Action Deep Pass,1
2022092506,516,1,short,SHOTGUN,2x2,left,10,50,Zone,3-4 Defense,60.0,Cover-3,"HITCH, GO, HITCH, GO",C,Short Left Pass,1
2022092506,776,1,deep,SINGLEBACK,2x2,right,10,67,Zone,3-4 Defense,43.0,Cover-3,"CROSS, CROSS, OUT, ANGLE, CROSS",C,First Down Play Action Deep Pass,1
2022100210,462,1,deep,SINGLEBACK,2x2,right,10,84,Zone,3-4 Defense,26.0,Cover-3,"FLAT, GO, ANGLE, POST",I,First Down Play Action Deep Pass,1
2022100907,57,1,short,SHOTGUN,2x2,middle,10,35,Zone,3-4 Defense,75.0,Cover-3,"HITCH, SCREEN, FLAT, SLANT",C,Short Middle Pass,1
2022100907,81,1,short,SHOTGUN,2x2,right,10,46,Zone,3-4 Defense,64.0,Cover-3,"GO, HITCH, CROSS, FLAT, GO",C,Short Right Pass,1
2022100907,250,1,short,SHOTGUN,3x1,right,10,59,Zone,3-4 Defense,51.0,Cover-3,"FLAT, CROSS, HITCH, FLAT, CORNER",C,Short Right Pass,1
2022100907,598,1,deep,SINGLEBACK,2x2,right,10,38,Zone,5-2 Defense,72.0,Cover-3,"CROSS, OUT, CORNER",I,First Down Play Action Deep Pass,1
2022100907,938,1,deep,SHOTGUN,2x1,left,10,30,Man,3-4 Defense,80.0,Cover-1,"CROSS, CROSS, FLAT, WHEEL",C,Scoring Zone Deep Pass,1
2022101602,453,1,short,SINGLEBACK,2x2,middle,10,75,Man,3-4 Defense,65.0,Cover-1,"CROSS, IN",I,Singleback Balanced Short Pass,1
2022101602,748,1,short,SINGLEBACK,3x1,right,10,95,Man,3-1-7 Quarter,85.0,Cover-1,"FLAT, GO, CROSS, ANGLE, CROSS",C,Short Right Pass,1
2022102307,55,1,deep,SHOTGUN,3x1,right,10,85,Zone,3-4 Defense,75.0,Cover-3,"HITCH, POST, GO, CORNER, ANGLE",I,Shotgun Isolation Deep Attack,1
2022103007,333,1,short,SINGLEBACK,2x2,left,10,81,Zone,3-4 Defense,71.0,Cover-2,"CROSS, OUT, IN, GO",I,Singleback Balanced Short Pass,1
2022110606,659,1,short,SINGLEBACK,2x2,right,10,94,Zone,4-3 Defense,84.0,Cover-3,"OUT, OUT, HITCH, OUT",C,Singleback Balanced Short Pass,1
