displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
A.J. Brown,CORNER,3,1.34,0.0,1.0,0.0,0.0,0.0,65.0,0.0,1.54,0.0,0.0,0.0
A.J. Brown,CROSS,25,11.16,8.0,2.0,0.0,0.0,0.0,65.0,12.31,3.08,0.0,0.0,0.0
A.J. Brown,FLAT,4,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Brown,GO,55,24.55,6.0,4.0,0.0,0.0,0.0,65.0,9.23,6.15,0.0,0.0,0.0
A.J. Brown,HITCH,35,15.62,3.0,4.0,0.0,0.0,0.0,65.0,4.62,6.15,0.0,0.0,0.0
A.J. Brown,IN,28,12.5,3.0,7.0,0.0,0.0,0.0,65.0,4.62,10.77,0.0,0.0,0.0
A.J. Brown,OUT,8,3.57,4.0,2.0,0.0,0.0,0.0,65.0,6.15,3.08,0.0,0.0,0.0
A.J. Brown,POST,25,11.16,2.0,2.0,0.0,0.0,0.0,65.0,3.08,3.08,0.0,0.0,0.0
A.J. Brown,SCREEN,14,6.25,4.0,1.0,0.0,0.0,0.0,65.0,6.15,1.54,0.0,0.0,0.0
A.J. Brown,SLANT,27,12.05,10.0,2.0,0.0,0.0,0.0,65.0,15.38,3.08,0.0,0.0,0.0
Boston Scott,ANGLE,7,31.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Scott,FLAT,9,40.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Scott,GO,1,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Scott,HITCH,2,9.09,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Boston Scott,OUT,1,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Scott,SCREEN,2,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Britain Covey,CROSS,1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Britain Covey,HITCH,1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dallas Goedert,CORNER,14,7.0,2.0,2.0,0.0,0.0,0.0,47.0,4.26,4.26,0.0,0.0,0.0
Dallas Goedert,CROSS,28,14.0,5.0,3.0,0.0,0.0,0.0,47.0,10.64,6.38,0.0,0.0,0.0
Dallas Goedert,FLAT,20,10.0,5.0,0.0,0.0,0.0,0.0,47.0,10.64,0.0,0.0,0.0,0.0
Dallas Goedert,GO,12,6.0,3.0,1.0,0.0,0.0,0.0,47.0,6.38,2.13,0.0,0.0,0.0
