gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091104,390,1,short,SHOTGUN,2x2,right,10,54,Man,5-2 Defense,56.0,Cover-1,"CORNER, CROSS, CROSS, FLAT, CROSS",I,Short Right Pass,1
2022091104,689,1,short,PISTOL,3x1,middle,15,23,Zone,5-2 Defense,87.0,Cover-6 Right,"HITCH, SCREEN, FLAT, SCREEN, GO",C,Pistol Quick Pass,1
2022091104,865,1,short,SHOTGUN,2x2,left,10,65,Zone,5-2 Defense,45.0,Cover-2,"POST, GO, POST, GO, OUT",C,Short Left Pass,1
2022091901,64,1,short,EMPTY,3x2,left,10,28,Zone,5-2 Defense,82.0,Quarters,"OUT, POST, HITCH, HITCH, OUT",C,Short Left Pass,1
2022091901,880,1,short,SHOTGUN,3x1,middle,15,36,Zone,5-2 Defense,74.0,Quarters,"IN, FLAT, GO, IN, CROSS",C,Short Middle Pass,1
2022092508,276,1,short,SHOTGUN,2x2,left,10,56,Man,5-2 Defense,54.0,Cover-1,"GO, IN, SCREEN",I,Short Left Pass,1
2022092508,786,1,deep,SHOTGUN,2x2,right,10,49,Zone,5-2 Defense,61.0,Cover-3 Seam,"POST, GO, GO, GO",C,Midfield Deep Shotgun Attack,1
2022092508,815,1,short,SHOTGUN,2x2,left,10,94,Zone,5-2 Defense,16.0,Quarters,"FLAT, HITCH, FLAT, HITCH, OUT",C,Short Left Pass,1
2022100209,158,1,short,SHOTGUN,2x2,left,10,31,Zone,Heavy LB Defense,79.0,Cover-3 Seam,"SLANT, SLANT, FLAT, HITCH, CORNER",I,Short Left Pass,1
2022100209,266,1,short,EMPTY,4x1,left,15,38,Zone,Heavy LB Defense,72.0,Cover-3,"SLANT, SCREEN, SLANT, SCREEN, GO",C,Short Left Pass,1
2022100209,740,1,short,SHOTGUN,2x2,right,10,32,Zone,Heavy LB Defense,78.0,Cover-2,"CROSS, CROSS, FLAT, GO, GO",C,Short Right Pass,1
