displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Chase Claypool,CORNER,8,2.95,0.0,3.0,0.0,0.0,0.0,47.0,0.0,6.38,0.0,0.0,0.0
Chase Claypool,CROSS,44,16.24,9.0,1.0,0.0,0.0,0.0,47.0,19.15,2.13,0.0,0.0,0.0
Chase Claypool,FLAT,7,2.58,1.0,0.0,0.0,0.0,0.0,47.0,2.13,0.0,0.0,0.0,0.0
Chase Claypool,GO,57,21.03,1.0,2.0,1.0,0.0,0.0,47.0,2.13,4.26,2.13,0.0,0.0
Chase Claypool,HITCH,59,21.77,7.0,3.0,0.0,0.0,0.0,47.0,14.89,6.38,0.0,0.0,0.0
Chase Claypool,IN,19,7.01,1.0,1.0,0.0,0.0,0.0,47.0,2.13,2.13,0.0,0.0,0.0
Chase Claypool,OUT,33,12.18,8.0,3.0,0.0,0.0,0.0,47.0,17.02,6.38,0.0,0.0,0.0
Chase Claypool,POST,31,11.44,0.0,2.0,1.0,0.0,0.0,47.0,0.0,4.26,2.13,0.0,0.0
Chase Claypool,SLANT,13,4.8,3.0,0.0,0.0,0.0,0.0,47.0,6.38,0.0,0.0,0.0,0.0
Connor Heyward,CORNER,2,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connor Heyward,CROSS,3,9.38,1.0,0.0,0.0,0.0,0.0,6.0,16.67,0.0,0.0,0.0,0.0
Connor Heyward,FLAT,2,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connor Heyward,GO,5,15.62,1.0,0.0,0.0,0.0,0.0,6.0,16.67,0.0,0.0,0.0,0.0
Connor Heyward,HITCH,10,31.25,2.0,0.0,0.0,0.0,0.0,6.0,33.33,0.0,0.0,0.0,0.0
Connor Heyward,IN,4,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connor Heyward,OUT,3,9.38,1.0,1.0,0.0,0.0,0.0,6.0,16.67,16.67,0.0,0.0,0.0
Connor Heyward,POST,3,9.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derek Watt,CROSS,2,33.33,2.0,0.0,0.0,0.0,0.0,3.0,66.67,0.0,0.0,0.0,0.0
Derek Watt,FLAT,3,50.0,1.0,0.0,0.0,0.0,0.0,3.0,33.33,0.0,0.0,0.0,0.0
Derek Watt,OUT,1,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
