gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091103,58,1,short,SHOTGUN,3x1,middle,10,35,Zone,3-4 Defense,75.0,Quarters,"FLAT, CROSS, FLAT, CROSS, GO",C,Short Middle Pass,1
2022091103,719,1,deep,PISTOL,3x1,right,10,76,Zone,3-4 Defense,34.0,Cover-3,"POST, SCREEN, FLAT, GO",C,Pistol Deep Attack,1
2022091806,640,1,short,SHOTGUN,3x1,left,10,74,Zone,3-4 Defense,64.0,Cover-3 Cloud Left,"CROSS, CROSS, FLAT, POST, ANGLE",C,Short Left Pass,1
2022091806,758,1,deep,SINGLEBACK,3x1,middle,10,52,Zone,3-4 Defense,42.0,Cover-2,"POST, CROSS, HITCH, FLAT, CROSS",IN,First Down Play Action Deep Pass,1
2022092200,190,1,short,SINGLEBACK,2x2,right,10,30,Zone,Other,80.0,Cover-3 Seam,"CORNER, FLAT, CROSS, FLAT, CROSS",C,Singleback Balanced Short Pass,1
2022092200,722,1,short,SINGLEBACK,3x1,right,10,35,Zone,Other,75.0,Cover-3,"GO, HITCH, SCREEN",C,Midfield Short Pass,1
2022100210,370,1,deep,EMPTY,3x2,middle,10,87,Zone,3-4 Defense,77.0,Quarters,"SLANT, POST, GO, HITCH, HITCH",IN,Spread Deep Attack from Empty 3x2 Alignment,1
2022100901,320,1,short,SINGLEBACK,2x2,right,10,49,Zone,4-2-5 Nickel,61.0,Cover-3,"CROSS, CROSS, CORNER, GO, SCREEN",C,Midfield Short Pass,1
2022100901,394,1,short,SHOTGUN,2x2,left,10,60,Zone,4-2-5 Nickel,50.0,Quarters,"GO, HITCH, FLAT",C,Short Left Pass,1
2022100901,489,1,short,SHOTGUN,3x1,right,10,85,Man,4-2-5 Nickel,25.0,Cover-1,"CROSS, CORNER, FLAT, HITCH",C,Short Right Pass,1
2022101607,143,1,short,SHOTGUN,2x2,right,10,44,Zone,3-1-7 Quarter,66.0,Cover-3,"GO, HITCH, HITCH, FLAT, HITCH",C,Short Right Pass,1
2022101607,196,1,short,SHOTGUN,3x1,left,10,57,Zone,3-1-7 Quarter,53.0,Cover-2,"GO, HITCH, FLAT, GO",C,Short Left Pass,1
2022101607,402,1,short,SHOTGUN,2x2,right,10,100,Other,3-4 Defense,10.0,Red Zone,"OUT, IN, CORNER, CROSS, ANGLE",C,Short Right Pass,1
2022102311,612,1,short,SINGLEBACK,2x2,right,10,85,Zone,3-4 Defense,75.0,Cover-3,"CROSS, OUT, FLAT, CROSS",C,Singleback Balanced Short Pass,1
2022103008,391,1,short,SINGLEBACK,2x2,right,10,85,Zone,Heavy LB Defense,75.0,Quarters,"CROSS, CROSS, FLAT, CORNER",C,Singleback Balanced Short Pass,1
2022103008,491,1,short,EMPTY,3x2,left,10,71,Zone,5-2 Defense,61.0,Cover-3 Seam,"HITCH, HITCH, OUT, HITCH, IN",C,Short Left Pass,1
2022103008,606,1,short,EMPTY,3x2,right,15,68,Zone,5-2 Defense,58.0,Cover-2,"SCREEN, SCREEN, FLAT, FLAT, FLAT",C,Short Right Pass,1
2022103008,672,1,short,SINGLEBACK,2x2,right,10,52,Zone,Heavy LB Defense,42.0,Cover-2,"CROSS, FLAT, CROSS, ANGLE, CORNER",C,Singleback Balanced Short Pass,1
2022091103,82,2,short,PISTOL,3x1,right,7,38,Zone,3-4 Defense,72.0,Cover-3,"HITCH, OUT, OUT",C,Pistol Quick Pass,1
2022091806,78,2,short,SHOTGUN,3x1,left,8,83,Man,3-4 Defense,73.0,Cover-1,"CROSS, OUT, CORNER",C,Short Left Pass,1
2022091806,706,2,short,SINGLEBACK,3x1,right,4,57,Zone,3-4 Defense,47.0,Cover-3,"GO, CROSS, FLAT, CROSS, GO",C,Short Right Pass,1
2022092200,465,2,short,SHOTGUN,3x1,right,6,76,Zone,Other,34.0,Cover-3 Seam,"HITCH, OUT, FLAT, FLAT, SCREEN",C,Short Right Pass,1
2022092200,746,2,short,SHOTGUN,3x1,left,7,38,Man,Other,72.0,Cover-1,"HITCH, CROSS, CROSS, CORNER, ANGLE",C,Short Left Pass,1
2022092200,791,2,deep,SHOTGUN,3x1,right,3,56,Zone,Other,54.0,Cover 6-Left,"CORNER, HITCH, GO",C,Second-and-Short Deep Shot,1
2022100210,77,2,short,SINGLEBACK,3x1,right,4,79,Zone,3-4 Defense,69.0,Cover-3,"CROSS, ANGLE, HITCH, CORNER",C,Short Right Pass,1
2022100210,122,2,deep,SINGLEBACK,3x1,right,4,68,Zone,3-4 Defense,58.0,Cover-3,"POST, HITCH, POST",I,Play Action Deep Pass,1
2022100210,588,2,short,SHOTGUN,3x1,left,10,85,Zone,5-2 Defense,75.0,Quarters,"HITCH, OUT, POST, ANGLE, HITCH",C,Short Left Pass,1
2022100901,439,2,short,SHOTGUN,2x2,right,4,77,Zone,4-2-5 Nickel,33.0,Quarters,"HITCH, FLAT, CROSS, FLAT, FLAT",I,Short Right Pass,1
2022100901,872,2,short,SHOTGUN,3x1,left,17,28,Zone,4-2-5 Nickel,82.0,Cover-2,"HITCH, OUT, SLANT",C,Short Left Pass,1
2022101607,172,2,short,SHOTGUN,3x1,middle,2,52,Man,3-4 Defense,58.0,Cover-1,"SLANT, SLANT, OUT, FLAT, GO",C,Short Middle Pass,1
2022101607,426,2,short,SHOTGUN,2x2,left,6,104,Man,3-1-7 Quarter,6.0,Cover-1,"SLANT, CROSS, FLAT, HITCH, FLAT",C,Short Left Pass,1
2022101607,839,2,short,SHOTGUN,3x1,right,7,26,Zone,3-4 Defense,84.0,Cover-3,"HITCH, HITCH, GO, HITCH",I,Short Right Pass,1
2022102311,636,2,deep,SHOTGUN,3x1,left,4,79,Man,3-4 Defense,69.0,Cover-1,"HITCH, HITCH, GO, ANGLE, HITCH",IN,Shotgun Isolation Deep Attack,1
2022102311,857,2,short,SHOTGUN,3x1,right,6,81,Zone,3-4 Defense,71.0,Cover-2,"SCREEN, FLAT, FLAT, FLAT, GO",C,Short Right Pass,1
2022103008,467,2,short,SHOTGUN,2x2,left,10,85,Zone,Heavy LB Defense,75.0,Cover-3 Seam,"SCREEN, OUT, CORNER",C,Short Left Pass,1
2022103008,696,2,deep,SHOTGUN,2x2,middle,7,49,Zone,Heavy LB Defense,39.0,Cover-3 Seam,"GO, HITCH, GO, GO",C,Midfield Deep Shotgun Attack,1
2022103008,767,2,short,WILDCAT,3x2,middle,6,16,Other,5-2 Defense,6.0,Red Zone,"CROSS, FLAT, SCREEN",C,Short Middle Pass,1
2022091103,111,3,short,SHOTGUN,3x1,left,2,43,Man,3-4 Defense,67.0,Cover-1,"HITCH, SLANT, ANGLE, HITCH, GO",C,Short Left Pass,1
2022091103,541,3,deep,SHOTGUN,2x2,left,5,40,Man,5-2 Defense,70.0,Cover-1,"GO, CROSS, GO, OUT, IN",I,Midfield Deep Shotgun Attack,1
2022091103,796,3,short,SHOTGUN,2x2,right,2,108,Man,3-4 Defense,2.0,Cover-1,"HITCH, HITCH, OUT, OUT, GO",I,Short Right Pass,1
2022091806,102,3,short,SHOTGUN,3x1,right,4,79,Man,5-2 Defense,69.0,Cover-1,"CROSS, HITCH, FLAT, OUT, GO",I,Short Right Pass,1
2022091806,554,3,short,SHOTGUN,2x2,right,3,78,Man,5-2 Defense,68.0,Cover-1,"SLANT, OUT, OUT, GO, GO",C,Short Right Pass,1
2022092200,489,3,short,EMPTY,3x2,right,8,74,Man,Other,36.0,Cover-1,"IN, GO, FLAT, SCREEN, IN",C,Short Right Pass,1
2022100210,144,3,short,SHOTGUN,3x1,middle,4,68,Zone,3-4 Defense,58.0,Cover-6 Right,"GO, HITCH, OUT, HITCH",C,Short Middle Pass,1
2022100210,612,3,short,EMPTY,3x2,right,5,80,Zone,3-4 Defense,70.0,Quarters,"HITCH, HITCH, HITCH, OUT, CROSS",C,Short Right Pass,1
2022100901,365,3,short,SHOTGUN,3x1,right,11,48,Zone,4-2-5 Nickel,62.0,Cover-6 Right,"IN, GO, OUT, OUT, ANGLE",C,Short Right Pass,1
2022100901,461,3,short,SHOTGUN,2x2,left,4,77,Man,4-2-5 Nickel,33.0,2-Man,"GO, CROSS, CROSS, SLANT, FLAT",C,Short Left Pass,1
2022100901,555,3,short,SHOTGUN,2x2,right,8,99,Other,4-2-5 Nickel,11.0,Bracket,"OUT, CROSS, CROSS, POST, FLAT",I,Short Right Pass,1
2022100901,896,3,short,SHOTGUN,3x1,middle,6,39,Zone,4-2-5 Nickel,71.0,Cover-2,"HITCH, POST, OUT, GO, FLAT",I,Short Middle Pass,1
2022102311,376,3,deep,SHOTGUN,3x1,left,3,78,Man,3-4 Defense,68.0,Cover-1,"GO, CROSS, OUT, IN, GO",I,Shotgun Isolation Deep Attack,1
2022102311,881,3,short,SINGLEBACK,3x1,right,2,77,Zone,3-4 Defense,67.0,Cover-3,"CROSS, GO, SCREEN, FLAT, CROSS",C,Short Yardage Pass,1
2022103008,797,3,short,SHOTGUN,2x2,left,2,12,Man,5-2 Defense,2.0,Cover-1,"GO, FLAT, SLANT",I,Short Left Pass,1
2022103008,848,4,short,JUMBO,2x2,left,1,11,Other,5-2 Defense,1.0,Red Zone,"FLAT, CROSS, ANGLE",C,Short Left Pass,1
2022091103,1126,1,short,SINGLEBACK,2x2,right,10,51,Zone,3-4 Defense,41.0,Cover-3 Seam,"GO, FLAT, GO, CROSS",C,Singleback Balanced Short Pass,2
2022091103,1471,1,short,SHOTGUN,3x1,left,10,102,Zone,3-4 Defense,92.0,Cover-2,"SLANT, OUT, HITCH, GO, FLAT",I,Short Left Pass,2
2022091806,1189,1,short,EMPTY,3x2,left,15,86,Zone,5-2 Defense,24.0,Quarters,"OUT, HITCH, GO, CROSS, GO",I,Short Left Pass,2
2022091806,1442,1,short,SHOTGUN,2x2,middle,10,30,Zone,3-4 Defense,80.0,Cover-3,"HITCH, SLANT, FLAT, SCREEN, GO",C,Short Middle Pass,2
2022091806,1873,1,deep,SHOTGUN,3x1,right,10,35,Zone,5-2 Defense,75.0,Cover-2,"GO, GO, GO, GO, OUT",C,Midfield Deep Shotgun Attack,2
2022091806,1897,1,deep,SHOTGUN,3x1,right,10,58,Man,5-2 Defense,52.0,Cover-1 Double,"GO, GO, CROSS, GO, OUT",I,Shotgun Isolation Deep Attack,2
2022092200,1314,1,short,SHOTGUN,3x1,right,10,85,Zone,Other,75.0,Cover-3,"HITCH, CORNER, SCREEN, SLANT",C,Short Right Pass,2
2022092200,1369,1,deep,SINGLEBACK,2x2,right,10,74,Zone,Other,64.0,Cover-3,"OUT, SCREEN, IN, FLAT, CROSS",C,First Down Play Action Deep Pass,2
2022092200,1938,1,deep,EMPTY,3x2,left,10,73,Zone,Other,63.0,Cover-2,"CORNER, CROSS, FLAT, FLAT, GO",C,Spread Deep Attack from Empty 3x2 Alignment,2
2022092200,1962,1,deep,SHOTGUN,2x2,right,10,53,Zone,Other,43.0,Cover-2,"GO, CORNER, HITCH, GO",I,Flood Concept (Intermediate Stretch),2
2022100210,1329,1,deep,SINGLEBACK,3x1,right,10,25,Zone,5-2 Defense,85.0,Cover-3,"GO, IN, CROSS",C,First Down Play Action Deep Pass,2
2022100210,1977,1,short,SHOTGUN,3x1,middle,10,40,Zone,3-4 Defense,70.0,Quarters,"GO, CROSS, ANGLE, HITCH, HITCH",C,Short Middle Pass,2
2022100210,2001,1,short,SHOTGUN,3x1,middle,10,54,Man,5-2 Defense,56.0,2-Man,"GO, POST, FLAT, CROSS, HITCH",I,Short Middle Pass,2
2022100901,1536,1,short,SHOTGUN,3x1,right,10,85,Zone,4-2-5 Nickel,75.0,Cover-6 Right,"OUT, HITCH, HITCH, FLAT, OUT",C,Short Right Pass,2
2022100901,1584,1,short,SHOTGUN,2x2,left,10,64,Man,4-2-5 Nickel,54.0,Cover-1,"GO, POST, SLANT, FLAT, GO",I,Short Left Pass,2
2022100901,2020,1,short,SHOTGUN,3x1,right,10,83,Zone,4-2-5 Nickel,73.0,Cover-2,"HITCH, IN, FLAT, FLAT, GO",C,Short Right Pass,2
2022100901,2083,1,deep,SHOTGUN,3x1,left,10,73,Zone,4-2-5 Nickel,63.0,Cover-2,"GO, IN, FLAT, SCREEN, GO",IN,Shotgun Isolation Deep Attack,2
2022101607,1453,1,short,SHOTGUN,2x2,left,20,56,Zone,3-4 Defense,46.0,Cover-3,"IN, SCREEN, IN, SCREEN, OUT",I,Short Left Pass,2
2022101607,1896,1,short,SHOTGUN,2x2,left,10,96,Zone,3-4 Defense,86.0,Cover-3,"CORNER, CROSS, GO, OUT, IN",I,Short Left Pass,2
2022102311,1018,1,short,SINGLEBACK,3x1,right,10,64,Zone,3-4 Defense,46.0,Cover-3,"GO, IN, OUT, CROSS",C,Short Right Pass,2
2022102311,1313,1,short,SINGLEBACK,3x1,left,10,24,Zone,3-4 Defense,86.0,Cover-3,"GO, CROSS, CROSS, GO",C,Short Left Pass,2
2022102311,1366,1,short,SHOTGUN,3x1,middle,10,50,Zone,3-4 Defense,60.0,Cover-3,"HITCH, IN, ANGLE, HITCH, GO",C,Short Middle Pass,2
2022102311,1445,1,short,SHOTGUN,2x2,right,10,64,Zone,3-4 Defense,46.0,Cover-3,"OUT, SLANT, CORNER, SLANT, FLAT",C,Short Right Pass,2
2022102311,1535,1,short,SHOTGUN,3x1,right,20,64,Zone,3-4 Defense,46.0,Cover-2,"CROSS, HITCH, CROSS, ANGLE, GO",C,Short Right Pass,2
