displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Colby Parkinson,CORNER,9,13.04,1.0,1.0,0.0,0.0,0.0,11.0,9.09,9.09,0.0,0.0,0.0
Colby Parkinson,CROSS,15,21.74,5.0,0.0,0.0,0.0,0.0,11.0,45.45,0.0,0.0,0.0,0.0
Colby Parkinson,FLAT,8,11.59,1.0,0.0,0.0,0.0,0.0,11.0,9.09,0.0,0.0,0.0,0.0
Colby Parkinson,GO,10,14.49,1.0,0.0,0.0,0.0,0.0,11.0,9.09,0.0,0.0,0.0,0.0
Colby Parkinson,HITCH,8,11.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colby Parkinson,IN,2,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colby Parkinson,OUT,5,7.25,1.0,0.0,0.0,0.0,0.0,11.0,9.09,0.0,0.0,0.0,0.0
Colby Parkinson,POST,2,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colby Parkinson,SCREEN,4,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colby Parkinson,SLANT,6,8.7,1.0,0.0,0.0,0.0,0.0,11.0,9.09,0.0,0.0,0.0,0.0
D'Wayne Eskridge,CORNER,5,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D'Wayne Eskridge,CROSS,21,26.58,4.0,2.0,0.0,0.0,0.0,12.0,33.33,16.67,0.0,0.0,0.0
D'Wayne Eskridge,FLAT,5,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D'Wayne Eskridge,GO,13,16.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D'Wayne Eskridge,HITCH,9,11.39,1.0,0.0,0.0,0.0,0.0,12.0,8.33,0.0,0.0,0.0,0.0
D'Wayne Eskridge,IN,8,10.13,0.0,1.0,0.0,0.0,0.0,12.0,0.0,8.33,0.0,0.0,0.0
D'Wayne Eskridge,OUT,8,10.13,0.0,3.0,0.0,0.0,0.0,12.0,0.0,25.0,0.0,0.0,0.0
D'Wayne Eskridge,POST,3,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D'Wayne Eskridge,SCREEN,2,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D'Wayne Eskridge,SLANT,5,6.33,1.0,0.0,0.0,0.0,0.0,12.0,8.33,0.0,0.0,0.0,0.0
DK Metcalf,CORNER,12,5.5,1.0,1.0,0.0,0.0,0.0,60.0,1.67,1.67,0.0,0.0,0.0
DK Metcalf,CROSS,30,13.76,2.0,4.0,0.0,0.0,0.0,60.0,3.33,6.67,0.0,0.0,0.0
DK Metcalf,FLAT,3,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DK Metcalf,GO,58,26.61,4.0,9.0,0.0,0.0,0.0,60.0,6.67,15.0,0.0,0.0,0.0
DK Metcalf,HITCH,31,14.22,7.0,1.0,0.0,0.0,0.0,60.0,11.67,1.67,0.0,0.0,0.0
DK Metcalf,IN,11,5.05,1.0,1.0,0.0,0.0,0.0,60.0,1.67,1.67,0.0,0.0,0.0
DK Metcalf,OUT,19,8.72,7.0,2.0,0.0,0.0,0.0,60.0,11.67,3.33,0.0,0.0,0.0
DK Metcalf,POST,22,10.09,3.0,3.0,0.0,0.0,0.0,60.0,5.0,5.0,0.0,0.0,0.0
DK Metcalf,SCREEN,5,2.29,3.0,0.0,0.0,0.0,0.0,60.0,5.0,0.0,0.0,0.0,0.0
DK Metcalf,SLANT,27,12.39,8.0,3.0,0.0,0.0,0.0,60.0,13.33,5.0,0.0,0.0,0.0
Dareke Young,CROSS,2,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dareke Young,HITCH,1,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dareke Young,OUT,2,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dareke Young,SCREEN,1,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeeJay Dallas,ANGLE,11,26.19,2.0,0.0,0.0,0.0,0.0,5.0,40.0,0.0,0.0,0.0,0.0
DeeJay Dallas,CROSS,3,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeeJay Dallas,FLAT,15,35.71,1.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0
DeeJay Dallas,GO,3,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeeJay Dallas,HITCH,1,2.38,1.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0
DeeJay Dallas,IN,1,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeeJay Dallas,OUT,2,4.76,1.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0
DeeJay Dallas,SCREEN,4,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeeJay Dallas,SLANT,2,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenneth Walker,ANGLE,10,11.9,1.0,0.0,0.0,0.0,0.0,13.0,7.69,0.0,0.0,0.0,0.0
Kenneth Walker,CROSS,3,3.57,2.0,0.0,0.0,0.0,0.0,13.0,15.38,0.0,0.0,0.0,0.0
Kenneth Walker,FLAT,46,54.76,3.0,2.0,1.0,0.0,0.0,13.0,23.08,15.38,7.69,0.0,0.0
