gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091200,156,1,short,PISTOL,1x1,right,15,59,Zone,3-4 Defense,51.0,Cover-6 Right,"GO, ANGLE, FLAT, ANGLE, HITCH",C,Pistol Quick Pass,1
2022091200,565,1,short,PISTOL,3x1,middle,10,52,Zone,3-4 Defense,58.0,Quarters,"SCREEN, FLAT, GO, HITCH, SLANT",C,Pistol Quick Pass,1
2022092511,76,1,short,SHOTGUN,2x2,right,10,45,Zone,Interior DL Heavy,65.0,Cover-2,"HITCH, HITCH, GO, HITCH",C,Short Right Pass,1
2022092511,142,1,short,PISTOL,2x1,right,10,75,Zone,Interior DL Heavy,35.0,Cover-2,"HITCH, GO, FLAT, GO, FLAT",C,Pistol Quick Pass,1
2022092511,611,1,short,EMPTY,4x1,middle,10,36,Zone,5-2 Defense,74.0,Cover-3,"SCREEN, POST, GO, SLANT, CROSS",C,Short Middle Pass,1
2022100205,58,1,short,PISTOL,1x1,left,10,35,Man,5-2 Defense,75.0,Cover-1,"CROSS, FLAT, FLAT, WHEEL, POST",C,Pistol Quick Pass,1
2022100205,108,1,short,SINGLEBACK,3x1,right,10,45,Zone,5-2 Defense,65.0,Cover-3,"CORNER, OUT, FLAT, CROSS",C,Midfield Short Pass,1
2022100205,187,1,short,SHOTGUN,2x2,right,10,58,Zone,5-2 Defense,52.0,Quarters,"CORNER, HITCH, IN, POST",C,Short Right Pass,1
2022100205,378,1,deep,SHOTGUN,2x2,right,15,93,Man,5-2 Defense,17.0,Cover-1,"GO, FLAT, GO, GO, GO",C,Flood Concept (Intermediate Stretch),1
2022100205,627,1,short,I_FORM,2x1,right,10,35,Zone,5-2 Defense,75.0,Cover-3,"CROSS, FLAT, CROSS, CORNER, FLAT",C,Short Right Pass,1
2022100205,656,1,deep,EMPTY,3x2,middle,10,48,Zone,5-2 Defense,62.0,Cover-6 Right,"HITCH, GO, OUT, POST, IN",C,Spread Deep Attack from Empty 3x2 Alignment,1
2022100205,680,1,deep,SINGLEBACK,3x1,middle,10,71,Zone,5-2 Defense,39.0,Quarters,"CROSS, HITCH, POST",C,First Down Play Action Deep Pass,1
2022100906,669,1,short,SINGLEBACK,3x1,left,10,36,Zone,4-3 Defense,74.0,Cover-3,"CROSS, FLAT, CROSS, CROSS, HITCH",I,Midfield Short Pass,1
2022101609,331,1,short,PISTOL,2x1,left,15,30,Zone,3-4 Defense,80.0,Cover 6-Left,"HITCH, POST, HITCH",I,Pistol Quick Pass,1
2022102309,64,1,short,EMPTY,3x2,left,10,91,Zone,5-2 Defense,81.0,Cover-3 Seam,"GO, IN, HITCH, OUT, HITCH",C,Short Left Pass,1
2022102309,135,1,short,PISTOL,2x2,middle,10,60,Zone,5-2 Defense,50.0,Cover-3,"HITCH, FLAT, FLAT, HITCH",IN,Pistol Quick Pass,1
2022102309,391,1,deep,SHOTGUN,2x2,left,20,77,Man,5-2 Defense,67.0,Cover-1,"FLAT, GO, GO, GO, FLAT",I,Flood Concept (Intermediate Stretch),1
2022102309,826,1,short,SINGLEBACK,3x1,right,10,33,Man,5-2 Defense,23.0,Cover-1,"CORNER, CROSS, FLAT, FLAT, OUT",I,Midfield Short Pass,1
2022103011,136,1,short,SHOTGUN,2x2,right,10,68,Man,4-3 Defense,58.0,Cover-0,"HITCH, CROSS, GO, CROSS, FLAT",I,Short Right Pass,1
2022103011,597,1,short,SINGLEBACK,3x1,left,10,69,Zone,4-3 Defense,59.0,Cover-3,"OUT, CORNER, SCREEN, CROSS, FLAT",C,Short Left Pass,1
2022103011,797,1,short,SINGLEBACK,3x1,left,10,79,Zone,4-2-5 Nickel,69.0,Cover-3,"CROSS, CROSS, CORNER, CROSS, FLAT",C,Short Left Pass,1
2022103011,821,1,short,EMPTY,3x2,left,10,63,Zone,4-2-5 Nickel,53.0,Cover-6 Right,"GO, GO, HITCH, OUT, SLANT",C,Short Left Pass,1
2022103011,895,1,deep,SHOTGUN,3x1,left,10,52,Man,3-1-7 Quarter,42.0,Cover-1,"GO, HITCH, GO, ANGLE, FLAT",I,Shotgun Isolation Deep Attack,1
2022110608,67,1,short,SINGLEBACK,2x2,right,10,75,Zone,3-4 Defense,65.0,Cover-3 Seam,"CROSS, GO, CROSS, CROSS, ANGLE",C,Singleback Balanced Short Pass,1
2022110608,169,1,short,SHOTGUN,2x2,right,5,54,Zone,Heavy DE Front,44.0,Cover-6 Right,"CROSS, GO, OUT, ANGLE, GO",C,Short Right Pass,1
2022110608,568,1,short,SINGLEBACK,2x2,right,10,85,Zone,3-4 Defense,75.0,Cover-3,"CORNER, FLAT, HITCH, CROSS, FLAT",C,Singleback Balanced Short Pass,1
2022110608,753,1,short,EMPTY,3x2,right,10,89,Zone,3-4 Defense,79.0,Cover-3,"HITCH, GO, HITCH, HITCH, SCREEN",C,Short Right Pass,1
2022091200,85,2,short,EMPTY,4x1,right,10,40,Zone,3-4 Defense,70.0,Cover-6 Right,"POST, GO, SCREEN, GO, SLANT",C,Short Right Pass,1
2022091200,664,2,short,EMPTY,4x1,right,6,98,Other,3-4 Defense,12.0,Red Zone,"IN, CROSS, SCREEN, HITCH",C,Short Right Pass,1
2022092511,656,2,short,SINGLEBACK,2x2,right,5,55,Zone,5-2 Defense,55.0,Cover-2,"CORNER, FLAT, FLAT, CROSS, IN",C,Singleback Balanced Short Pass,1
2022092511,735,2,deep,EMPTY,3x2,middle,13,92,Zone,5-2 Defense,18.0,Cover-2,"GO, GO, GO, SLANT, FLAT",C,Spread Deep Attack from Empty 3x2 Alignment,1
2022100205,211,2,deep,SINGLEBACK,2x2,middle,2,66,Man,5-2 Defense,44.0,Cover-0,"POST, ANGLE, CROSS",I,Second-and-Short Deep Shot,1
2022100205,326,2,short,SINGLEBACK,2x2,right,5,83,Zone,5-2 Defense,27.0,Cover-3,"FLAT, CORNER, CROSS, CROSS, CROSS",C,Singleback Balanced Short Pass,1
2022100906,343,2,short,SINGLEBACK,3x1,middle,5,40,Man,4-3 Defense,70.0,2-Man,"HITCH, FLAT, SCREEN, SLANT, HITCH",C,Midfield Short Pass,1
2022101609,353,2,short,EMPTY,3x2,left,15,30,Zone,3-4 Defense,80.0,Cover-2,"CROSS, IN, HITCH, POST, HITCH",C,Short Left Pass,1
2022101609,462,2,short,SHOTGUN,3x1,left,6,95,Zone,3-4 Defense,15.0,Cover-3 Seam,"CROSS, HITCH, GO, CORNER, FLAT",I,Short Left Pass,1
2022102309,413,2,short,SHOTGUN,3x1,right,20,77,Zone,5-2 Defense,67.0,Cover-6 Right,"FLAT, HITCH, HITCH, HITCH, OUT",C,Short Right Pass,1
2022102309,523,2,short,SHOTGUN,2x2,left,13,59,Zone,5-2 Defense,49.0,Cover-3,"OUT, POST, SLANT, ANGLE, SCREEN",C,Short Left Pass,1
2022102309,597,2,deep,SHOTGUN,2x2,middle,14,30,Zone,5-2 Defense,20.0,Cover-6 Right,"HITCH, GO, POST, CORNER, FLAT",I,Scoring Zone Deep Pass,1
2022102309,1073,2,deep,PISTOL,3x1,left,9,28,Zone,5-2 Defense,18.0,Cover-3 Seam,"HITCH, GO, GO, FLAT",I,Pistol Deep Attack,1
2022103011,84,2,short,SHOTGUN,3x1,right,7,78,Zone,4-3 Defense,68.0,Quarters,"CORNER, SCREEN, OUT",C,Short Right Pass,1
2022103011,158,2,short,PISTOL,3x1,right,10,68,Man,4-3 Defense,58.0,Cover-0,"HITCH, HITCH, SLANT, HITCH, FLAT",I,Pistol Quick Pass,1
2022103011,342,2,short,SINGLEBACK,2x2,right,7,93,Man,4-2-5 Nickel,83.0,Cover-0,"OUT, CROSS, CROSS, SCREEN, CROSS",C,Singleback Balanced Short Pass,1
2022103011,392,2,short,EMPTY,3x2,right,9,83,Man,4-2-5 Nickel,73.0,Cover-1,"SLANT, HITCH, HITCH, FLAT, FLAT",C,Short Right Pass,1
2022110608,592,2,short,SHOTGUN,2x2,middle,11,86,Zone,3-4 Defense,76.0,Cover-2,"SLANT, POST, SLANT, SLANT, ANGLE",C,Short Middle Pass,1
2022091200,109,3,short,SHOTGUN,2x2,middle,3,47,Zone,3-4 Defense,63.0,Cover-3 Seam,"OUT, POST, HITCH, IN, FLAT",C,Short Middle Pass,1
2022091200,201,3,short,SHOTGUN,2x2,left,2,72,Man,3-4 Defense,38.0,Cover-1,"GO, CROSS, HITCH, HITCH",C,Short Left Pass,1
2022091200,688,3,short,SINGLEBACK,2x2,right,2,102,Other,3-4 Defense,8.0,Red Zone,"CORNER, CROSS, CROSS, FLAT, SCREEN",C,Short Yardage Pass,1
2022092511,187,3,short,SHOTGUN,3x1,right,9,76,Man,Interior DL Heavy,34.0,2-Man,"HITCH, POST, OUT, GO",C,Short Right Pass,1
2022092511,269,3,short,SHOTGUN,2x2,left,3,96,Man,5-2 Defense,14.0,Cover-1,"SLANT, OUT, GO, CROSS",I,Short Left Pass,1
2022092511,685,3,deep,SINGLEBACK,3x1,right,1,59,Zone,5-2 Defense,51.0,Cover-3,"CROSS, CORNER",C,Short Yardage Pass,1
2022100205,158,3,short,SHOTGUN,3x1,left,3,52,Man,5-2 Defense,58.0,Cover-1,"CROSS, CROSS, FLAT, CROSS, CROSS",C,Short Left Pass,1
2022100906,413,3,deep,SHOTGUN,3x1,left,5,60,Man,Big Nickel,50.0,Cover-1,"OUT, CROSS, HITCH, FLAT, GO",C,Shotgun Isolation Deep Attack,1
2022102309,547,3,short,EMPTY,4x1,left,1,47,Zone,5-2 Defense,37.0,Cover-3,"CROSS, CORNER, HITCH, CROSS, FLAT",C,Short Left Pass,1
2022102309,619,3,deep,SHOTGUN,3x1,right,14,30,Zone,5-2 Defense,20.0,Quarters,"GO, IN, POST, HITCH, FLAT",C,Third-and-Long Deep Attack,1
2022103011,180,3,deep,SHOTGUN,3x1,left,10,68,Man,4-2-5 Nickel,58.0,Cover-1,"HITCH, HITCH, CORNER, IN",I,Third-and-Long Deep Attack,1
2022103011,424,3,short,EMPTY,3x2,middle,8,82,Man,4-2-5 Nickel,72.0,Cover-1,"GO, IN, GO, IN, IN",I,Short Middle Pass,1
2022103011,668,3,short,SHOTGUN,2x2,right,5,51,Man,4-2-5 Nickel,41.0,Cover-1,"HITCH, GO, IN, FLAT, SLANT",I,Short Right Pass,1
2022103011,864,3,short,EMPTY,3x2,left,14,67,Zone,3-1-7 Quarter,57.0,Quarters,"HITCH, HITCH, FLAT, HITCH",C,Short Left Pass,1
2022110608,112,3,short,SHOTGUN,3x1,right,10,75,Zone,Big Secondary and LB,65.0,Cover 6-Left,"SLANT, CROSS, POST, FLAT, IN",C,Short Right Pass,1
2022110608,247,3,short,SHOTGUN,3x1,left,6,41,Man,Big Secondary and LB,31.0,Cover-1,"CROSS, SLANT, GO, FLAT, CROSS",I,Short Left Pass,1
2022110608,616,3,deep,SHOTGUN,3x1,left,7,82,Man,3-4 Defense,72.0,2-Man,"HITCH, IN, HITCH, IN, FLAT",I,Third-and-Long Deep Attack,1
2022110608,798,3,short,SHOTGUN,3x1,middle,3,82,Zone,Big Secondary and LB,72.0,Cover-2,"HITCH, HITCH, GO, CROSS",C,Short Middle Pass,1
2022091200,1057,1,short,SHOTGUN,2x2,right,10,79,Zone,3-4 Defense,69.0,Cover-6 Right,"SLANT, GO, GO, WHEEL, CROSS",C,Short Right Pass,2
2022091200,1409,1,short,PISTOL,1x1,right,10,85,Zone,3-4 Defense,75.0,Cover 6-Left,"GO, FLAT, GO, ANGLE",C,Pistol Quick Pass,2
2022091200,1465,1,short,SINGLEBACK,2x2,left,10,73,Zone,3-4 Defense,63.0,Cover-3 Seam,"GO, FLAT, OUT",I,Singleback Balanced Short Pass,2
2022091200,1521,1,short,SINGLEBACK,2x2,right,10,57,Zone,3-4 Defense,47.0,Cover-6 Right,"CROSS, FLAT, CROSS, CORNER, CROSS",C,Singleback Balanced Short Pass,2
2022091200,1550,1,short,SINGLEBACK,3x1,left,10,39,Zone,3-4 Defense,29.0,Cover-3,"SLANT, ANGLE, SLANT, SCREEN, SLANT",C,Midfield Short Pass,2
2022092511,1080,1,short,PISTOL,3x1,right,10,77,Zone,Interior DL Heavy,67.0,Quarters,"OUT, HITCH, GO, HITCH, FLAT",C,Pistol Quick Pass,2
2022092511,1485,1,short,SHOTGUN,2x2,middle,10,75,Zone,5-2 Defense,65.0,Cover-2,"CORNER, POST, CROSS, FLAT, OUT",C,Short Middle Pass,2
2022092511,1614,1,deep,PISTOL,2x2,left,10,28,Man,Interior DL Heavy,18.0,Cover-1,"GO, ANGLE, GO, GO, GO",C,Pistol Deep Attack,2
2022092511,1752,1,short,SINGLEBACK,3x1,right,10,90,Zone,Interior DL Heavy,80.0,Cover-2,"CROSS, FLAT, CROSS, CROSS, CORNER",C,Short Right Pass,2
2022092511,1835,1,short,EMPTY,3x2,middle,10,77,Zone,5-2 Defense,67.0,Quarters,"OUT, POST, POST, SLANT, SLANT",C,Short Middle Pass,2
2022092511,1962,1,short,SHOTGUN,2x2,middle,10,30,Zone,Interior DL Heavy,20.0,Cover-2,"HITCH, GO, POST, ANGLE, POST",C,Short Middle Pass,2
2022100205,1360,1,short,SHOTGUN,3x1,left,20,56,Man,5-2 Defense,46.0,Cover-1,"GO, GO, HITCH, SLANT, SCREEN",C,Short Left Pass,2
2022100205,1700,1,short,SHOTGUN,2x2,right,2,12,Man,5-2 Defense,2.0,Cover-0,"GO, HITCH, ANGLE, FLAT, HITCH",C,Short Right Pass,2
2022100906,1178,1,short,SHOTGUN,3x1,left,10,85,Zone,4-3 Defense,75.0,Cover-2,"GO, FLAT, CROSS, CROSS, POST",C,Short Left Pass,2
2022100906,1575,1,short,PISTOL,3x1,left,10,85,Man,4-3 Defense,75.0,Cover-0,"GO, SLANT, HITCH, HITCH",I,Pistol Quick Pass,2
2022100906,1625,1,deep,SINGLEBACK,3x1,left,10,70,Man,4-3 Defense,60.0,Cover-1,"CROSS, CORNER, OUT, FLAT",C,First Down Play Action Deep Pass,2
2022100906,1658,1,short,EMPTY,3x2,left,10,38,Zone,4-3 Defense,28.0,Quarters,"GO, GO, GO, IN, GO",I,Short Left Pass,2
