displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Brandon Aiyuk,CORNER,5,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Aiyuk,CROSS,19,8.05,5.0,1.0,0.0,0.0,0.0,50.0,10.0,2.0,0.0,0.0,0.0
Brandon Aiyuk,FLAT,9,3.81,0.0,1.0,0.0,0.0,0.0,50.0,0.0,2.0,0.0,0.0,0.0
Brandon Aiyuk,GO,50,21.19,1.0,3.0,0.0,0.0,0.0,50.0,2.0,6.0,0.0,0.0,0.0
Brandon Aiyuk,HITCH,33,13.98,3.0,1.0,0.0,0.0,0.0,50.0,6.0,2.0,0.0,0.0,0.0
Brandon Aiyuk,IN,33,13.98,6.0,2.0,0.0,0.0,0.0,50.0,12.0,4.0,0.0,0.0,0.0
Brandon Aiyuk,OUT,23,9.75,7.0,2.0,0.0,0.0,0.0,50.0,14.0,4.0,0.0,0.0,0.0
Brandon Aiyuk,POST,32,13.56,4.0,3.0,0.0,0.0,0.0,50.0,8.0,6.0,0.0,0.0,0.0
Brandon Aiyuk,SCREEN,8,3.39,3.0,0.0,0.0,0.0,0.0,50.0,6.0,0.0,0.0,0.0,0.0
Brandon Aiyuk,SLANT,24,10.17,6.0,2.0,0.0,0.0,0.0,50.0,12.0,4.0,0.0,0.0,0.0
Charlie Woerner,CORNER,2,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Woerner,CROSS,6,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Woerner,FLAT,7,21.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Woerner,GO,5,15.15,0.0,1.0,0.0,0.0,0.0,2.0,0.0,50.0,0.0,0.0,0.0
Charlie Woerner,HITCH,5,15.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Woerner,IN,3,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Woerner,POST,1,3.03,0.0,1.0,0.0,0.0,0.0,2.0,0.0,50.0,0.0,0.0,0.0
Charlie Woerner,SCREEN,2,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Woerner,SLANT,2,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian McCaffrey,ANGLE,9,28.12,1.0,1.0,0.0,0.0,0.0,11.0,9.09,9.09,0.0,0.0,0.0
Christian McCaffrey,FLAT,8,25.0,5.0,0.0,0.0,0.0,0.0,11.0,45.45,0.0,0.0,0.0,0.0
Christian McCaffrey,GO,6,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian McCaffrey,HITCH,1,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian McCaffrey,IN,1,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian McCaffrey,OUT,2,6.25,1.0,0.0,0.0,0.0,0.0,11.0,9.09,0.0,0.0,0.0,0.0
Christian McCaffrey,SCREEN,5,15.62,3.0,0.0,0.0,0.0,0.0,11.0,27.27,0.0,0.0,0.0,0.0
Danny Gray,CORNER,3,18.75,0.0,2.0,0.0,0.0,0.0,6.0,0.0,33.33,0.0,0.0,0.0
Danny Gray,CROSS,3,18.75,0.0,2.0,0.0,0.0,0.0,6.0,0.0,33.33,0.0,0.0,0.0
Danny Gray,GO,3,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Gray,HITCH,2,12.5,0.0,1.0,0.0,0.0,0.0,6.0,0.0,16.67,0.0,0.0,0.0
