gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091102,239,1,deep,SINGLEBACK,3x1,left,10,63,Zone,5-2 Defense,47.0,Cover-3,"CROSS, CROSS, CROSS, CROSS, FLAT",C,First Down Play Action Deep Pass,1
2022091102,552,1,deep,I_FORM,2x1,left,10,78,Zone,5-2 Defense,32.0,Cover-3,"FLAT, CROSS, CROSS, CORNER, FLAT",I,First Down Play Action Deep Pass,1
2022091808,98,1,short,SHOTGUN,2x2,right,10,73,Zone,3-4 Defense,63.0,Cover-3,"FLAT, IN, GO, ANGLE, OUT",C,Short Right Pass,1
2022092513,296,1,deep,EMPTY,3x2,middle,10,85,Zone,3-4 Defense,75.0,Cover-3 Seam,"GO, GO, IN, HITCH, POST",C,Spread Deep Attack from Empty 3x2 Alignment,1
2022092513,341,1,short,EMPTY,3x2,middle,10,28,Zone,3-4 Defense,18.0,Quarters,"OUT, SLANT, GO, SLANT, GO",C,Short Middle Pass,1
2022092513,386,1,short,SINGLEBACK,3x1,right,8,18,Zone,3-4 Defense,8.0,Cover-3,"SCREEN, FLAT, SCREEN, GO, GO",C,Red Zone Short Pass,1
2022092513,579,1,short,SINGLEBACK,3x1,middle,10,91,Zone,3-4 Defense,81.0,Quarters,"CROSS, SLANT, SLANT",C,Short Middle Pass,1
2022100300,438,1,short,SHOTGUN,3x1,left,10,85,Zone,3-4 Defense,75.0,Cover-3,"FLAT, FLAT, IN, ANGLE, SLANT",C,Short Left Pass,1
2022100300,775,1,short,SHOTGUN,3x1,right,10,84,Zone,3-4 Defense,74.0,Cover-3,"CROSS, CROSS, POST",C,Short Right Pass,1
2022100910,55,1,short,I_FORM,2x1,right,10,85,Zone,Interior DL Heavy,75.0,Cover-3,"CROSS, ANGLE, CROSS, CORNER",C,Short Right Pass,1
2022100910,181,1,short,SINGLEBACK,3x1,middle,9,19,Other,3-1-7 Quarter,9.0,Red Zone,"FLAT, SCREEN, SLANT, HITCH",I,Red Zone Short Pass,1
2022100910,400,1,deep,SHOTGUN,2x2,middle,10,85,Zone,4-3 Defense,75.0,Cover-3,"CROSS, CROSS, IN, POST",I,Deep Middle Pass,1
