displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Breshad Perriman,CORNER,5,5.43,0.0,1.0,0.0,0.0,0.0,15.0,0.0,6.67,0.0,0.0,0.0
Breshad Perriman,CROSS,7,7.61,2.0,1.0,0.0,0.0,0.0,15.0,13.33,6.67,0.0,0.0,0.0
Breshad Perriman,FLAT,5,5.43,2.0,0.0,0.0,0.0,0.0,15.0,13.33,0.0,0.0,0.0,0.0
Breshad Perriman,GO,25,27.17,1.0,1.0,0.0,0.0,0.0,15.0,6.67,6.67,0.0,0.0,0.0
Breshad Perriman,HITCH,5,5.43,0.0,1.0,0.0,0.0,0.0,15.0,0.0,6.67,0.0,0.0,0.0
Breshad Perriman,IN,7,7.61,0.0,1.0,0.0,0.0,0.0,15.0,0.0,6.67,0.0,0.0,0.0
Breshad Perriman,OUT,10,10.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breshad Perriman,POST,14,15.22,0.0,2.0,0.0,0.0,0.0,15.0,0.0,13.33,0.0,0.0,0.0
Breshad Perriman,SCREEN,5,5.43,2.0,0.0,0.0,0.0,0.0,15.0,13.33,0.0,0.0,0.0,0.0
Breshad Perriman,SLANT,9,9.78,1.0,0.0,0.0,0.0,0.0,15.0,6.67,0.0,0.0,0.0,0.0
Cade Otton,CORNER,6,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cade Otton,CROSS,24,11.32,1.0,0.0,0.0,0.0,0.0,30.0,3.33,0.0,0.0,0.0,0.0
Cade Otton,FLAT,26,12.26,6.0,0.0,0.0,0.0,0.0,30.0,20.0,0.0,0.0,0.0,0.0
Cade Otton,GO,37,17.45,2.0,1.0,0.0,0.0,0.0,30.0,6.67,3.33,0.0,0.0,0.0
Cade Otton,HITCH,31,14.62,4.0,0.0,0.0,0.0,0.0,30.0,13.33,0.0,0.0,0.0,0.0
Cade Otton,IN,21,9.91,2.0,3.0,0.0,0.0,0.0,30.0,6.67,10.0,0.0,0.0,0.0
Cade Otton,OUT,38,17.92,5.0,3.0,0.0,0.0,0.0,30.0,16.67,10.0,0.0,0.0,0.0
Cade Otton,POST,17,8.02,1.0,1.0,0.0,0.0,0.0,30.0,3.33,3.33,0.0,0.0,0.0
Cade Otton,SCREEN,4,1.89,0.0,1.0,0.0,0.0,0.0,30.0,0.0,3.33,0.0,0.0,0.0
Cade Otton,SLANT,8,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Brate,CORNER,3,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Brate,CROSS,9,7.63,1.0,1.0,0.0,0.0,0.0,22.0,4.55,4.55,0.0,0.0,0.0
Cameron Brate,FLAT,15,12.71,2.0,1.0,0.0,0.0,0.0,22.0,9.09,4.55,0.0,0.0,0.0
Cameron Brate,GO,15,12.71,0.0,2.0,0.0,0.0,0.0,22.0,0.0,9.09,0.0,0.0,0.0
Cameron Brate,HITCH,14,11.86,1.0,0.0,0.0,0.0,0.0,22.0,4.55,0.0,0.0,0.0,0.0
Cameron Brate,IN,12,10.17,1.0,0.0,0.0,0.0,0.0,22.0,4.55,0.0,0.0,0.0,0.0
