gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091113,413,1,short,SHOTGUN,2x2,left,15,30,Zone,5-2 Defense,80.0,Cover-3,"SCREEN, SCREEN, ANGLE, SCREEN",C,Short Left Pass,1
2022091113,708,1,deep,I_FORM,2x1,left,10,41,Zone,5-2 Defense,69.0,Quarters,"IN, OUT, ANGLE, POST, ANGLE",C,First Down Play Action Deep Pass,1
2022091113,732,1,short,SHOTGUN,2x2,right,10,60,Zone,5-2 Defense,50.0,Quarters,"SCREEN, FLAT, SCREEN, FLAT",C,Short Right Pass,1
2022092512,54,1,deep,SINGLEBACK,2x2,left,10,35,Man,3-4 Defense,75.0,Cover-1,"CROSS, OUT, IN, SLANT",C,First Down Play Action Deep Pass,1
2022092512,165,1,short,I_FORM,2x1,left,10,72,Man,3-4 Defense,38.0,Cover-1,"OUT, POST, IN, FLAT, OUT",C,Short Left Pass,1
2022100213,210,1,short,SINGLEBACK,2x2,left,10,66,Zone,5-2 Defense,44.0,Quarters,"GO, GO, OUT, SCREEN, IN",C,Singleback Balanced Short Pass,1
2022100908,63,1,short,SINGLEBACK,3x1,left,10,91,Zone,5-2 Defense,81.0,Cover-3,"GO, ANGLE, POST, POST, HITCH",I,Short Left Pass,1
2022100908,435,1,short,PISTOL,2x1,right,10,58,Zone,Interior DL Heavy,48.0,Cover-3,"FLAT, FLAT, GO, FLAT",C,Pistol Quick Pass,1
2022100908,528,1,short,SINGLEBACK,2x2,left,10,34,Zone,5-2 Defense,24.0,Cover-3,"IN, OUT, POST, FLAT, SCREEN",C,Midfield Short Pass,1
2022101607,510,1,short,SINGLEBACK,3x1,middle,10,69,Zone,5-2 Defense,59.0,Cover-2,"GO, CROSS, GO",I,Short Middle Pass,1
2022101607,633,1,short,SHOTGUN,2x2,middle,10,38,Zone,3-4 Defense,28.0,Cover-6 Right,"GO, POST, ANGLE, OUT, HITCH",C,Short Middle Pass,1
2022101607,678,1,deep,SHOTGUN,2x2,middle,10,27,Zone,3-4 Defense,17.0,Cover-3,"OUT, GO, FLAT, OUT, GO",I,Scoring Zone Deep Pass,1
2022101607,914,1,short,I_FORM,2x1,right,10,64,Zone,5-2 Defense,54.0,Cover-2,"IN, ANGLE, OUT, OUT",I,Short Right Pass,1
