displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Austin Hooper,CORNER,9,8.74,2.0,0.0,0.0,0.0,0.0,15.0,13.33,0.0,0.0,0.0,0.0
Austin Hooper,CROSS,12,11.65,1.0,0.0,0.0,0.0,0.0,15.0,6.67,0.0,0.0,0.0,0.0
Austin Hooper,FLAT,16,15.53,4.0,0.0,0.0,0.0,0.0,15.0,26.67,0.0,0.0,0.0,0.0
Austin Hooper,GO,14,13.59,1.0,2.0,0.0,0.0,0.0,15.0,6.67,13.33,0.0,0.0,0.0
Austin Hooper,HITCH,17,16.5,1.0,0.0,0.0,0.0,0.0,15.0,6.67,0.0,0.0,0.0,0.0
Austin Hooper,IN,6,5.83,1.0,0.0,0.0,0.0,0.0,15.0,6.67,0.0,0.0,0.0,0.0
Austin Hooper,OUT,13,12.62,1.0,1.0,0.0,0.0,0.0,15.0,6.67,6.67,0.0,0.0,0.0
Austin Hooper,POST,7,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Hooper,SCREEN,2,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Hooper,SLANT,7,6.8,1.0,0.0,0.0,0.0,0.0,15.0,6.67,0.0,0.0,0.0,0.0
Chigoziem Okonkwo,CORNER,1,2.5,0.0,1.0,0.0,0.0,0.0,11.0,0.0,9.09,0.0,0.0,0.0
Chigoziem Okonkwo,CROSS,10,25.0,2.0,2.0,0.0,0.0,0.0,11.0,18.18,18.18,0.0,0.0,0.0
Chigoziem Okonkwo,FLAT,6,15.0,1.0,1.0,0.0,0.0,0.0,11.0,9.09,9.09,0.0,0.0,0.0
Chigoziem Okonkwo,GO,7,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chigoziem Okonkwo,IN,2,5.0,1.0,0.0,0.0,0.0,0.0,11.0,9.09,0.0,0.0,0.0,0.0
Chigoziem Okonkwo,OUT,4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chigoziem Okonkwo,POST,6,15.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,9.09,0.0,0.0,0.0
Chigoziem Okonkwo,SCREEN,1,2.5,1.0,0.0,0.0,0.0,0.0,11.0,9.09,0.0,0.0,0.0,0.0
Chigoziem Okonkwo,SLANT,1,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chigoziem Okonkwo,WHEEL,2,5.0,1.0,0.0,0.0,0.0,0.0,11.0,9.09,0.0,0.0,0.0,0.0
Chris Conley,GO,1,25.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0
Chris Conley,HITCH,2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Conley,SLANT,1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Hollister,CORNER,2,5.13,2.0,0.0,0.0,0.0,0.0,4.0,50.0,0.0,0.0,0.0,0.0
Cody Hollister,CROSS,9,23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Hollister,FLAT,3,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Hollister,GO,10,25.64,0.0,1.0,0.0,0.0,0.0,4.0,0.0,25.0,0.0,0.0,0.0
Cody Hollister,HITCH,5,12.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Hollister,IN,2,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Hollister,OUT,2,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Hollister,POST,4,10.26,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,25.0,0.0,0.0
Cody Hollister,SLANT,2,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Henry,ANGLE,18,25.35,3.0,1.0,0.0,0.0,0.0,18.0,16.67,5.56,0.0,0.0,0.0
Derrick Henry,FLAT,35,49.3,6.0,2.0,0.0,0.0,0.0,18.0,33.33,11.11,0.0,0.0,0.0
Derrick Henry,GO,2,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Henry,HITCH,4,5.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Henry,OUT,3,4.23,1.0,0.0,0.0,0.0,0.0,18.0,5.56,0.0,0.0,0.0,0.0
Derrick Henry,SCREEN,6,8.45,4.0,1.0,0.0,0.0,0.0,18.0,22.22,5.56,0.0,0.0,0.0
Derrick Henry,SLANT,1,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Henry,WHEEL,2,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dez Fitzpatrick,GO,2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dontrell Hilliard,ANGLE,8,14.55,4.0,0.0,0.0,0.0,0.0,18.0,22.22,0.0,0.0,0.0,0.0
Dontrell Hilliard,CROSS,5,9.09,1.0,0.0,0.0,0.0,0.0,18.0,5.56,0.0,0.0,0.0,0.0
Dontrell Hilliard,FLAT,21,38.18,4.0,1.0,0.0,0.0,0.0,18.0,22.22,5.56,0.0,0.0,0.0
Dontrell Hilliard,GO,3,5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dontrell Hilliard,OUT,10,18.18,2.0,3.0,0.0,0.0,0.0,18.0,11.11,16.67,0.0,0.0,0.0
Dontrell Hilliard,SCREEN,3,5.45,2.0,0.0,0.0,0.0,0.0,18.0,11.11,0.0,0.0,0.0,0.0
Dontrell Hilliard,WHEEL,5,9.09,1.0,0.0,0.0,0.0,0.0,18.0,5.56,0.0,0.0,0.0,0.0
