gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091108,240,1,short,SHOTGUN,2x2,left,7,17,Man,3-4 Defense,7.0,Cover-1,"IN, OUT, WHEEL, CROSS, GO",C,Short Left Pass,1
2022091108,729,1,deep,I_FORM,2x1,left,10,91,Zone,3-4 Defense,81.0,Cover-3,"CROSS, CROSS, FLAT, ANGLE, GO",I,First Down Play Action Deep Pass,1
2022091900,411,1,short,SINGLEBACK,3x1,middle,10,35,Zone,4-3 Defense,75.0,Cover-3,"CROSS, CROSS, FLAT, GO, SLANT",C,Midfield Short Pass,1
2022091900,562,1,short,SHOTGUN,2x2,right,10,99,Other,4-3 Defense,11.0,Red Zone,"GO, POST, FLAT, GO, GO",I,Short Right Pass,1
2022092507,101,1,short,SHOTGUN,2x1,middle,10,55,Zone,Other,55.0,Cover-3,"POST, GO, HITCH",I,Short Middle Pass,1
2022092507,310,1,short,SHOTGUN,2x2,middle,10,99,Other,Other,11.0,Red Zone,"POST, ANGLE, IN, CROSS, GO",C,Short Middle Pass,1
2022100207,446,1,short,I_FORM,2x1,right,7,17,Other,Big Nickel,7.0,Red Zone,"CROSS, ANGLE, POST, OUT",C,Short Right Pass,1
2022100207,657,1,short,SINGLEBACK,3x1,left,10,74,Zone,Big Nickel,64.0,Cover-3,"GO, SCREEN, CROSS, GO",C,Short Left Pass,1
2022100207,681,1,deep,I_FORM,2x1,left,10,52,Zone,Big Nickel,42.0,Cover-3,"CROSS, POST, WHEEL",C,First Down Play Action Deep Pass,1
2022100909,577,1,short,SINGLEBACK,2x2,right,10,58,Zone,5-2 Defense,52.0,Cover-3,"OUT, HITCH, HITCH, OUT",C,Singleback Balanced Short Pass,1
2022100909,694,1,short,SHOTGUN,2x1,middle,10,97,Zone,5-2 Defense,13.0,Cover-3,"GO, FLAT, SCREEN, SLANT, SLANT",C,Short Middle Pass,1
2022102305,74,1,short,SHOTGUN,3x1,right,10,93,Zone,Big Nickel,83.0,Cover-3,"OUT, ANGLE, CROSS, HITCH, OUT",C,Short Right Pass,1
2022102305,401,1,deep,I_FORM,2x1,left,10,65,Zone,Big Nickel,55.0,Cover-3,"IN, ANGLE, CORNER, OUT",C,First Down Play Action Deep Pass,1
2022102305,501,1,short,SHOTGUN,2x2,left,10,22,Other,Big Nickel,12.0,Red Zone,"POST, POST, GO, OUT, GO",I,Short Left Pass,1
2022102305,758,1,short,I_FORM,2x1,right,10,90,Zone,Big Nickel,80.0,Cover-3,"CROSS, FLAT, GO, WHEEL",C,Short Right Pass,1
2022110610,544,1,short,SHOTGUN,3x1,right,10,28,Man,5-2 Defense,82.0,Cover-1,"FLAT, FLAT, SLANT, GO, SCREEN",C,Short Right Pass,1
2022091108,171,2,short,SINGLEBACK,3x1,middle,10,55,Zone,3-4 Defense,45.0,Cover-3,"CROSS, GO",C,Short Middle Pass,1
2022091108,216,2,short,SHOTGUN,2x2,left,5,37,Man,3-4 Defense,27.0,Cover-1,"CORNER, FLAT, FLAT, CROSS, CROSS",C,Short Left Pass,1
2022091108,705,2,short,EMPTY,3x2,middle,7,100,Zone,3-4 Defense,90.0,Cover-3 Seam,"GO, HITCH, GO, GO, GO",C,Short Middle Pass,1
2022091900,463,2,short,EMPTY,3x2,left,8,51,Zone,4-3 Defense,59.0,Cover-6 Right,"HITCH, FLAT, HITCH, FLAT, IN",C,Short Left Pass,1
2022091900,531,2,deep,I_FORM,2x0,right,1,80,Zone,4-3 Defense,30.0,Quarters,"FLAT, CORNER, GO",C,Second-and-Short Deep Shot,1
2022091900,965,2,short,SHOTGUN,3x1,left,6,45,Man,4-3 Defense,65.0,Cover-1,"GO, HITCH, OUT, OUT, HITCH",I,Short Left Pass,1
2022092507,77,2,short,SHOTGUN,2x2,right,13,32,Zone,Other,78.0,Cover-3,"GO, IN, SCREEN, IN, CROSS",C,Short Right Pass,1
2022092507,281,2,short,SHOTGUN,2x2,middle,12,83,Man,Other,27.0,Cover-1,"GO, SLANT, FLAT, SLANT",C,Short Middle Pass,1
2022092507,697,2,short,SHOTGUN,3x1,middle,8,37,Zone,Other,73.0,Cover-3,"FLAT, ANGLE, POST, FLAT, HITCH",C,Short Middle Pass,1
2022092507,742,2,deep,SINGLEBACK,3x1,left,5,55,Zone,Other,55.0,Cover-3,"CROSS, WHEEL, GO",C,Spread Misdirection Play,1
