passer_player_name,receiver_player_name,pass_location,passResult,pass_count,C,I,IN,total_passes,C %,I %,S %,IN %,R %,left %,middle %,right %,C left %,C middle %,C right %,I left %,I middle %,I right %,S left %,S middle %,S right %,IN left %,IN middle %,IN right %,R left %,R middle %,R right %
C.Wentz,A.Gibson,left,C,6,18,4,1,23,78.26,17.39,0.0,4.35,0.0,26.09,0.0,0.0,26.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.Wentz,A.Gibson,left,I,1,18,4,1,23,78.26,17.39,0.0,4.35,0.0,4.35,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.Wentz,A.Gibson,middle,C,5,18,4,1,23,78.26,17.39,0.0,4.35,0.0,0.0,21.74,0.0,0.0,21.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.Wentz,A.Gibson,middle,I,1,18,4,1,23,78.26,17.39,0.0,4.35,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.Wentz,A.Gibson,middle,IN,1,18,4,1,23,78.26,17.39,0.0,4.35,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0
C.Wentz,A.Gibson,right,C,7,18,4,1,23,78.26,17.39,0.0,4.35,0.0,0.0,0.0,30.43,0.0,0.0,30.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.Wentz,A.Gibson,right,I,2,18,4,1,23,78.26,17.39,0.0,4.35,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.Wentz,A.Rogers,left,C,1,1,0,0,1,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.Wentz,C.Samuel,left,C,9,34,14,1,49,69.39,28.57,0.0,2.04,0.0,18.37,0.0,0.0,18.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.Wentz,C.Samuel,left,I,1,34,14,1,49,69.39,28.57,0.0,2.04,0.0,2.04,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
