displayName,routeRan,route_count,route %,C,I,IN,R,S,total_passes,C %,I %,IN %,R %,S %
Alex Armah,OUT,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Gibson,ANGLE,14,12.17,6.0,0.0,0.0,0.0,0.0,37.0,16.22,0.0,0.0,0.0,0.0
Antonio Gibson,CROSS,2,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Gibson,FLAT,57,49.57,8.0,3.0,0.0,0.0,0.0,37.0,21.62,8.11,0.0,0.0,0.0
Antonio Gibson,GO,3,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Gibson,HITCH,1,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Gibson,IN,1,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Gibson,OUT,19,16.52,5.0,1.0,0.0,0.0,0.0,37.0,13.51,2.7,0.0,0.0,0.0
Antonio Gibson,POST,1,0.87,1.0,0.0,0.0,0.0,0.0,37.0,2.7,0.0,0.0,0.0,0.0
Antonio Gibson,SCREEN,11,9.57,6.0,1.0,1.0,0.0,0.0,37.0,16.22,2.7,2.7,0.0,0.0
Antonio Gibson,SLANT,2,1.74,2.0,0.0,0.0,0.0,0.0,37.0,5.41,0.0,0.0,0.0,0.0
Antonio Gibson,WHEEL,4,3.48,2.0,1.0,0.0,0.0,0.0,37.0,5.41,2.7,0.0,0.0,0.0
Armani Rogers,CORNER,3,5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armani Rogers,CROSS,10,19.23,1.0,1.0,0.0,0.0,0.0,6.0,16.67,16.67,0.0,0.0,0.0
Armani Rogers,FLAT,12,23.08,1.0,0.0,0.0,0.0,0.0,6.0,16.67,0.0,0.0,0.0,0.0
Armani Rogers,GO,11,21.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armani Rogers,HITCH,3,5.77,1.0,0.0,0.0,0.0,0.0,6.0,16.67,0.0,0.0,0.0,0.0
Armani Rogers,OUT,6,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armani Rogers,POST,2,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armani Rogers,SCREEN,2,3.85,2.0,0.0,0.0,0.0,0.0,6.0,33.33,0.0,0.0,0.0,0.0
Armani Rogers,SLANT,1,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armani Rogers,WHEEL,2,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Robinson,ANGLE,4,14.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Robinson,FLAT,17,62.96,2.0,0.0,0.0,0.0,0.0,4.0,50.0,0.0,0.0,0.0,0.0
Brian Robinson,OUT,4,14.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Robinson,SCREEN,2,7.41,2.0,0.0,0.0,0.0,0.0,4.0,50.0,0.0,0.0,0.0,0.0
Cam Sims,CORNER,5,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Sims,CROSS,13,9.7,1.0,2.0,0.0,0.0,0.0,12.0,8.33,16.67,0.0,0.0,0.0
Cam Sims,FLAT,2,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Sims,GO,43,32.09,0.0,3.0,0.0,0.0,0.0,12.0,0.0,25.0,0.0,0.0,0.0
Cam Sims,HITCH,21,15.67,2.0,1.0,0.0,0.0,0.0,12.0,16.67,8.33,0.0,0.0,0.0
